Promotor,Preparation,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %",Na_C_mol%,Mg_C_mol%,Ca_C_mol%,Mn_C_mol%,La_C_mol%,Ba_C_mol%,Zr_C_mol%,W_C_mol%,Ti_C_mol%,Ce_C_mol%,S_A_mol%,P_A_mol%,Cl_A_mol%,Si_S_mol%,C_S_mol%,Mg_S_mol%,Ti_S_mol%
0,1,1023,2.0,1.0,0.24,99.4,46.8,0.0,55.0,4.0,59.0,27.6,16.7,0.0,0.0,66.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0
0,1,1098,4.8,1.0,1.0,93.0,28.0,0.0,54.0,13.0,67.0,18.8,25.0,63.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1023,20.0,1.0,0.38,0.0,13.0,0.0,0.0,0.0,75.8,9.9,10.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
0,0,1198,5.0,1.0,0.38,0.0,22.0,0.0,0.0,0.0,70.0,15.4,3.8,92.4,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1093,5.0,1.0,0.87,80.0,21.0,0.0,0.0,0.0,63.4,13.3,5.0,0.0,0.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1093,5.0,1.0,2.2,0.0,21.0,0.0,0.0,0.0,64.0,13.4,5.0,0.0,0.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,948,14.6,1.0,1.2,0.0,8.0,0.0,0.0,0.0,80.0,6.4,30.3,0.0,69.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1013,9.3,1.0,0.36,95.0,16.0,0.0,0.0,0.0,76.0,12.2,5.8,0.0,94.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1123,5.0,1.0,1.5,0.0,29.0,0.0,0.0,0.0,69.0,20.0,14.3,57.1,0.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1073,6.0,1.0,0.19,100.0,33.0,30.0,31.0,33.0,64.0,21.1,6.7,0.0,0.0,0.0,93.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1073,2.0,1.0,3.0,99.0,37.5,0.0,24.0,12.1,36.1,13.5,20.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
0,1,1073,2.0,1.0,3.0,99.0,46.2,0.0,35.8,8.6,44.4,20.5,10.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,25.0,0.0,0.0
0,1,1073,2.0,1.0,3.0,99.0,44.8,0.0,45.4,6.7,52.1,23.3,10.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,0.0,0.0
0,1,1023,20.3,1.0,0.1,0.0,5.5,0.0,0.0,0.0,87.8,4.8,3.7,0.0,0.0,92.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0
0,0,1023,3.1,1.0,0.12,0.0,18.2,0.0,0.0,0.0,59.0,10.7,4.3,0.0,0.0,0.0,0.0,0.0,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1118,2.0,1.0,0.4,44.5,19.8,53.0,30.0,17.0,47.4,9.4,5.0,0.0,0.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1013,9.0,1.0,0.15,90.0,14.0,0.0,43.0,24.0,67.0,9.4,5.9,0.0,94.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1013,9.0,1.0,0.19,92.0,16.0,0.0,45.0,26.0,71.0,11.4,6.7,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1023,3.0,1.0,0.65,100.0,35.0,0.0,56.0,9.0,65.0,22.8,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1023,3.0,1.0,0.65,100.0,43.0,0.0,52.0,9.0,61.0,26.2,9.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,89.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1072,2.0,1.0,3.0,100.0,37.0,0.0,24.0,12.0,36.0,13.3,33.3,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1023,1.9,1.0,0.8,0.0,35.0,0.0,0.0,0.0,28.0,9.8,28.6,0.0,0.0,0.0,28.6,0.0,0.0,0.0,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1073,2.0,1.0,2.17,90.0,39.4,0.0,0.0,0.0,56.8,22.4,15.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1073,6.0,1.0,0.1,100.0,20.0,31.0,0.0,0.0,69.2,13.8,0.5,0.0,0.0,0.0,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,993,4.0,1.0,0.01,0.0,21.0,0.0,33.0,28.0,61.0,12.8,25.0,0.0,0.0,0.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1101,2.0,1.0,0.31,0.0,40.0,55.0,10.0,33.0,43.0,17.2,16.7,0.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1023,7.0,1.0,4.2,0.0,16.0,0.0,0.0,0.0,43.5,7.0,30.7,0.0,0.0,0.0,0.0,0.0,69.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,953,2.0,1.0,0.12,0.0,34.2,0.0,0.0,0.0,51.1,17.5,33.3,33.4,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1023,2.0,1.0,3.0,46.5,19.3,0.0,0.0,0.0,40.8,7.9,5.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,72.0,0.0,0.0,0.0
1,1,1023,2.0,1.0,3.0,100.0,48.2,0.0,0.0,0.0,50.4,24.3,5.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,72.0,0.0,0.0,0.0
0,1,1023,4.0,1.0,0.48,58.8,13.8,23.0,59.0,18.0,77.0,10.6,16.7,0.0,0.0,0.0,0.0,0.0,66.6,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0
0,1,1073,4.8,1.0,0.6,94.7,33.2,47.2,37.7,15.1,52.8,17.5,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,96.9,0.0,0.0,0.0
0,1,1023,4.0,1.0,0.48,45.0,8.7,0.0,41.0,19.0,60.0,5.2,20.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
0,0,1023,4.0,1.0,0.48,30.0,2.9,0.0,13.0,11.0,24.0,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
0,1,1023,4.0,1.0,0.48,48.8,8.8,0.0,41.0,14.0,55.0,4.8,20.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
0,1,1023,4.0,1.0,0.48,58.8,13.8,0.0,59.0,18.0,77.0,10.6,20.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
0,1,1023,4.0,1.0,0.48,49.0,7.8,0.0,35.0,15.0,50.0,3.9,20.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
0,1,1023,4.0,1.0,0.24,61.0,6.7,0.0,28.0,14.0,42.0,2.8,1.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1,1023,4.0,1.0,0.24,64.0,9.8,0.0,30.0,15.0,45.0,4.4,5.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
0,1,1023,4.0,1.0,0.24,65.0,12.0,0.0,34.0,15.0,49.0,5.9,10.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
0,1,1023,4.0,1.0,0.24,67.0,13.4,0.0,34.0,16.0,50.0,6.7,20.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
