Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %"
Li,15.0,Mg,15.0,,,,,,,,,,,,,,Al,70.0,,,,,Sol-gel,1069,0.95,0.05,19.0,1.0,2.90 ,99.5,6.6,,24.7,30.2,54.9,3.6
Li,42.5,Mg,42.5,,,,,,,,,,,,,,Al,15.0,,,,,Sol-gel,1069,0.95,0.05,19.0,1.0,2.90 ,99.1,8.8,,26.0,52.9,78.9,6.9
Li,29.2,Ca,58.4,,,,,,,,,,,,,,Al,12.4,,,,,Sol-gel,916,0.91,0.09,10.1,1.0,2.20 ,46.2,5.8,,12.6,70.3,82.9,4.8
Li,42.5,Mg,42.5,,,,,,,,,,,,,,Si,15.0,,,,,Sol-gel,1097,0.91,0.09,10.1,1.0,2.20 ,99.0,15.0,,41.9,30.4,72.3,10.8
Li,16.7,Zr,66.6,,,,,,,,,Cl,16.7,,,,,,,,,,Sol-gel,1023,0.32,0.08,4.0,1.0,0.48 ,50.0,9.6,51.0,33.0,16.0,49.0,4.7
Li,44.4,Mg,33.4,,,,,,,,,C,22.2,,,,,,,,,,Therm.decomp.,1023,0.20,0.05,4.0,1.0,0.24 ,50.5,12.4,29.1,17.2,53.7,70.9,8.8
Li,3.0,Mg,94.0,,,,,,,,,Cl,3.0,,,,,,,,,,Therm.decomp.,1023,0.20,0.05,4.0,1.0,0.24 ,48.2,11.8,59.6,10.1,30.3,40.4,4.8
Li,8.8,Mg,85.0,,,,,,,,,Cl,3.5,C,2.7,,,,,,,,Therm.decomp.,1023,0.20,0.05,4.0,1.0,0.24 ,52.4,13.6,56.8,16.1,27.2,43.3,5.9
Li,17.2,Mg,82.8,,,,,,,,,,,,,,,,,,,,n.a.,973,0.48,0.11,4.4,1.0,8.80 ,,23.0,31.0,40.0,24.0,64.0,14.7
Li,22.2,Ca,77.8,,,,,,,,,,,,,,,,,,,,n.a.,984,0.48,0.11,4.4,1.0,8.80 ,,20.0,28.0,39.0,27.0,66.0,13.2
Li,29.4,Zn,70.6,,,,,,,,,,,,,,,,,,,,n.a.,993,0.51,0.15,3.5,1.0,8.80 ,,13.0,23.0,32.0,42.0,74.0,9.6
Li,45.5,La,54.5,,,,,,,,,,,,,,,,,,,,n.a.,983,0.48,0.11,4.4,1.0,8.80 ,,21.0,33.0,39.0,22.0,61.0,12.8
Li,25.0,Ti,25.0,Ca,50.0,,,,,,,,,,,,,,,,,,n.a.,980,0.48,0.11,4.4,1.0,8.80 ,,17.0,24.0,40.0,31.0,71.0,12.1
Li,25.0,Ti,25.0,Sr,50.0,,,,,,,,,,,,,,,,,,n.a.,983,0.48,0.11,4.4,1.0,8.80 ,,15.0,30.0,32.0,34.0,66.0,9.9
Li,9.6,Mg,90.4,,,,,,,,,,,,,,,,,,,,n.a.,941,0.51,0.10,5.0,1.0,7.20 ,,10.0,,,,57.0,5.7
Li,15.0,Ca,85.0,,,,,,,,,,,,,,,,,,,,n.a.,978,0.51,0.10,5.0,1.0,7.20 ,,19.0,,,,59.0,11.2
Li,25.6,Zn,74.4,,,,,,,,,,,,,,,,,,,,n.a.,973,0.51,0.10,5.0,1.0,7.20 ,,9.0,,,,68.0,6.1
Li,9.1,Mg,90.9,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1018,0.80,0.20,4.0,1.0,0.35 ,,28.1,,,,57.4,16.1
Li,3.0,,,,,,,,,,,,,,,,Si,97.0,,,,,Impregnation,1073,0.83,0.17,4.9,1.0,0.90 ,,9.0,,44.0,23.0,67.0,6.0
Li,75.0,,,,,,,,,,,P,25.0,,,,,,,,,,Precipitation,973,0.27,0.03,8.3,1.0,1.20 ,10.0,5.7,,18.8,54.9,73.7,4.2
Li,57.1,Ca,14.3,,,,,,,,,P,28.6,,,,,,,,,,Precipitation,973,0.27,0.03,8.3,1.0,1.20 ,,6.8,,13.2,40.8,54.0,3.7
Li,33.4,Ca,33.3,,,,,,,,,P,33.3,,,,,,,,,,Precipitation,973,0.27,0.03,8.3,1.0,1.20 ,25.0,3.5,,4.7,22.1,26.8,0.9
Li,37.5,,,,,,,,,,,P,12.5,,,,Si,50.0,,,,,Precipitation,973,0.27,0.03,8.3,1.0,1.20 ,,0.4,,0.0,1.3,1.3,0.0
Li,20.0,Zr,60.0,,,,,,,,,Cl,20.0,,,,,,,,,,Impregnation,1023,0.32,0.08,4.0,1.0,0.48 ,39.2,4.8,,18.0,14.0,32.0,1.5
Li,20.0,Zr,60.0,,,,,,,,,Cl,20.0,,,,,,,,,,Precipitation,1023,0.32,0.08,4.0,1.0,0.48 ,44.0,6.4,,22.0,16.0,38.0,2.4
Li,20.0,Zr,60.0,,,,,,,,,Cl,20.0,,,,,,,,,,Sol-gel,1023,0.32,0.08,4.0,1.0,0.48 ,50.0,9.6,,33.0,16.0,49.0,4.7
Li,20.0,Zr,60.0,,,,,,,,,Cl,20.0,,,,,,,,,,Therm.decomp.,1023,0.32,0.08,4.0,1.0,0.48 ,34.0,3.4,,16.0,14.0,30.0,1.0
Li,1.0,Mg,98.0,,,,,,,,,Cl,1.0,,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24 ,59.0,5.5,,27.0,12.0,39.0,2.1
Li,5.0,Mg,90.0,,,,,,,,,Cl,5.0,,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24 ,60.0,8.0,,30.0,14.0,44.0,3.5
Li,10.0,Mg,80.0,,,,,,,,,Cl,10.0,,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24 ,68.0,10.4,,31.0,16.0,47.0,4.9
Li,20.0,Mg,60.0,,,,,,,,,Cl,20.0,,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24 ,66.0,11.0,,33.0,16.0,49.0,5.4
Li,1.0,Na,1.0,Mg,96.0,,,,,,,Cl,2.0,,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24 ,70.0,12.8,,46.0,22.0,68.0,8.7
Li,5.0,Na,5.0,Mg,80.0,,,,,,,Cl,10.0,,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24 ,82.0,22.4,,51.0,27.0,78.0,17.5
Li,10.0,Na,10.0,Mg,60.0,,,,,,,Cl,20.0,,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24 ,85.0,21.5,,52.0,28.0,80.0,17.2
Li,20.0,Na,20.0,Mg,20.0,,,,,,,Cl,40.0,,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24 ,86.0,19.0,,39.0,22.0,61.0,11.6
Li,1.0,Cs,1.0,Mg,96.0,,,,,,,Cl,2.0,,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24 ,72.0,13.2,,49.0,20.0,69.0,9.1
Li,5.0,Cs,5.0,Mg,80.0,,,,,,,Cl,10.0,,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24 ,85.0,22.8,,53.0,28.0,81.0,18.5
Li,10.0,Cs,10.0,Mg,60.0,,,,,,,Cl,20.0,,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24 ,86.0,22.0,,52.0,27.0,79.0,17.4
Li,20.0,Cs,20.0,Mg,20.0,,,,,,,Cl,40.0,,,,,,,,,,Impregnation,1023,0.80,0.20,4.0,1.0,0.24 ,88.0,19.2,,42.0,21.0,63.0,12.1
Li,50.0,Y,50.0,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1000,0.18,0.03,6.0,1.0,1.60 ,90.0,27.0,,26.0,38.0,64.0,17.3
Li,15.0,Na,15.0,,,,,,,,,,,,,,Si,70.0,,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00 ,,0.5,,,,50.0,0.3
Li,15.0,K,15.0,,,,,,,,,,,,,,Si,70.0,,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00 ,,1.0,,,,81.0,0.8
Li,15.0,Rb,15.0,,,,,,,,,,,,,,Si,70.0,,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00 ,,1.5,,,,30.0,0.4
Li,15.0,Cs,15.0,,,,,,,,,,,,,,Si,70.0,,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00 ,,9.0,,,,24.0,2.2
Li,5.0,Mg,90.0,,,,,,,,,Cl,5.0,,,,,,,,,,Sol-gel,1023,0.81,0.20,4.0,1.0,0.24 ,68.0,10.4,53.0,31.0,16.0,47.0,4.9
Li,2.5,Na,2.5,Mg,90.0,,,,,,,Cl,5.0,,,,,,,,,,Sol-gel,1023,0.81,0.20,4.0,1.0,0.24 ,82.0,22.4,22.0,51.0,27.0,78.0,17.5
Li,2.5,K,2.5,Mg,90.0,,,,,,,Cl,5.0,,,,,,,,,,Sol-gel,1023,0.81,0.20,4.0,1.0,0.24 ,81.0,16.0,32.0,43.0,25.0,68.0,10.9
Li,2.5,Rb,2.5,Mg,90.0,,,,,,,Cl,5.0,,,,,,,,,,Sol-gel,1023,0.81,0.20,4.0,1.0,0.24 ,82.0,14.2,40.0,39.0,21.0,60.0,8.5
Li,2.5,Cs,2.5,Mg,90.0,,,,,,,Cl,5.0,,,,,,,,,,Sol-gel,1023,0.81,0.20,4.0,1.0,0.24 ,85.0,22.8,19.0,53.0,28.0,81.0,18.5
Li,19.0,Ti,81.0,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1173,0.50,0.16,3.1,1.0,0.25 ,90.0,12.0,,,,70.0,8.4
Li,1.4,Sr,20.0,Mg,78.6,,,,,,,,,,,,,,,,,,Precipitation,1123,0.95,0.05,19.0,1.0,0.05 ,100.0,10.0,,,,88.0,8.8
Li,0.8,Ba,20.0,Mg,79.2,,,,,,,,,,,,,,,,,,Precipitation,1123,0.95,0.05,19.0,1.0,0.05 ,100.0,10.0,,,,86.0,8.6
Li,18.8,Mg,62.4,,,,,,,,,Cl,18.8,,,,,,,,,,Sol-gel,923,0.13,0.05,2.6,1.0,7.20 ,85.0,36.3,43.3,49.7,6.9,56.6,20.5
Li,1.0,Mn,49.5,Mo,49.5,,,,,,,,,,,,,,,,,,Impregnation,973,0.40,0.20,2.0,1.0,7.20 ,16.0,6.4,63.0,,,24.0,1.5
Li,33.3,Mn,33.3,Mg,33.4,,,,,,,,,,,,,,,,,,Impregnation,1023,0.75,0.25,3.0,1.0,0.25 ,,25.9,,,,25.0,6.5
Li,11.0,Ca,89.0,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1013,0.67,0.07,9.6,1.0,1.37 ,96.0,16.0,,29.0,34.0,63.0,10.1
Li,1.0,Mn,9.0,Ti,90.0,,,,,,,,,,,,,,,,,,Impregnation,1073,0.75,0.25,3.0,1.0,2.10 ,,22.1,,55.2,,71.5,15.8
