,Data Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
0,1,2.1169762511002697,-4.190125949932774,-0.8632226920279633,0.6201804977883323,0.8692313806796924,0.6570438394086167,958,26,2.7216624583769757,0.0,1.0,0.5,0.1
1,2,3.213210530230685,-4.493192593982707,-0.8632226920279633,0.6149703599044005,0.8750631612385685,0.6613163301402186,923,28,3.0217341313997457,0.006609682036953224,0.6764605729952002,0.7062793804451739,0.06125692613135217
2,3,2.095481461313399,-3.432459339807944,-0.8632226920279633,0.5636263184938839,0.9317025253742205,0.7141803867948677,952,10,2.484956378913292,0.0,1.0,1.0,0.1
3,4,2.6973355753457837,-3.432459339807944,-0.8632226920279633,0.5775070355780207,0.9167029104502956,0.7094945701305149,341,41,4.630524866492232,0.0,0.9910450153299122,0.6475566866203409,0.1
4,5,3.1487261608700723,-2.9778593737330463,-0.8632226920279633,0.5480203949952456,0.9481445750198549,0.7325894318400159,946,8,4.159397698760754,0.0,0.5,1.0,0.1
5,6,3.363674058738781,-2.9778593737330463,-0.8632226920279633,0.6419497673701218,0.8438666771830597,0.6383305945289178,989,17,3.204003132241578,0.0,1.0,0.5,0.1
6,7,3.34217926895191,-3.432459339807944,-0.8632226920279633,0.5482582205176898,0.9478204736909588,0.73203535312616,945,20,4.179986422401393,0.0,0.5,1.0,0.1
7,8,2.052491881739657,-4.190125949932774,-1.729647954957865,0.5452902194766479,0.9511034002581993,0.7368188300042418,957,12,2.2829422282440364,0.0,0.5,1.0,0.1
8,9,2.7188303651326544,-4.190125949932774,-1.729647954957865,0.54984632822908,0.9462681933561211,0.7334573442708103,454,50,3.138572977072348,0.0,0.5,1.0,0.1
9,10,3.4281584280993935,-3.887059305882843,-1.729647954957865,0.6229869044672434,0.8659548898440043,0.6626579343113548,970,4,1.0,0.0,1.0,1.0,0.1
10,13,2.7403251549195256,-4.6447259160076735,-1.596351760660957,0.5675766486305196,0.9274628307793478,0.7178485639654573,919,29,6.16928215687576,0.0,1.0,0.5,0.1
11,14,3.213210530230685,-4.796259238032639,-1.5297036635125032,0.5889261609203904,0.9041958430816504,0.6934010749610333,952,10,3.081319685729521,0.0,0.921394610599936,0.8728310016887568,0.09223777964650716
12,15,2.052491881739657,-4.190125949932774,-1.5297036635125032,0.556943621136262,0.9388289338755389,0.7295413049114619,990,19,3.5211531963675022,0.0,0.6214703840771694,0.5,0.1
13,16,2.7188303651326544,-4.190125949932774,-1.5297036635125032,0.5539335918830848,0.9419506953476958,0.7298314229268751,943,13,4.3739384720663415,0.0,0.7260095981599473,0.8499799436368024,0.0795053951345869
14,17,3.4281584280993935,-3.887059305882843,-1.5297036635125032,0.5490757085654676,0.9470274382175419,0.7317815645707961,958,8,4.854658692841926,0.0,0.5,1.0,0.1
15,30,1.0207419719698547,-4.493192593982707,7.7343818401226,0.550221447990733,0.9458642175998416,0.7298406266108596,326,12,4.340459034677174,0.0,1.0,1.0,0.1
16,31,1.0207419719698547,-4.493192593982707,4.1353845941060845,0.550221447990733,0.9458642175998416,0.7298406266108596,326,12,4.340459034677174,0.0,1.0,1.0,0.1
17,32,1.0207419719698547,-4.493192593982707,2.935718845433913,0.550221447990733,0.9458642175998416,0.7298406266108596,326,12,4.340459034677174,0.0,1.0,1.0,0.1
18,37,2.7403251549195256,-4.6447259160076735,-1.729647954957865,0.5681752791679564,0.9267574798206568,0.7188162693212286,303,12,6.472647851515898,0.0,1.0,0.7479157911690564,0.1
19,38,3.213210530230685,-4.796259238032639,-1.729647954957865,0.5511620496605282,0.9448371429167567,0.7305994041302282,370,38,7.8085676771439125,0.0,1.0,1.0,0.1
20,39,2.073986671526528,-4.341659271957741,-0.9298707891764172,0.5541058039549264,0.9418822236331746,0.7314703090889662,966,30,4.008040655086208,0.0,1.0,0.5,0.1
21,40,2.8263043140670088,-4.341659271957741,-0.9298707891764172,0.5571319685283158,0.9386681246172558,0.7286130919862072,947,23,4.409875486450917,0.0,1.0,0.5,0.1
22,41,3.4711480076731354,-4.341659271957741,-0.9298707891764172,0.57928498238157,0.9148684448709203,0.7046533840940534,979,26,4.589712423922195,0.0536240202181959,0.5876249253303899,0.6114971323267131,0.06950660208171035
23,45,-2.6333722917981954,-2.9778593737330463,0.6030354452380242,0.5680499607149008,0.9269710436119086,0.7191729831897701,895,23,5.786445933544646,0.0,1.0,0.5,0.1
24,46,-2.310950444995132,-2.9778593737330463,0.6030354452380242,0.5680499607149008,0.9269710436119086,0.7191729831897701,895,23,5.786445933544646,0.0,1.0,0.5,0.1
25,47,-1.9885285981920688,-2.9778593737330463,0.6030354452380242,0.5485035382416805,0.9477280592539974,0.7336002827798974,297,16,4.659992984805268,0.0,1.0,0.6699406260565406,0.1
26,58,2.2029554102477533,-2.9778593737330463,-0.5966303034341474,0.5373895930671073,0.9593687817207813,0.7489525071776535,990,19,3.5486377625521937,0.0,0.6228792029498265,0.5,0.1
27,65,2.3104293591821077,-2.9778593737330463,-1.2631112749186872,0.5361351856113994,0.9606046179185325,0.745277154253379,946,23,3.0730077224964503,0.0,0.5,1.0,0.1
28,66,2.6328512059851708,-2.9778593737330463,-1.2631112749186872,0.5628807377023355,0.9324805153260454,0.7215993289423527,312,12,6.385990377686684,0.0,1.0,0.5,0.1
29,71,2.3104293591821077,-2.9778593737330463,-1.596351760660957,0.5395738780494446,0.9570955215091688,0.7391652910194554,954,14,2.1929785519988307,0.0,1.0,1.0,0.1
30,72,2.7403251549195256,-2.9778593737330463,-1.596351760660957,0.5637342273469274,0.9316306945483773,0.7176233235894264,300,21,4.136321696604368,0.0063990589371587525,0.8684299488124725,0.9731912068742435,0.08546611976068065
31,73,3.170220950656943,-2.9778593737330463,-1.596351760660957,0.5479263072967038,0.948362832380202,0.7309766526061012,954,14,2.611570843802004,0.0,1.0,1.0,0.1
32,74,1.0207419719698547,-2.9778593737330463,-1.862944149254773,0.5514775469016058,0.9445724808199647,0.7300276216793433,960,16,5.181256853301317,0.0,1.0,1.0,0.0938282099865833
33,75,1.0207419719698547,-2.9778593737330463,-1.862944149254773,0.5514775469016058,0.9445724808199647,0.7300276216793433,960,16,5.181256853301317,0.0,1.0,1.0,0.0938282099865833
34,76,0.48337222729808266,-2.9778593737330463,-1.862944149254773,0.5277608087750589,0.9692222477252479,0.7576620946049137,952,1,2.6251502959637474,0.0,1.0,1.0,0.1
35,77,-0.05399751737368938,-2.9778593737330463,-1.862944149254773,0.5700509789418207,0.9248429016050579,0.7178401881440776,315,19,4.243303647896504,0.0,1.0,0.5,0.1
36,78,0.48337222729808266,-2.9778593737330463,-1.862944149254773,0.5277608087750589,0.9692222477252479,0.7576620946049137,952,1,2.6251502959637474,0.0,1.0,1.0,0.1
37,79,-0.05399751737368938,-2.9778593737330463,-1.862944149254773,0.5700509789418207,0.9248429016050579,0.7178401881440776,315,19,4.243303647896504,0.0,1.0,0.5,0.1
38,95,2.095481461313399,-2.9778593737330463,0.5363873480895702,0.5471736933753255,0.9491106024837865,0.7337986676681812,972,19,4.350186885744958,0.0,0.5,1.0,0.1
39,97,-6.5024344534349545,-6.008525814232367,-1.3830778497859042,0.5632445220573898,0.9321769454292688,0.7199735956440289,960,9,7.3959086861558445,0.0,1.0,0.5,0.1
40,98,-6.5024344534349545,-6.008525814232367,-0.9032115503170357,0.561664850228934,0.9338344241603814,0.7222303639014676,882,19,4.1236014221314825,0.0001423942712530657,0.6418870825459336,0.976514959620397,0.08142970898351651
41,99,-6.5024344534349545,-6.008525814232367,-0.42334525084816704,0.5449283996405552,0.9514920757443113,0.7348228213921372,928,15,2.100401945135282,0.0,1.0,1.0,0.1
42,100,-6.5024344534349545,-6.008525814232367,0.05652104862070149,0.5687580287700358,0.9262448799704083,0.7169335185694775,937,5,3.7116877487261575,0.0,0.5,0.5,0.1
43,101,-6.5024344534349545,-6.008525814232367,0.5363873480895702,0.5751244465264209,0.919414935865769,0.7106770221274658,303,14,4.167224238636913,0.0,1.0,0.5,0.1
44,102,-6.5024344534349545,-6.008525814232367,1.016253647558439,0.6012075710658953,0.8907419944837772,0.6827558167987912,951,13,2.6632193972603053,0.0,1.0,0.5,0.1
45,103,-6.5024344534349545,-6.008525814232367,1.4961199470273077,0.5844718098016148,0.9092403945207181,0.698819760216976,959,13,4.2787834976241506,0.0,1.0,0.5,0.1
46,118,-6.5024344534349545,-5.629692509169953,-1.3830778497859042,0.5632445220573898,0.9321769454292688,0.7199735956440289,960,9,7.3959086861558445,0.0,1.0,0.5,0.1
47,119,-6.5024344534349545,-5.629692509169953,-0.9032115503170357,0.561664850228934,0.9338344241603814,0.7222303639014676,882,19,4.1236014221314825,0.0001423942712530657,0.6418870825459336,0.976514959620397,0.08142970898351651
48,120,-6.5024344534349545,-5.629692509169953,-0.42334525084816704,0.5449283996405552,0.9514920757443113,0.7348228213921372,928,15,2.100401945135282,0.0,1.0,1.0,0.1
49,121,-6.5024344534349545,-5.629692509169953,0.05652104862070149,0.5687580287700358,0.9262448799704083,0.7169335185694775,937,5,3.7116877487261575,0.0,0.5,0.5,0.1
50,122,-6.5024344534349545,-5.629692509169953,0.5363873480895702,0.5751244465264209,0.919414935865769,0.7106770221274658,303,14,4.167224238636913,0.0,1.0,0.5,0.1
51,123,-6.5024344534349545,-5.629692509169953,1.016253647558439,0.6012075710658953,0.8907419944837772,0.6827558167987912,951,13,2.6632193972603053,0.0,1.0,0.5,0.1
52,124,-6.5024344534349545,-5.629692509169953,1.4961199470273077,0.5844718098016148,0.9092403945207181,0.698819760216976,959,13,4.2787834976241506,0.0,1.0,0.5,0.1
53,139,-6.5024344534349545,-5.250859204107537,-1.3830778497859042,0.5632445220573898,0.9321769454292688,0.7199735956440289,960,9,7.3959086861558445,0.0,1.0,0.5,0.1
54,140,-6.5024344534349545,-5.250859204107537,-0.9032115503170357,0.561664850228934,0.9338344241603814,0.7222303639014676,882,19,4.1236014221314825,0.0001423942712530657,0.6418870825459336,0.976514959620397,0.08142970898351651
