,Data Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
41,45,2.339781215,-0.546619248,0.39917245,0.704627792,1.022167881,0.688192103,321,26,7.686848999,0,0.87007298,0.5,0.084408571
42,46,1.756696177,-0.546619248,-0.513037043,0.369748965,1.493184928,1.013087497,336,39,1,0,1,0.5,0.07462545
43,47,2.339781215,-0.546619248,-0.513037043,0.74387428,0.951889692,0.503729845,907,6,4.391454132,0,0.5,1,0.1
44,48,2.672972666,-0.546619248,-0.513037043,0.704651073,1.022171233,0.686686814,993,23,4.15167768,0.049895057,0.559835556,0.50854614,0.089077252
45,49,3.006164116,-0.546619248,-0.513037043,0.81820334,0.801950852,0.561793335,318,22,1,0,0.5,0.5,0.1
46,50,3.256057704,-0.546619248,-0.513037043,0.743971961,0.951705327,0.503153123,902,32,5.598530557,0,0.5,1,0.1
47,51,1.756696177,-0.546619248,-1.049630863,0.703101956,1.024858316,0.688772748,908,50,6.745398937,0,0.632470153,0.5,0.06630285
48,52,2.339781215,-0.546619248,-1.049630863,0.699740588,1.030627238,0.693189885,337,28,3.947842191,0,0.704398585,0.665710907,0.046603841
49,53,2.756270528,-0.546619248,-1.049630863,0.706022971,1.019735787,0.686451889,845,14,3.169327607,0,1,0.5,0.1
50,54,3.006164116,-0.546619248,-1.049630863,0.743487931,0.952545446,0.505644374,324,29,7.934516648,0,0.5,1,0.1
51,55,3.339355566,-0.546619248,-1.049630863,0.705207611,1.021149658,0.687603095,212,49,1.267369332,0,0.5,0.5,0.1
52,56,3.589249154,-0.546619248,-1.049630863,0.706805379,1.018356693,0.684145017,954,22,3.111420518,0.013146511,0.59491392,0.616506713,0.058638411
53,57,3.006164116,-0.546619248,-1.317927773,0.738176141,0.962412954,0.65337767,590,15,1,0,0.5,0.5,0.1
54,58,3.006164116,0.188831252,-1.317927773,0.803773989,0.833167785,0.579811828,855,14,1,0,0.5,0.5,0.1
55,59,3.006164116,0.924281752,-1.317927773,0.70592008,1.019974513,0.686690721,347,18,7.63770398,0,1,0.5,0.1
56,60,3.006164116,1.659732252,-1.317927773,0.783702209,0.874747431,0.603629455,343,27,1,0,0.5,0.5,0.088068811
57,61,2.006589765,-0.546619248,-1.317927773,0.705263609,1.021088329,0.68700411,322,41,5.054043598,0,0.5,0.5,0.1
58,62,2.339781215,-0.546619248,-1.317927773,0.702065845,1.026641374,0.691030746,958,18,7.472057421,0.061087239,0.85834325,0.582775892,0.026557591
59,63,2.672972666,-0.546619248,-1.317927773,0.731905283,0.97387198,0.658125786,335,19,1,0,0.5,0.5,0.1
60,64,3.339355566,-0.546619248,-1.317927773,0.743817233,0.951988317,0.502992,941,17,5.657917136,0,0.637603881,1,0.1
61,65,3.672547017,-0.546619248,-1.317927773,0.775724887,0.890719148,0.4797966,353,4,1,0,0.5,1,0.09753606
62,66,4.005738467,-0.546619248,-1.317927773,0.730990905,0.97551805,0.666655386,305,50,1,0,0.502184422,0.5,0.1
63,67,1.923291903,0.188831252,-1.264268391,0.74366765,0.952270271,0.503545161,868,31,7.462422421,0,0.5,1,0.1
64,68,1.923291903,0.188831252,-1.317927773,0.70378502,1.023671989,0.688776758,314,10,7.738567679,0,1,0.5,0.1
65,69,1.923291903,0.188831252,-1.317927773,0.70378502,1.023671989,0.688776758,314,10,7.738567679,0,1,0.5,0.1
66,70,1.923291903,0.188831252,-1.317927773,0.70378502,1.023671989,0.688776758,314,10,7.738567679,0,1,0.5,0.1
67,71,2.339781215,-0.546619248,-1.532565301,0.870195808,0.67759433,0.482000178,292,37,1,0,0.5,0.5,0.1
68,72,2.339781215,-0.546619248,-1.532565301,0.870195808,0.67759433,0.482000178,292,37,1,0,0.5,0.5,0.1
69,73,1.923291903,-0.546619248,-1.532565301,0.845731371,0.738691945,0.423886583,974,3,1,0,1,0.970536369,0.1
70,74,1.923291903,-0.546619248,-1.532565301,0.845731371,0.738691945,0.423886583,974,3,1,0,1,0.970536369,0.1
71,75,-3.491069165,0.188831252,-1.478905919,0.702915466,1.025068457,0.687999607,954,22,3.111420518,0.013146511,0.59491392,0.616506713,0.058638411
72,76,-3.074579852,0.188831252,-1.478905919,0.702915466,1.025068457,0.687999607,954,22,3.111420518,0.013146511,0.59491392,0.616506713,0.058638411
73,77,-2.658090539,0.188831252,-1.478905919,0.702915466,1.025068457,0.687999607,954,22,3.111420518,0.013146511,0.59491392,0.616506713,0.058638411
74,78,-2.241601226,0.188831252,-1.478905919,0.702915466,1.025068457,0.687999607,954,22,3.111420518,0.013146511,0.59491392,0.616506713,0.058638411
75,79,-1.825111913,0.188831252,-1.478905919,0.702915466,1.025068457,0.687999607,954,22,3.111420518,0.013146511,0.59491392,0.616506713,0.058638411
76,80,1.923291903,0.188831252,-1.478905919,0.736912746,0.964736177,0.543708062,997,2,7.860222687,0,1,1,0.1
77,81,2.339781215,0.188831252,-1.478905919,0.91795626,0.538739347,0.389089731,901,24,1,0,0.5,0.5,0.1
78,82,2.339781215,-1.282069749,0.39917245,0.70722918,1.017600728,0.684705446,322,20,4.786408479,0,0.5,0.5,0.1
79,83,-1.825111913,0.188831252,-1.156949627,0.703999025,1.023238288,0.688485873,331,28,7.161307085,0,1,0.5,0.1
80,84,2.339781215,0.188831252,-1.156949627,0.70518733,1.021195408,0.688156523,958,18,7.472057421,0.061087239,0.85834325,0.582775892,0.026557591
81,85,2.339781215,-0.546619248,0.39917245,0.704627792,1.022167881,0.688192103,321,26,7.686848999,0,0.87007298,0.5,0.084408571
82,86,3.172759841,-0.546619248,0.39917245,0.707148784,1.017786874,0.685113414,319,34,2.708797304,0,0.5,0.5,0.1
83,129,-3.491069165,-1.649794999,-1.532565301,0.73718615,0.964238067,0.551328626,970,2,1,0,1,1,0.098024603
84,130,-3.491069165,-1.649794999,-1.146217751,0.703973636,1.02334341,0.688221752,955,7,2.722782703,0,0.811603723,0.612653477,0.033460212
85,131,-3.491069165,-1.649794999,-0.759870201,0.743190944,0.95311224,0.505275013,944,5,4.041928652,0,0.5,1,0.1
86,132,-3.491069165,-1.649794999,-0.37352265,0.7433505,0.95281205,0.504454866,905,10,8.219271101,0,0.5,1,0.1
87,133,-3.491069165,-1.649794999,0.0128249,0.70400984,1.023235658,0.688647524,963,37,8.328928561,0,1,0.5,0.1
88,134,-3.491069165,-1.649794999,0.39917245,0.704895104,1.021758754,0.687652845,318,34,2.685424927,0,0.520189989,0.647884462,0.073554551
