Temperature,pCH4_per_pO2,Contact time,Y(C2),Accuracy,MAE,Extrapolating Variables
1004,1.9,0.04,2.683630681,,,
1023,4,0.06,7.91978218,,,
1013,2,0.55,14.1245331,,,
1023,4,0.37,7.90413895,,,
903,3,0.37,0.427435794,,,
918,3,0.37,0.427435794,,,
933,3,0.37,1.461190573,,,
958,3,0.37,2.24500282,,,
973,3,0.37,2.480979227,,,
1008,3,0.37,4.401250498,,,
1023,3,0.37,9.717078236,,,
993,3,0.19,0.456602098,,,
1018,3,0.19,4.333238406,,,
988,3,0.09,2.37115751,,,
1013,3,0.09,6.241412508,,,
1023,3,0,16.00186352,,,
1023,3,0,16.00186352,,,
848,4,0.01,0,,,
873,4,0.01,0,,,
898,4,0.01,0,,,
923,4,0.01,0,,,
948,4,0.01,0.17009595,,,
973,4,0.01,0.898528317,,,
998,4,0.01,1.50930072,,,
1023,4,0.01,8.543646061,,,
873,4,0.07,2.012875387,,,
923,4,0.07,2.14746635,,,
973,4,0.07,4.091804425,,,
1023,4,0.07,11.76905544,,,
1023,3,0.36,14.23675272,,,
839,1.5,0,9.551309758,,,
839,1.5,0.072,6.994392112,,,
839,1.5,0.144,3.243188454,,,
839,1.5,0.216,2.962152095,,,
839,1.5,0.288,2.962152095,,,
839,1.5,0.36,9.589847711,,,
839,1.5,0.432,6.617509592,,,
839,1.5,0.504,6.617509592,,,
839,1.5,0.576,9.933110279,,,
839,1.75,0,9.551309758,,,
839,1.75,0.072,6.994392112,,,
839,1.75,0.144,3.243188454,,,
839,1.75,0.216,2.962152095,,,
839,1.75,0.288,2.962152095,,,
839,1.75,0.36,9.589847711,,,
839,1.75,0.432,6.617509592,,,
839,1.75,0.504,6.617509592,,,
839,1.75,0.576,9.933110279,,,
839,2,0,7.930769467,,,
839,2,0.072,5.287248717,,,
839,2,0.144,1.408573088,,,
839,2,0.216,1.193470945,,,
839,2,0.288,1.193470945,,,
839,2,0.36,7.821168953,,,
839,2,0.432,4.825053139,,,
839,2,0.504,4.825053139,,,
839,2,0.576,8.206915799,,,
839,2.25,0,7.046489346,,,
839,2.25,0.072,3.494753987,,,
839,2.25,0.144,0,,,
839,2.25,0.216,0,,,
839,2.25,0.288,0,,,
839,2.25,0.36,5.958626398,,,
839,2.25,0.432,2.044605542,,,
839,2.25,0.504,2.044605542,,,
839,2.25,0.576,4.701343831,,,
839,2.5,0,6.782047281,,,
839,2.5,0.072,3.476320872,,,
839,2.5,0.144,0,,,
839,2.5,0.216,0,,,
839,2.5,0.288,0,,,
839,2.5,0.36,5.940193284,,,
839,2.5,0.432,2.026172611,,,
839,2.5,0.504,2.026172611,,,
839,2.5,0.576,4.682910717,,,
839,2.75,0,6.560958847,,,
839,2.75,0.072,3.335918263,,,
839,2.75,0.144,0,,,
839,2.75,0.216,0,,,
839,2.75,0.288,0,,,
839,2.75,0.36,5.807724179,,,
839,2.75,0.432,1.893703691,,,
839,2.75,0.504,1.893703691,,,
839,2.75,0.576,4.550441612,,,
839,3,0,6.887156007,,,
839,3,0.072,2.836903934,,,
839,3,0.144,0,,,
839,3,0.216,0,,,
839,3,0.288,0,,,
839,3,0.36,4.696822231,,,
839,3,0.432,0.695549291,,,
839,3,0.504,0.695549291,,,
839,3,0.576,3.352292825,,,
839,3.25,0,6.887156007,,,
839,3.25,0.072,2.836903934,,,
839,3.25,0.144,0,,,
839,3.25,0.216,0,,,
839,3.25,0.288,0,,,
839,3.25,0.36,4.696822231,,,
839,3.25,0.432,0.695549291,,,
839,3.25,0.504,0.695549291,,,
839,3.25,0.576,3.352292825,,,
839,3.5,0,6.887156007,,,
839,3.5,0.072,2.836903934,,,
839,3.5,0.144,0,,,
839,3.5,0.216,0,,,
839,3.5,0.288,0,,,
839,3.5,0.36,4.696822231,,,
839,3.5,0.432,0.695549291,,,
839,3.5,0.504,0.695549291,,,
839,3.5,0.576,3.352292825,,,
839,3.75,0,6.887156007,,,
839,3.75,0.072,2.836903934,,,
839,3.75,0.144,0,,,
839,3.75,0.216,0,,,
839,3.75,0.288,0,,,
839,3.75,0.36,4.696822231,,,
839,3.75,0.432,0.695549291,,,
839,3.75,0.504,0.695549291,,,
839,3.75,0.576,3.352292825,,,
839,4,0,5.678959586,,,
839,4,0.072,2.012875387,,,
839,4,0.144,0,,,
839,4,0.216,0,,,
839,4,0.288,0,,,
839,4,0.36,3.029642463,,,
