Data Order,Temperature,pCH4_per_pO2,Contact time,Y(C2),R2,RMSE,MAE,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
6086,1117.4,1.25,1.44,23.80998847,0.709509399,1.013517761,0.682360106,736,46,6.484157885,0.001947044,0.870681961,0.82024425,0.077379325
6506,1140.6,1,1.44,23.332874,0.716809124,1.000717118,0.683054164,435,41,5.210363616,0.015132889,0.538429964,0.5145764,0.091515778
6527,1140.6,1.25,1.44,23.332874,0.716809124,1.000717118,0.683054164,780,24,2.334320436,0.016833187,0.69617896,0.548470945,0.057276277
96,723,1,0.648,9.933110279,0.704915299,1.021723868,0.68754098,611,18,3.589501989,0.040885023,0.523611587,0.520219731,0.095506826
97,723,1,0.72,9.933110279,0.704915299,1.021723868,0.68754098,592,2,7.405379353,0.004282848,0.629753005,0.861492924,0.07345966
98,723,1,0.792,9.933110279,0.704915299,1.021723868,0.68754098,925,18,2.344282282,0.003183991,0.570141846,0.989401644,0.095123931
99,723,1,0.864,9.933110279,0.704915299,1.021723868,0.68754098,973,22,6.871623348,0.008053189,0.582926995,0.624821139,0.056955566
100,723,1,0.936,9.933110279,0.704915299,1.021723868,0.68754098,642,16,7.452415341,0.018903643,0.881446633,0.647067002,0.060976783
101,723,1,1.008,9.933110279,0.704915299,1.021723868,0.68754098,282,28,3.490169891,0.017548927,0.861753194,0.593744452,0.080509361
102,723,1,1.08,9.933110279,0.704915299,1.021723868,0.68754098,708,33,6.037465726,0.030823281,0.68834889,0.590616085,0.088499682
103,723,1,1.152,9.933110279,0.704915299,1.021723868,0.68754098,744,33,1.556830354,0.234493272,0.645124498,0.600854429,0.037715455
104,723,1,1.224,9.933110279,0.704915299,1.021723868,0.68754098,921,2,2.290112215,0.010668804,0.549639733,0.816398128,0.046576289
105,723,1,1.296,9.933110279,0.704915299,1.021723868,0.68754098,289,31,3.223283799,0.011464383,0.887890581,0.534221251,0.075278742
106,723,1,1.368,9.933110279,0.704915299,1.021723868,0.68754098,876,50,8.965626505,0.001661628,0.968357457,0.617584602,0.09084846
107,723,1,1.44,9.933110279,0.704915299,1.021723868,0.68754098,599,2,1.697560062,0.011604892,0.825517144,0.691435662,0.092572441
117,723,1.25,0.648,9.933110279,0.704915299,1.021723868,0.68754098,331,30,5.95912808,0.004712245,0.567627733,0.51148041,0.060714112
118,723,1.25,0.72,9.933110279,0.704915299,1.021723868,0.68754098,824,23,4.363065493,0.014082586,0.786353252,0.532055072,0.083631827
119,723,1.25,0.792,9.933110279,0.704915299,1.021723868,0.68754098,968,37,3.859715385,0.026082429,0.51982658,0.626034585,0.039399829
120,723,1.25,0.864,9.933110279,0.704915299,1.021723868,0.68754098,393,2,5.494919253,0.035825713,0.855716492,0.989135628,0.051937377
121,723,1.25,0.936,9.933110279,0.704915299,1.021723868,0.68754098,902,4,1.786504357,0.01380445,0.678581226,0.604988366,0.056742171
122,723,1.25,1.008,9.933110279,0.704915299,1.021723868,0.68754098,330,14,6.900670802,0.002469763,0.81373551,0.542830704,0.066466273
123,723,1.25,1.08,9.933110279,0.704915299,1.021723868,0.68754098,828,33,7.079363225,0.220964208,0.590701774,0.629900409,0.044909014
124,723,1.25,1.152,9.933110279,0.704915299,1.021723868,0.68754098,947,22,7.801895481,0.010668319,0.84816357,0.53324472,0.057477077
125,723,1.25,1.224,9.933110279,0.704915299,1.021723868,0.68754098,539,2,7.999007543,0.002872824,0.968848843,0.765990234,0.051191447
126,723,1.25,1.296,9.933110279,0.704915299,1.021723868,0.68754098,864,34,2.01810028,0.021422723,0.570776488,0.581018566,0.08389871
127,723,1.25,1.368,9.933110279,0.704915299,1.021723868,0.68754098,314,36,7.297952091,0.009621518,0.88696178,0.55963042,0.088144848
128,723,1.25,1.44,9.933110279,0.704915299,1.021723868,0.68754098,370,24,3.989039995,0.006674777,0.911762992,0.501295017,0.074370485
537,746.2,1,0.648,9.933110279,0.704915299,1.021723868,0.68754098,477,24,4.840028735,0.016342486,0.935946194,0.596480417,0.093930623
538,746.2,1,0.72,9.933110279,0.704915299,1.021723868,0.68754098,837,27,4.528285287,0.007537761,0.935937032,0.594654533,0.048980573
539,746.2,1,0.792,9.933110279,0.704915299,1.021723868,0.68754098,984,7,5.722824624,0.059940183,0.590389042,0.57626564,0.063742134
540,746.2,1,0.864,9.933110279,0.704915299,1.021723868,0.68754098,313,18,6.185560314,0.004745513,0.746317882,0.55015068,0.086389761
541,746.2,1,0.936,9.933110279,0.704915299,1.021723868,0.68754098,961,48,6.421647044,0.202230512,0.643923646,0.582686711,0.026503994
542,746.2,1,1.008,9.933110279,0.704915299,1.021723868,0.68754098,966,4,2.008079604,0.013461368,0.885231183,0.581958781,0.065237451
543,746.2,1,1.08,9.933110279,0.704915299,1.021723868,0.68754098,318,20,2.525621295,0.008052036,0.514770411,0.59065503,0.071137054
544,746.2,1,1.152,9.933110279,0.704915299,1.021723868,0.68754098,972,30,1.142034743,0.241952063,0.518394579,0.58946495,0.025456338
545,746.2,1,1.224,9.933110279,0.704915299,1.021723868,0.68754098,896,16,2.700878801,0.020782255,0.679873187,0.649974247,0.067860303
546,746.2,1,1.296,9.933110279,0.704915299,1.021723868,0.68754098,619,40,3.567026068,0.067743987,0.57916029,0.632948656,0.093298188
547,746.2,1,1.368,9.933110279,0.704915299,1.021723868,0.68754098,934,5,7.718851478,0.012589809,0.760856219,0.602839337,0.096740848
548,746.2,1,1.44,9.933110279,0.704915299,1.021723868,0.68754098,324,24,3.707119824,0.011081486,0.90861009,0.554123765,0.062817174
558,746.2,1.25,0.648,9.933110279,0.704915299,1.021723868,0.68754098,332,27,4.86115048,0.020713056,0.9234726,0.50955494,0.090557155
559,746.2,1.25,0.72,9.933110279,0.704915299,1.021723868,0.68754098,956,5,9.756307083,0.005302388,0.873533485,0.51689864,0.048936593
560,746.2,1.25,0.792,9.933110279,0.704915299,1.021723868,0.68754098,962,2,5.963893053,0.00400934,0.880482432,0.869842696,0.09816517
561,746.2,1.25,0.864,9.933110279,0.704915299,1.021723868,0.68754098,497,8,5.661656877,0.000667467,0.659326985,0.628685171,0.045799156
562,746.2,1.25,0.936,9.933110279,0.704915299,1.021723868,0.68754098,370,41,3.971269192,0.011556561,0.962650173,0.618772719,0.070014406
563,746.2,1.25,1.008,9.933110279,0.704915299,1.021723868,0.68754098,476,14,3.318116908,0.031123596,0.706000056,0.524690883,0.084185399
564,746.2,1.25,1.08,9.933110279,0.704915299,1.021723868,0.68754098,981,2,7.546318823,0.033936608,0.592913576,0.670419693,0.079335325
565,746.2,1.25,1.152,9.933110279,0.704915299,1.021723868,0.68754098,1000,2,3.407738012,0.076819465,0.829449314,0.638697704,0.053862401
566,746.2,1.25,1.224,9.933110279,0.704915299,1.021723868,0.68754098,578,4,5.703623083,0.012399523,0.978338567,0.528730737,0.065552936
567,746.2,1.25,1.296,9.933110279,0.704915299,1.021723868,0.68754098,713,5,3.993200276,0.000794288,0.700959323,0.9623649,0.083051108
568,746.2,1.25,1.368,9.933110279,0.704915299,1.021723868,0.68754098,814,41,2.097550993,0.01202274,0.500371696,0.589215406,0.027824473
569,746.2,1.25,1.44,9.933110279,0.704915299,1.021723868,0.68754098,644,4,3.775224297,0.037130715,0.939555974,0.641083246,0.099708252
978,769.4,1,0.648,9.933110279,0.704915299,1.021723868,0.68754098,875,9,3.632296746,0.02832028,0.6330183,0.542781833,0.092885133
979,769.4,1,0.72,9.933110279,0.704915299,1.021723868,0.68754098,409,23,5.40302044,0.00426154,0.561095132,0.624399989,0.084349552
980,769.4,1,0.792,9.933110279,0.704915299,1.021723868,0.68754098,927,21,2.918992166,0.013185167,0.69161543,0.628435626,0.051464919
981,769.4,1,0.864,9.933110279,0.704915299,1.021723868,0.68754098,789,9,6.10361455,0.006418904,0.655957504,0.553170506,0.041221896
982,769.4,1,0.936,9.933110279,0.704915299,1.021723868,0.68754098,526,8,3.989271432,0.044778784,0.557596613,0.643070901,0.094883538
983,769.4,1,1.008,9.933110279,0.704915299,1.021723868,0.68754098,894,27,3.783293907,0.095190028,0.58313947,0.656301077,0.096485799
984,769.4,1,1.08,9.933110279,0.704915299,1.021723868,0.68754098,976,18,3.778569463,0.037115265,0.584814112,0.653344466,0.089100711
985,769.4,1,1.152,9.933110279,0.704915299,1.021723868,0.68754098,456,39,6.996170679,0.006336049,0.689486309,0.607687185,0.055495555
986,769.4,1,1.224,9.933110279,0.704915299,1.021723868,0.68754098,843,2,6.181532989,0.009940461,0.994775324,0.655877536,0.036814274
987,769.4,1,1.296,9.933110279,0.704915299,1.021723868,0.68754098,959,47,2.843414524,0.016796174,0.522073008,0.542690798,0.063228416
988,769.4,1,1.368,9.933110279,0.704915299,1.021723868,0.68754098,919,15,2.094441108,0.016198595,0.646655348,0.54116893,0.094146049
989,769.4,1,1.44,9.933110279,0.704915299,1.021723868,0.68754098,550,44,2.634610295,0.003348086,0.676128708,0.663377296,0.096796977
999,769.4,1.25,0.648,9.933110279,0.704915299,1.021723868,0.68754098,612,47,2.583488984,0.005675625,0.889112775,0.573696005,0.076627229
1000,769.4,1.25,0.72,9.933110279,0.704915299,1.021723868,0.68754098,759,31,2.396510456,0.007185074,0.995278894,0.510064067,0.072347609
1001,769.4,1.25,0.792,9.933110279,0.704915299,1.021723868,0.68754098,944,25,7.244717764,0.039891352,0.811140113,0.516055819,0.052016169
1002,769.4,1.25,0.864,9.933110279,0.704915299,1.021723868,0.68754098,909,24,6.975549297,0.006375442,0.781309504,0.617932914,0.036496463
1003,769.4,1.25,0.936,9.933110279,0.704915299,1.021723868,0.68754098,274,28,2.501093384,0.01595285,0.548746876,0.579135782,0.064296954
1004,769.4,1.25,1.008,9.933110279,0.704915299,1.021723868,0.68754098,881,6,5.91054882,0.017132222,0.952734828,0.613188282,0.050620981
1005,769.4,1.25,1.08,9.933110279,0.704915299,1.021723868,0.68754098,192,3,6.972507842,0.010692094,0.975262556,0.981713997,0.087017704
1006,769.4,1.25,1.152,9.933110279,0.704915299,1.021723868,0.68754098,462,41,2.525823087,0.021087598,0.597802745,0.649327482,0.095445836
1007,769.4,1.25,1.224,9.933110279,0.704915299,1.021723868,0.68754098,842,26,5.791642434,0.156390602,0.758641341,0.621448811,0.09478459
1008,769.4,1.25,1.296,9.933110279,0.704915299,1.021723868,0.68754098,738,35,6.467726749,0.026495502,0.653920839,0.619194984,0.056331566
1009,769.4,1.25,1.368,9.933110279,0.704915299,1.021723868,0.68754098,803,8,7.850539396,0.020903949,0.688454446,0.528770433,0.073308145
1010,769.4,1.25,1.44,9.933110279,0.704915299,1.021723868,0.68754098,914,15,5.661567137,0.003884211,0.998985053,0.536962003,0.087009882
1419,792.6,1,0.648,9.933110279,0.704915299,1.021723868,0.68754098,281,24,3.199027546,0.043421711,0.518637699,0.564560509,0.059569451
1420,792.6,1,0.72,9.933110279,0.704915299,1.021723868,0.68754098,924,3,3.438504099,0.013536582,0.920484797,0.684199041,0.017632146
1421,792.6,1,0.792,9.933110279,0.704915299,1.021723868,0.68754098,287,6,6.35950501,0.229656989,0.624774886,0.569522539,0.063971163
1422,792.6,1,0.864,9.933110279,0.704915299,1.021723868,0.68754098,242,32,3.221206608,0.02033034,0.571072252,0.648708454,0.093104955
1423,792.6,1,0.936,9.933110279,0.704915299,1.021723868,0.68754098,974,27,3.345871114,0.018397642,0.649461998,0.518136316,0.089337771
1424,792.6,1,1.008,9.933110279,0.704915299,1.021723868,0.68754098,422,21,7.775774942,0.062457656,0.891148521,0.570345481,0.02282525
1425,792.6,1,1.08,9.933110279,0.704915299,1.021723868,0.68754098,908,46,4.763809785,0.007955991,0.985282769,0.545463779,0.051802869
1426,792.6,1,1.152,9.933110279,0.704915299,1.021723868,0.68754098,869,50,4.775624505,0.031111142,0.589024055,0.64954688,0.097686604
1427,792.6,1,1.224,9.933110279,0.704915299,1.021723868,0.68754098,607,31,5.68268648,0.006737748,0.593878298,0.636823867,0.043145507
1428,792.6,1,1.296,9.933110279,0.704915299,1.021723868,0.68754098,707,2,1.069122414,0.033574364,0.696743555,0.72323647,0.099715875
1429,792.6,1,1.368,9.933110279,0.704915299,1.021723868,0.68754098,477,22,3.034283815,0.006127197,0.509536029,0.605622567,0.049652335
1430,792.6,1,1.44,9.933110279,0.704915299,1.021723868,0.68754098,878,3,2.19044812,0.00364999,0.571591681,0.706743372,0.096303316
1440,792.6,1.25,0.648,9.933110279,0.704915299,1.021723868,0.68754098,966,3,1.319849495,0.006734737,0.620879024,0.751365153,0.070229453
1441,792.6,1.25,0.72,9.933110279,0.704915299,1.021723868,0.68754098,439,24,7.565568465,0.252040707,0.711031857,0.57159918,0.044282419
1442,792.6,1.25,0.792,9.933110279,0.704915299,1.021723868,0.68754098,282,45,4.231368929,0.009076045,0.623354993,0.658861095,0.055224361
1443,792.6,1.25,0.864,9.933110279,0.704915299,1.021723868,0.68754098,1000,2,1.272150488,0.007875225,0.879770208,0.924493838,0.042786853
1444,792.6,1.25,0.936,9.933110279,0.704915299,1.021723868,0.68754098,621,35,4.225684249,0.02293938,0.702891939,0.592214594,0.099252129
1445,792.6,1.25,1.008,9.933110279,0.704915299,1.021723868,0.68754098,240,13,7.526530609,0.009359171,0.762686987,0.602879742,0.066518746
1446,792.6,1.25,1.08,9.933110279,0.704915299,1.021723868,0.68754098,190,44,5.738707391,0.003566897,0.954851356,0.555809413,0.089436106
1447,792.6,1.25,1.152,9.933110279,0.704915299,1.021723868,0.68754098,864,41,4.048396637,0.014290012,0.792013122,0.585165703,0.034543275
1448,792.6,1.25,1.224,9.933110279,0.704915299,1.021723868,0.68754098,356,18,2.932282247,0.008413029,0.697945354,0.531958763,0.063619314
1449,792.6,1.25,1.296,9.933110279,0.704915299,1.021723868,0.68754098,899,3,2.164305293,0.003089295,0.773811369,0.910203953,0.017255729
1450,792.6,1.25,1.368,9.933110279,0.704915299,1.021723868,0.68754098,588,16,6.863067966,0.031732262,0.724800157,0.850874189,0.082838842
1451,792.6,1.25,1.44,9.933110279,0.704915299,1.021723868,0.68754098,870,49,6.167066085,0.018504172,0.688743744,0.518897168,0.097213384
1860,815.8,1,0.648,9.933110279,0.704915299,1.021723868,0.68754098,810,21,7.754230568,0.013200233,0.667371527,0.511568043,0.093602044
1861,815.8,1,0.72,9.933110279,0.704915299,1.021723868,0.68754098,488,27,4.062476576,0.0063009,0.711767073,0.62931994,0.037065111
1862,815.8,1,0.792,9.933110279,0.704915299,1.021723868,0.68754098,455,13,5.493181015,0.225083151,0.774712218,0.658659804,0.095570948
1863,815.8,1,0.864,9.933110279,0.704915299,1.021723868,0.68754098,813,46,2.382156237,0.022046294,0.714433696,0.55792052,0.085009746
1864,815.8,1,0.936,9.933110279,0.704915299,1.021723868,0.68754098,311,2,2.848718697,0.019140284,0.666233474,0.871311505,0.091841626
1865,815.8,1,1.008,9.933110279,0.704915299,1.021723868,0.68754098,811,31,7.885435287,0.014795801,0.779958476,0.519475354,0.080509128
1866,815.8,1,1.08,9.933110279,0.704915299,1.021723868,0.68754098,928,2,1.637966903,0.006036019,0.570289938,0.945634355,0.067882785
1867,815.8,1,1.152,9.933110279,0.704915299,1.021723868,0.68754098,936,43,7.583985133,0.011952665,0.855195433,0.514683755,0.044751212
1868,815.8,1,1.224,9.933110279,0.704915299,1.021723868,0.68754098,852,2,8.814220734,0.016108586,0.95768426,0.732630768,0.073770448
1869,815.8,1,1.296,9.933110279,0.704915299,1.021723868,0.68754098,618,31,5.575225471,0.05952777,0.782918088,0.625728309,0.099489697
1870,815.8,1,1.368,9.933110279,0.704915299,1.021723868,0.68754098,284,46,5.934222297,0.010719113,0.557780383,0.588533149,0.079320872
1871,815.8,1,1.44,9.933110279,0.704915299,1.021723868,0.68754098,896,2,3.109646811,0.043857105,0.627839549,0.85591276,0.026732743
1881,815.8,1.25,0.648,9.933110279,0.704915299,1.021723868,0.68754098,540,3,2.129471639,0.011283864,0.550441406,0.7696076,0.031920576
1882,815.8,1.25,0.72,9.933110279,0.704915299,1.021723868,0.68754098,886,20,6.081449488,0.029107919,0.754699406,0.537141261,0.037779245
1883,815.8,1.25,0.792,9.933110279,0.704915299,1.021723868,0.68754098,719,6,5.147109368,0.012168145,0.998642946,0.521842664,0.08374714
1884,815.8,1.25,0.864,9.933110279,0.704915299,1.021723868,0.68754098,1000,34,2.240525395,0.024297515,0.577413564,0.538667508,0.069402848
1885,815.8,1.25,0.936,9.933110279,0.704915299,1.021723868,0.68754098,802,42,8.189322869,0.003949518,0.893171175,0.608045741,0.049747516
1886,815.8,1.25,1.008,9.933110279,0.704915299,1.021723868,0.68754098,431,9,3.784815482,0.017629301,0.546521512,0.621248327,0.03752966
1887,815.8,1.25,1.08,9.933110279,0.704915299,1.021723868,0.68754098,203,4,5.662255245,0.010197239,0.954005164,0.558984573,0.074569097
1888,815.8,1.25,1.152,9.933110279,0.704915299,1.021723868,0.68754098,920,2,1.820960864,0.005836736,0.804032915,0.818367483,0.069163612
1889,815.8,1.25,1.224,9.933110279,0.704915299,1.021723868,0.68754098,371,21,4.051899497,0.001213182,0.82807663,0.928475328,0.072037361
1890,815.8,1.25,1.296,9.933110279,0.704915299,1.021723868,0.68754098,748,2,3.789634652,0.001758722,0.768965659,0.771193583,0.051201252
1891,815.8,1.25,1.368,9.933110279,0.704915299,1.021723868,0.68754098,290,43,5.493941799,0.002629856,0.658479146,0.516239433,0.065959207
1892,815.8,1.25,1.44,9.933110279,0.704915299,1.021723868,0.68754098,455,30,4.92089633,0.018036369,0.768485603,0.501916981,0.074032688
6947,1163.8,1,1.44,25.07122104,0.720151349,0.994738664,0.691294769,571,25,5.802868779,0.002915073,0.743249091,0.556026478,0.034824683
6968,1163.8,1.25,1.44,25.07122104,0.720151349,0.994738664,0.691294769,880,39,7.020238098,0.032775364,0.774927316,0.585483034,0.095008431
6505,1140.6,1,1.368,23.332874,0.712343816,1.008575833,0.705269425,945,43,3.774070776,0.014555969,0.84384176,0.616368521,0.069376205
6526,1140.6,1.25,1.368,23.332874,0.712343816,1.008575833,0.705269425,817,26,6.645350651,0.215261854,0.73874532,0.519235895,0.021103119
4742,1047.8,1,1.44,19.2447947,0.681457831,1.06145288,0.712530605,858,27,5.796938172,0.014394922,0.784019637,0.535071445,0.06199115
4763,1047.8,1.25,1.44,19.2447947,0.681457831,1.06145288,0.712530605,617,30,4.865317284,0.021588122,0.512667091,0.571593685,0.099883974
4741,1047.8,1,1.368,19.2447947,0.684629764,1.056154867,0.71794715,353,3,3.792248176,0.00035428,0.686009843,0.988615079,0.084419936
4762,1047.8,1.25,1.368,19.2447947,0.684629764,1.056154867,0.71794715,744,2,2.71110791,0.015171929,0.529547461,0.840991527,0.065907874
6946,1163.8,1,1.368,25.07122104,0.711098081,1.010700785,0.718751332,742,10,4.897873216,0.013388468,0.827115484,0.550425631,0.036354606
6967,1163.8,1.25,1.368,25.07122104,0.711098081,1.010700785,0.718751332,276,38,2.9191838,0.014064037,0.621307652,0.535804738,0.093390143
4740,1047.8,1,1.296,19.2447947,0.687801697,1.050830143,0.723363695,680,2,1.431187998,0.005895372,0.527689153,0.825084103,0.059542169
4761,1047.8,1.25,1.296,19.2447947,0.687801697,1.050830143,0.723363695,960,42,4.241088162,0.014343023,0.951235163,0.510529093,0.095416289
6504,1140.6,1,1.296,23.332874,0.707878508,1.016373785,0.727484686,339,19,2.992949805,0.012302444,0.661825235,0.592060262,0.068723508
6525,1140.6,1.25,1.296,23.332874,0.707878508,1.016373785,0.727484686,834,15,7.706736273,0.017281413,0.696707737,0.5296625,0.098263671
5183,1071,1,1.44,18.51351215,0.665906673,1.087070183,0.728653819,466,47,2.874233466,0.016956211,0.715276999,0.522546186,0.077911764
5204,1071,1.25,1.44,18.51351215,0.665906673,1.087070183,0.728653819,431,34,3.761918779,0.006335886,0.941237144,0.552757709,0.05611841
4739,1047.8,1,1.224,19.2447947,0.69097363,1.045478301,0.72878024,792,36,5.965227981,0.020762762,0.656979456,0.500985466,0.082975705
4760,1047.8,1.25,1.224,19.2447947,0.69097363,1.045478301,0.72878024,565,34,2.000066639,0.009297457,0.903046187,0.50014181,0.043990339
5182,1071,1,1.368,18.51351215,0.669510903,1.081190575,0.731899329,591,16,3.700924856,0.002444964,0.650639262,0.54990334,0.0404542
5203,1071,1.25,1.368,18.51351215,0.669510903,1.081190575,0.731899329,612,44,5.102384171,0.006331529,0.770157373,0.548083427,0.030225551
4738,1047.8,1,1.152,19.2447947,0.694145563,1.040098921,0.734196786,422,27,3.790873015,0.009741503,0.584918162,0.575377855,0.047382771
4759,1047.8,1.25,1.152,19.2447947,0.694145563,1.040098921,0.734196786,468,34,4.33236412,0.021524534,0.76429976,0.545447063,0.043848581
