Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,Temperature,p(CH4),p(O2),p(CH4)/p(O2),p total,Contact time,X(O2),X(CH4),S(COx),S(C2=),S(C2-),S(C2),Y(C2)
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1073,0.1,0.3,0.3,0.2,0.03,,2.7,,,,50.3,1.4
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1073,0.13,0.3,0.4,0.2,0.03,,3.1,,,,43.6,1.4
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1073,0.15,0.3,0.5,0.2,0.03,,3.5,,,,34.2,1.2
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1098,0.04,0.3,0.1,0.1,0.03,,2.3,,,,43.2,1
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1098,0.06,0.3,0.2,0.2,0.03,,2.6,,,,45,1.2
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1098,0.1,0.3,0.3,0.2,0.03,,3.2,,,,51,1.6
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1098,0.13,0.3,0.4,0.2,0.03,,3.7,,,,43.4,1.6
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1098,0.15,0.3,0.5,0.2,0.03,,4.2,,,,39.2,1.6
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1123,0.04,0.3,0.1,0.1,0.03,,2.7,,,,46.1,1.2
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1123,0.06,0.3,0.2,0.2,0.03,,3.7,,,,41,1.5
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1123,0.1,0.3,0.3,0.2,0.03,,5.7,,,,50.8,2.9
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1123,0.13,0.3,0.4,0.2,0.03,,7.2,,,,39.7,2.8
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1123,0.15,0.3,0.5,0.2,0.03,,8.6,,,,29.1,2.5
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1153,0.04,0.3,0.1,0.1,0.03,,3.4,,,,35,1.2
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1153,0.06,0.3,0.2,0.2,0.03,,4.8,,,,37.7,1.8
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1153,0.1,0.3,0.3,0.2,0.03,,7.3,,,,42.1,3.1
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1153,0.13,0.3,0.4,0.2,0.03,,9.8,,,,31,3
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1153,0.15,0.3,0.5,0.2,0.03,,12,,,,25.5,3.1
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1173,0.04,0.3,0.1,0.1,0.03,,4.4,,,,35.5,1.6
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1173,0.06,0.3,0.2,0.2,0.03,,5.7,,,,39.2,2.2
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1173,0.1,0.3,0.3,0.2,0.03,,8.4,,,,37,3.1
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1173,0.13,0.3,0.4,0.2,0.03,,11.5,,,,26.8,3.1
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1173,0.15,0.3,0.5,0.2,0.03,,13.5,,,,21.5,2.9
La,30,Sr,20,Fe,10,Co,40,,,,,,,,,,,,,,,,n.a.,973,0.23,0.09,2.5,1,0.38,,11.8,96.8,0.4,2.9,3.2,0.4
La,30,Sr,20,Fe,10,Co,40,,,,,,,,,,,,,,,,n.a.,993,0.23,0.09,2.5,1,0.38,,12.1,95.3,0.7,4,4.7,0.6
La,30,Sr,20,Fe,10,Co,40,,,,,,,,,,,,,,,,n.a.,1013,0.23,0.09,2.5,1,0.38,,12.6,94.1,1.1,4.8,5.9,0.7
La,30,Sr,20,Fe,10,Co,40,,,,,,,,,,,,,,,,n.a.,1033,0.23,0.09,2.5,1,0.38,,13.6,92.7,1.7,5.6,7.3,1
La,30,Sr,20,Fe,10,Co,40,,,,,,,,,,,,,,,,n.a.,1053,0.23,0.09,2.5,1,0.38,,13.8,91,2.7,6.3,9,1.2
