,Data Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
0,25,2.339781215391047,-2.0175202489669424,1.4187007084146699,0.7067386012700005,1.018404257447321,0.6850028980278572,726,50,2.8242117756515945,0.010813247108915292,0.6856488286430636,0.6156262306795366,0.04743784101377051
1,31,2.339781215391047,-1.2820697487220316,6.1943857061422305,0.7069475511687053,1.0180846793366056,0.6852188814726512,876,43,3.6964016800905077,0.01917316739041569,0.7485511530188238,0.6305605614722127,0.08177190230481059
2,32,2.339781215391047,-1.2820697487220316,3.2967790783075315,0.7070465952613856,1.0179126217491283,0.6860140561488537,803,25,4.358591616603559,0.008372983600031653,0.8382794099195103,0.5096949387417817,0.025706719038699505
3,33,2.339781215391047,-1.2820697487220316,2.330910202362631,0.7072670987526563,1.0175294626269145,0.6853583809531528,939,41,7.782387750881299,0.005528340740547585,0.9881287865647935,0.6164032054877266,0.05217237833060772
4,87,-3.4910691646765213,-2.0175202489669424,-1.5325653014169696,0.7045965226593731,1.0222754952332833,0.6876856570930742,970,48,7.103365601807941,0.011237293394829984,0.7726580787314099,0.510469650761576,0.04709868763427156
5,88,-3.4910691646765213,-2.0175202489669424,-1.1462177510390095,0.7037605748476388,1.0237116115334983,0.6888463589393728,960,30,3.0222208199648386,0.01735351894038692,0.7946714969131456,0.5157655898762654,0.02329765976352575
6,89,-3.4910691646765213,-2.0175202489669424,-0.7598702006610495,0.7041176597604137,1.0230536330306321,0.6888736374720786,221,41,4.4727183688624965,0.020642797926193272,0.8782867131792781,0.5190075194109461,0.09909064533814288
7,90,-3.4910691646765213,-2.0175202489669424,-0.3735226502830894,0.7041410745304252,1.0230087946217947,0.6884267906725264,917,31,7.623704026103337,0.017176428684578075,0.7571938329943999,0.6374750410824139,0.08697552817971421
8,91,-3.4910691646765213,-2.0175202489669424,0.01282490009487056,0.740024778285721,0.9589655550910692,0.5458382865435897,916,2,3.430217459436834,0.028059592416063393,0.6184024518521158,0.856921584371427,0.08236833628175938
9,92,-3.4910691646765213,-2.0175202489669424,0.3991724504728306,0.7041343101600868,1.0230749760178885,0.6864236420526225,966,41,4.192587845678148,0.028053380332150334,0.5292528448110121,0.5783100717430983,0.05497640276123839
10,93,-3.4910691646765213,-2.0175202489669424,0.7855200008507908,0.690413876246289,1.0465158825365506,0.7056383668091543,630,50,1.3436931093064894,0.39182708219758766,0.8316235731339764,0.664979349269888,0.0483329458340365
11,94,-3.4910691646765213,-2.0175202489669424,1.1718675512287509,0.7034198904920608,1.0242974491246453,0.6891115071995835,445,47,2.73646175528651,0.00536432557108785,0.9916901069433774,0.6164874909499756,0.06636001715642639
12,95,-3.4910691646765213,-2.0175202489669424,1.5582151016067105,0.6957874367594037,1.0374060212658498,0.6982445862195333,223,35,7.317144414336464,0.19767663987657563,0.8539725927068778,0.6187405066707301,0.09734881005498432
13,108,-3.4910691646765213,-1.8336576239057147,-1.5325653014169696,0.7056725672045254,1.020411912678573,0.6873471969606835,407,6,6.166707228979088,0.022184459630086285,0.5848872786464971,0.5748699902309601,0.08658895409266859
14,109,-3.4910691646765213,-1.8336576239057147,-1.1462177510390095,0.7053455716362262,1.0209693097612083,0.6878143901546637,635,15,6.3906222829581925,0.05292798115190653,0.6619544474169532,0.500591968065144,0.05065532395110836
15,110,-3.4910691646765213,-1.8336576239057147,-0.7598702006610495,0.7033863546839209,1.0243171464140282,0.6889624892922364,415,4,4.617908293292718,0.0010364149249325466,0.5265142946200374,0.6177720616551168,0.09226181864805114
16,111,-3.4910691646765213,-1.8336576239057147,-0.3735226502830894,0.7054627433748313,1.0207212309761893,0.6872391993758626,466,41,6.4668740635486515,0.000612301636770474,0.5997160219549275,0.6339500101308628,0.07774508616502396
17,112,-3.4910691646765213,-1.8336576239057147,0.01282490009487056,0.7047029517948403,1.0220369149490998,0.6874545865083733,975,8,3.038735365508048,0.03242147811457646,0.7708692033960016,0.5894556299432052,0.06913691303819279
