Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted
1001.4,5.0,0.504,0.743254573
1001.4,5.25,0.072,3.90064358
1001.4,5.25,0.144,0.0
1001.4,5.25,0.216,0.0
1001.4,5.25,0.288,0.0
1001.4,5.25,0.36,4.820862791
1001.4,5.25,0.432,0.743254573
1001.4,5.25,0.504,0.743254573
1001.4,5.5,0.072,3.90064358
1001.4,5.5,0.144,0.0
1001.4,5.5,0.216,0.0
1001.4,5.5,0.288,0.0
1001.4,5.5,0.36,4.820862791
1001.4,5.5,0.432,0.743254573
1001.4,5.5,0.504,0.743254573
1001.4,5.75,0.072,3.90064358
1001.4,5.75,0.144,0.0
1001.4,5.75,0.216,0.0
1001.4,5.75,0.288,0.0
1001.4,5.75,0.36,4.820862791
1001.4,5.75,0.432,0.743254573
1001.4,5.75,0.504,0.743254573
1001.4,6.0,0.072,3.90064358
1001.4,6.0,0.144,0.0
1001.4,6.0,0.216,0.0
1001.4,6.0,0.288,0.0
1001.4,6.0,0.36,4.820862791
1001.4,6.0,0.432,0.743254573
1001.4,6.0,0.504,0.743254573
1024.6,4.0,0.072,11.76905544
1024.6,4.0,0.144,7.381099591
1024.6,4.0,0.216,6.016338736
1024.6,4.0,0.288,6.016338736
1024.6,4.0,0.36,12.42381932
1024.6,4.0,0.432,8.172252768
1024.6,4.0,0.504,8.172252768
1024.6,4.25,0.072,11.76905544
1024.6,4.25,0.144,7.381099591
1024.6,4.25,0.216,6.016338736
1024.6,4.25,0.288,6.016338736
1024.6,4.25,0.36,12.42381932
1024.6,4.25,0.432,8.172252768
1024.6,4.25,0.504,8.172252768
1024.6,4.5,0.072,11.76905544
1024.6,4.5,0.144,7.381099591
1024.6,4.5,0.216,6.016338736
1024.6,4.5,0.288,6.016338736
1024.6,4.5,0.36,12.42381932
1024.6,4.5,0.432,8.172252768
1024.6,4.5,0.504,8.172252768
1024.6,4.75,0.072,11.76905544
1024.6,4.75,0.144,7.381099591
1024.6,4.75,0.216,6.016338736
1024.6,4.75,0.288,6.016338736
1024.6,4.75,0.36,12.42381932
1024.6,4.75,0.432,8.172252768
1024.6,4.75,0.504,8.172252768
1024.6,5.0,0.072,11.01557307
1024.6,5.0,0.144,6.627617219
1024.6,5.0,0.216,5.243118849
1024.6,5.0,0.288,5.243118849
1024.6,5.0,0.36,11.65059649
1024.6,5.0,0.432,7.399032146
1024.6,5.0,0.504,7.399032146
1024.6,5.25,0.072,11.01557307
1024.6,5.25,0.144,6.627617219
1024.6,5.25,0.216,5.243118849
1024.6,5.25,0.288,5.243118849
1024.6,5.25,0.36,11.65059649
1024.6,5.25,0.432,7.399032146
1024.6,5.25,0.504,7.399032146
1024.6,5.5,0.072,11.01557307
1024.6,5.5,0.144,6.627617219
1024.6,5.5,0.216,5.243118849
1024.6,5.5,0.288,5.243118849
1024.6,5.5,0.36,11.65059649
1024.6,5.5,0.432,7.399032146
1024.6,5.5,0.504,7.399032146
1024.6,5.75,0.072,11.01557307
1024.6,5.75,0.144,6.627617219
1024.6,5.75,0.216,5.243118849
