Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted
826.1111111,5.444444444,0.96,0.770557994
826.1111111,5.444444444,1.12,0.770557994
826.1111111,5.444444444,1.28,0.770557994
826.1111111,5.444444444,1.44,0.770557994
826.1111111,6,0,5.016068602
826.1111111,6,0.16,0
826.1111111,6,0.32,0
826.1111111,6,0.48,0
826.1111111,6,0.64,0.770557994
826.1111111,6,0.8,0.770557994
826.1111111,6,0.96,0.770557994
826.1111111,6,1.12,0.770557994
826.1111111,6,1.28,0.770557994
826.1111111,6,1.44,0.770557994
877.6666667,1,0,9.551309758
877.6666667,1,0.16,6.65334084
877.6666667,1,0.32,2.962152095
877.6666667,1,0.48,6.617509592
877.6666667,1,0.64,9.933110279
877.6666667,1,0.8,9.933110279
877.6666667,1,0.96,9.933110279
877.6666667,1,1.12,9.933110279
877.6666667,1,1.28,9.933110279
877.6666667,1,1.44,9.933110279
877.6666667,1.555555556,0,9.551309758
877.6666667,1.555555556,0.16,6.65334084
877.6666667,1.555555556,0.32,2.962152095
877.6666667,1.555555556,0.48,6.617509592
877.6666667,1.555555556,0.64,9.933110279
877.6666667,1.555555556,0.8,9.933110279
877.6666667,1.555555556,0.96,9.933110279
877.6666667,1.555555556,1.12,9.933110279
877.6666667,1.555555556,1.28,9.933110279
877.6666667,1.555555556,1.44,9.933110279
877.6666667,2.111111111,0,4.515292744
877.6666667,2.111111111,0.16,0.348578371
877.6666667,2.111111111,0.32,0
877.6666667,2.111111111,0.48,0
877.6666667,2.111111111,0.64,2.480894758
877.6666667,2.111111111,0.8,2.480894758
877.6666667,2.111111111,0.96,2.480894758
877.6666667,2.111111111,1.12,2.480894758
877.6666667,2.111111111,1.28,2.480894758
877.6666667,2.111111111,1.44,2.480894758
877.6666667,2.666666667,0,6.782047281
877.6666667,2.666666667,0.16,2.895999252
877.6666667,2.666666667,0.32,0
877.6666667,2.666666667,0.48,2.026172611
877.6666667,2.666666667,0.64,4.682910717
877.6666667,2.666666667,0.8,4.682910717
877.6666667,2.666666667,0.96,4.682910717
877.6666667,2.666666667,1.12,4.682910717
877.6666667,2.666666667,1.28,4.682910717
877.6666667,2.666666667,1.44,4.682910717
877.6666667,3.222222222,0,6.887156007
877.6666667,3.222222222,0.16,1.644695614
877.6666667,3.222222222,0.32,0
877.6666667,3.222222222,0.48,0.695549291
877.6666667,3.222222222,0.64,3.352292825
877.6666667,3.222222222,0.8,3.352292825
877.6666667,3.222222222,0.96,3.352292825
877.6666667,3.222222222,1.12,3.352292825
877.6666667,3.222222222,1.28,3.352292825
877.6666667,3.222222222,1.44,3.352292825
877.6666667,3.777777778,0,6.887156007
877.6666667,3.777777778,0.16,1.644695614
877.6666667,3.777777778,0.32,0
877.6666667,3.777777778,0.48,0.695549291
877.6666667,3.777777778,0.64,3.352292825
877.6666667,3.777777778,0.8,3.352292825
877.6666667,3.777777778,0.96,3.352292825
877.6666667,3.777777778,1.12,3.352292825
877.6666667,3.777777778,1.28,3.352292825
877.6666667,3.777777778,1.44,3.352292825
877.6666667,4.333333333,0,5.678959586
877.6666667,4.333333333,0.16,0.186677293
877.6666667,4.333333333,0.32,0
877.6666667,4.333333333,0.48,0
877.6666667,4.333333333,0.64,1.453188977
877.6666667,4.333333333,0.8,1.453188977
877.6666667,4.333333333,0.96,1.453188977
877.6666667,4.333333333,1.12,1.453188977
877.6666667,4.333333333,1.28,1.453188977
877.6666667,4.333333333,1.44,1.453188977
877.6666667,4.888888889,0,5.678959586
877.6666667,4.888888889,0.16,0.186677293
877.6666667,4.888888889,0.32,0
877.6666667,4.888888889,0.48,0
877.6666667,4.888888889,0.64,1.453188977
877.6666667,4.888888889,0.8,1.453188977
877.6666667,4.888888889,0.96,1.453188977
877.6666667,4.888888889,1.12,1.453188977
877.6666667,4.888888889,1.28,1.453188977
877.6666667,4.888888889,1.44,1.453188977
877.6666667,5.444444444,0,5.016068602
877.6666667,5.444444444,0.16,0
877.6666667,5.444444444,0.32,0
877.6666667,5.444444444,0.48,0
877.6666667,5.444444444,0.64,0.770557994
877.6666667,5.444444444,0.8,0.770557994
877.6666667,5.444444444,0.96,0.770557994
877.6666667,5.444444444,1.12,0.770557994
877.6666667,5.444444444,1.28,0.770557994
877.6666667,5.444444444,1.44,0.770557994
877.6666667,6,0,5.016068602
877.6666667,6,0.16,0
877.6666667,6,0.32,0
877.6666667,6,0.48,0
877.6666667,6,0.64,0.770557994
877.6666667,6,0.8,0.770557994
877.6666667,6,0.96,0.770557994
877.6666667,6,1.12,0.770557994
877.6666667,6,1.28,0.770557994
877.6666667,6,1.44,0.770557994
929.2222222,1,0,9.551309758
929.2222222,1,0.16,6.787931803
929.2222222,1,0.32,3.096741585
929.2222222,1,0.48,6.752099082
929.2222222,1,0.64,10.06770198
929.2222222,1,0.8,10.06770198
929.2222222,1,0.96,10.06770198
929.2222222,1,1.12,10.06770198
929.2222222,1,1.28,10.06770198
929.2222222,1,1.44,10.06770198
929.2222222,1.555555556,0,9.551309758
929.2222222,1.555555556,0.16,6.787931803
929.2222222,1.555555556,0.32,3.096741585
929.2222222,1.555555556,0.48,6.752099082
929.2222222,1.555555556,0.64,10.06770198
929.2222222,1.555555556,0.8,10.06770198
929.2222222,1.555555556,0.96,10.06770198
929.2222222,1.555555556,1.12,10.06770198
929.2222222,1.555555556,1.28,10.06770198
929.2222222,1.555555556,1.44,10.06770198
929.2222222,2.111111111,0,4.515292744
929.2222222,2.111111111,0.16,0.483168758
929.2222222,2.111111111,0.32,0
929.2222222,2.111111111,0.48,0
929.2222222,2.111111111,0.64,2.615485352
929.2222222,2.111111111,0.8,2.615485352
929.2222222,2.111111111,0.96,2.615485352
929.2222222,2.111111111,1.12,2.615485352
929.2222222,2.111111111,1.28,2.615485352
929.2222222,2.111111111,1.44,2.615485352
929.2222222,2.666666667,0,6.782047281
929.2222222,2.666666667,0.16,3.030591871
929.2222222,2.666666667,0.32,0
929.2222222,2.666666667,0.48,2.160763206
929.2222222,2.666666667,0.64,4.817501311
929.2222222,2.666666667,0.8,4.817501311
929.2222222,2.666666667,0.96,4.817501311
929.2222222,2.666666667,1.12,4.817501311
929.2222222,2.666666667,1.28,4.817501311
929.2222222,2.666666667,1.44,4.817501311
929.2222222,3.222222222,0,6.887156007
929.2222222,3.222222222,0.16,1.779286577
929.2222222,3.222222222,0.32,0
929.2222222,3.222222222,0.48,0.830140069
929.2222222,3.222222222,0.64,3.486883788
929.2222222,3.222222222,0.8,3.486883788
929.2222222,3.222222222,0.96,3.486883788
929.2222222,3.222222222,1.12,3.486883788
929.2222222,3.222222222,1.28,3.486883788
929.2222222,3.222222222,1.44,3.486883788
929.2222222,3.777777778,0,6.887156007
929.2222222,3.777777778,0.16,1.779286577
929.2222222,3.777777778,0.32,0
929.2222222,3.777777778,0.48,0.830140069
929.2222222,3.777777778,0.64,3.486883788
929.2222222,3.777777778,0.8,3.486883788
929.2222222,3.777777778,0.96,3.486883788
929.2222222,3.777777778,1.12,3.486883788
929.2222222,3.777777778,1.28,3.486883788
929.2222222,3.777777778,1.44,3.486883788
929.2222222,4.333333333,0,5.678959586
929.2222222,4.333333333,0.16,0.32126791
929.2222222,4.333333333,0.32,0
929.2222222,4.333333333,0.48,0
929.2222222,4.333333333,0.64,1.587780676
929.2222222,4.333333333,0.8,1.587780676
929.2222222,4.333333333,0.96,1.587780676
929.2222222,4.333333333,1.12,1.587780676
929.2222222,4.333333333,1.28,1.587780676
929.2222222,4.333333333,1.44,1.587780676
929.2222222,4.888888889,0,5.678959586
929.2222222,4.888888889,0.16,0.32126791
929.2222222,4.888888889,0.32,0
929.2222222,4.888888889,0.48,0
929.2222222,4.888888889,0.64,1.587780676
929.2222222,4.888888889,0.8,1.587780676
929.2222222,4.888888889,0.96,1.587780676
929.2222222,4.888888889,1.12,1.587780676
929.2222222,4.888888889,1.28,1.587780676
929.2222222,4.888888889,1.44,1.587780676
929.2222222,5.444444444,0,5.016068602
929.2222222,5.444444444,0.16,0
929.2222222,5.444444444,0.32,0
929.2222222,5.444444444,0.48,0
929.2222222,5.444444444,0.64,0.905148957
929.2222222,5.444444444,0.8,0.905148957
929.2222222,5.444444444,0.96,0.905148957
929.2222222,5.444444444,1.12,0.905148957
929.2222222,5.444444444,1.28,0.905148957
929.2222222,5.444444444,1.44,0.905148957
929.2222222,6,0,5.016068602
929.2222222,6,0.16,0
929.2222222,6,0.32,0
929.2222222,6,0.48,0
929.2222222,6,0.64,0.905148957
929.2222222,6,0.8,0.905148957
929.2222222,6,0.96,0.905148957
929.2222222,6,1.12,0.905148957
929.2222222,6,1.28,0.905148957
929.2222222,6,1.44,0.905148957
980.7777778,1,0,10.68182703
980.7777778,1,0.16,8.538964355
980.7777778,1,0.32,4.847765304
980.7777778,1,0.48,8.503131634
980.7777778,1,0.64,11.81873011
980.7777778,1,0.8,11.81873011
980.7777778,1,0.96,11.81873011
980.7777778,1,1.12,11.81873011
980.7777778,1,1.28,11.81873011
980.7777778,1,1.44,11.81873011
980.7777778,1.555555556,0,10.68182703
980.7777778,1.555555556,0.16,8.538964355
980.7777778,1.555555556,0.32,4.847765304
980.7777778,1.555555556,0.48,8.503131634
980.7777778,1.555555556,0.64,11.81873011
980.7777778,1.555555556,0.8,11.81873011
980.7777778,1.555555556,0.96,11.81873011
980.7777778,1.555555556,1.12,11.81873011
980.7777778,1.555555556,1.28,11.81873011
980.7777778,1.555555556,1.44,11.81873011
980.7777778,2.111111111,0,5.681093958
980.7777778,2.111111111,0.16,2.269480747
980.7777778,2.111111111,0.32,0
980.7777778,2.111111111,0.48,1.665991674
980.7777778,2.111111111,0.64,4.401791544
980.7777778,2.111111111,0.8,4.401791544
980.7777778,2.111111111,0.96,4.401791544
980.7777778,2.111111111,1.12,4.401791544
980.7777778,2.111111111,1.28,4.401791544
980.7777778,2.111111111,1.44,4.401791544
980.7777778,2.666666667,0,8.032916057
980.7777778,2.666666667,0.16,4.901961209
980.7777778,2.666666667,0.32,1.250812279
980.7777778,2.666666667,0.48,4.032134384
980.7777778,2.666666667,0.64,6.68887617
980.7777778,2.666666667,0.8,6.68887617
980.7777778,2.666666667,0.96,6.68887617
980.7777778,2.666666667,1.12,6.68887617
980.7777778,2.666666667,1.28,6.68887617
980.7777778,2.666666667,1.44,6.68887617
980.7777778,3.222222222,0,8.185597104
980.7777778,3.222222222,0.16,3.698234493
980.7777778,3.222222222,0.32,0.018711081
980.7777778,3.222222222,0.48,2.749093414
980.7777778,3.222222222,0.64,5.405830967
980.7777778,3.222222222,0.8,5.405830967
980.7777778,3.222222222,0.96,5.405830967
980.7777778,3.222222222,1.12,5.405830967
980.7777778,3.222222222,1.28,5.405830967
980.7777778,3.222222222,1.44,5.405830967
980.7777778,3.777777778,0,8.185597104
980.7777778,3.777777778,0.16,3.698234493
980.7777778,3.777777778,0.32,0.018711081
980.7777778,3.777777778,0.48,2.749093414
980.7777778,3.777777778,0.64,5.405830967
980.7777778,3.777777778,0.8,5.405830967
980.7777778,3.777777778,0.96,5.405830967
980.7777778,3.777777778,1.12,5.405830967
980.7777778,3.777777778,1.28,5.405830967
980.7777778,3.777777778,1.44,5.405830967
980.7777778,4.333333333,0,7.002795628
980.7777778,4.333333333,0.16,2.265614475
980.7777778,4.333333333,0.32,0
980.7777778,4.333333333,0.48,1.107301139
980.7777778,4.333333333,0.64,3.532118936
980.7777778,4.333333333,0.8,3.532118936
980.7777778,4.333333333,0.96,3.532118936
980.7777778,4.333333333,1.12,3.532118936
980.7777778,4.333333333,1.28,3.532118936
980.7777778,4.333333333,1.44,3.532118936
980.7777778,4.888888889,0,7.002795628
980.7777778,4.888888889,0.16,2.265614475
980.7777778,4.888888889,0.32,0
980.7777778,4.888888889,0.48,1.107301139
980.7777778,4.888888889,0.64,3.532118936
980.7777778,4.888888889,0.8,3.532118936
980.7777778,4.888888889,0.96,3.532118936
980.7777778,4.888888889,1.12,3.532118936
980.7777778,4.888888889,1.28,3.532118936
980.7777778,4.888888889,1.44,3.532118936
980.7777778,5.444444444,0,6.249313256
980.7777778,5.444444444,0.16,1.492396612
980.7777778,5.444444444,0.32,0
980.7777778,5.444444444,0.48,0.334083346
980.7777778,5.444444444,0.64,2.758902914
980.7777778,5.444444444,0.8,2.758902914
980.7777778,5.444444444,0.96,2.758902914
980.7777778,5.444444444,1.12,2.758902914
980.7777778,5.444444444,1.28,2.758902914
980.7777778,5.444444444,1.44,2.758902914
980.7777778,6,0,6.249313256
980.7777778,6,0.16,1.492396612
980.7777778,6,0.32,0
980.7777778,6,0.48,0.334083346
980.7777778,6,0.64,2.758902914
980.7777778,6,0.8,2.758902914
980.7777778,6,0.96,2.758902914
980.7777778,6,1.12,2.758902914
980.7777778,6,1.28,2.758902914
980.7777778,6,1.44,2.758902914
1032.333333,1,0,18.87784608
1032.333333,1,0.16,16.78812667
1032.333333,1,0.32,12.82888998
1032.333333,1,0.48,16.11897537
1032.333333,1,0.64,19.43458195
1032.333333,1,0.8,19.43458195
1032.333333,1,0.96,19.43458195
1032.333333,1,1.12,19.43458195
1032.333333,1,1.28,19.43458195
1032.333333,1,1.44,19.43458195
1032.333333,1.555555556,0,18.87784608
1032.333333,1.555555556,0.16,16.78812667
1032.333333,1.555555556,0.32,12.82888998
1032.333333,1.555555556,0.48,16.11897537
1032.333333,1.555555556,0.64,19.43458195
1032.333333,1.555555556,0.8,19.43458195
1032.333333,1.555555556,0.96,19.43458195
1032.333333,1.555555556,1.12,19.43458195
1032.333333,1.555555556,1.28,19.43458195
1032.333333,1.555555556,1.44,19.43458195
1032.333333,2.111111111,0,13.82629957
1032.333333,2.111111111,0.16,10.46785317
1032.333333,2.111111111,0.32,6.508620903
1032.333333,2.111111111,0.48,9.231027302
1032.333333,2.111111111,0.64,11.96682883
