Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Mean_MC,std_MC,abs_error_MC
1094.2,1.0,1.296,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.0,1.368,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.0,1.44,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,0.0,24.23910809,11.505609,9.7077055,12.733499531345212
1094.2,1.25,0.072,23.44322241,11.7234,9.93242,11.719822294033204
1094.2,1.25,0.144,18.36505347,10.788738,9.0588875,7.576315219267578
1094.2,1.25,0.216,17.19386719,10.778913,9.0490675,6.414954645749511
1094.2,1.25,0.288,17.19386719,10.778913,9.0490675,6.414954645749511
1094.2,1.25,0.36,23.08673991,11.450593,9.666927,11.636146915310055
1094.2,1.25,0.432,19.91944184,10.947419,9.197903,8.97202267343506
1094.2,1.25,0.504,19.91944184,10.947419,9.197903,8.97202267343506
1094.2,1.25,0.576,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,0.648,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,0.72,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,0.792,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,0.864,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,0.936,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,1.008,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,1.08,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,1.152,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,1.224,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,1.296,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,1.368,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,1.44,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.5,0.0,24.23910809,11.505609,9.7077055,12.733499531345212
1094.2,1.5,0.072,23.44322241,11.7234,9.93242,11.719822294033204
1094.2,1.5,0.144,18.36505347,10.788738,9.0588875,7.576315219267578
1094.2,1.5,0.216,17.19386719,10.778913,9.0490675,6.414954645749511
1094.2,1.5,0.288,17.19386719,10.778913,9.0490675,6.414954645749511
1094.2,1.5,0.36,23.08673991,11.450593,9.666927,11.636146915310055
1094.2,1.5,0.432,19.91944184,10.947419,9.197903,8.97202267343506
1094.2,1.5,0.504,19.91944184,10.947419,9.197903,8.97202267343506
1094.2,1.5,0.576,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.5,0.648,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.5,0.72,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.5,0.792,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.5,0.864,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.5,0.936,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.5,1.008,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.5,1.08,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.5,1.152,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.5,1.224,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.5,1.296,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.5,1.368,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.5,1.44,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.75,0.0,24.23910809,11.505609,9.7077055,12.733499531345212
1094.2,1.75,0.072,23.44322241,11.7234,9.93242,11.719822294033204
1094.2,1.75,0.144,18.36505347,10.788738,9.0588875,7.576315219267578
1094.2,1.75,0.216,17.19386719,10.778913,9.0490675,6.414954645749511
1094.2,1.75,0.288,17.19386719,10.778913,9.0490675,6.414954645749511
1094.2,1.75,0.36,23.08673991,11.450593,9.666927,11.636146915310055
1094.2,1.75,0.432,19.91944184,10.947419,9.197903,8.97202267343506
1094.2,1.75,0.504,19.91944184,10.947419,9.197903,8.97202267343506
1094.2,1.75,0.576,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.75,0.648,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.75,0.72,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.75,0.792,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.75,0.864,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.75,0.936,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.75,1.008,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.75,1.08,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.75,1.152,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.75,1.224,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.75,1.296,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.75,1.368,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.75,1.44,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,2.0,0.0,22.55461097,11.505609,9.7077055,11.049002411345214
1094.2,2.0,0.072,21.67212698,11.7234,9.93242,9.948726864033205
1094.2,2.0,0.144,16.46648902,10.788738,9.0588875,5.677750769267579
1094.2,2.0,0.216,15.3612353,10.778913,9.0490675,4.582322755749512
