Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Mean_MC,std_MC,abs_error_MC
723.0,1.25,0.792,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.25,0.864,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.25,0.936,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.25,1.008,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.25,1.08,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.25,1.152,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.25,1.224,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.25,1.296,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.25,1.368,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.25,1.44,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.5,0.0,9.551309758,4.033523,7.898583,5.517786675266846
723.0,1.5,0.072,6.994392112,4.077863,7.8591523,2.9165288955998534
723.0,1.5,0.144,3.243188454,3.3652215,8.416468,0.1220330463967283
723.0,1.5,0.216,2.962152095,3.3649998,8.416721,0.4028476761181641
723.0,1.5,0.288,2.962152095,3.3649998,8.416721,0.4028476761181641
723.0,1.5,0.36,9.589847711,4.0622745,7.883403,5.527573254975831
723.0,1.5,0.432,6.617509592,3.4949603,8.3045225,3.122549283925049
723.0,1.5,0.504,6.617509592,3.4949603,8.3045225,3.122549283925049
723.0,1.5,0.576,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.5,0.648,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.5,0.72,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.5,0.792,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.5,0.864,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.5,0.936,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.5,1.008,9.933110279,3.4949603,8.3045225,6.438149970925048
