Mg_C_mol%,Na_C_mol%,Ce_C_mol%,La_C_mol%,Mn_C_mol%,W_C_mol%,Zr_C_mol%,Ti_C_mol%,P_A_mol%,S_A_mol%,Si_S_mol%,Mg_S_mol%,C_S_mol%,Ti_S_mol%,Preparation,Temperature,p(CH4)/p(O2),p total,Contact time,Y(C2)
0.0,75.76,0.0,0.0,2.72,0.51,7.46,0.0,0.0,13.55,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.18,7.5
0.0,75.64,0.0,0.0,0.83,1.41,5.75,0.0,2.77,13.6,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.18,12.5
0.0,74.79,0.0,0.0,0.0,1.48,10.8,0.0,3.12,9.81,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.18,7.5
0.0,71.74,0.0,0.0,2.08,2.35,8.59,0.0,7.45,7.8,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.17,8.4
0.0,69.71,0.0,0.0,2.37,1.78,0.0,0.0,13.19,12.95,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.18,12.0
0.0,69.7,0.0,0.0,1.09,0.31,13.49,0.0,5.2,10.21,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.18,7.8
0.0,69.67,0.0,0.0,3.1,1.31,12.76,0.0,7.37,5.79,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.17,7.8
0.0,67.25,0.0,0.0,0.79,0.0,26.05,0.0,0.0,5.91,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.16,8.4
0.0,66.97,0.0,0.0,0.79,1.79,19.64,0.0,1.89,8.91,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.17,7.9
0.0,66.36,0.0,0.0,0.98,1.65,8.06,0.0,4.66,18.29,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.18,8.0
0.0,65.57,0.0,0.0,2.55,0.0,13.99,0.0,2.02,15.87,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.18,8.2
0.0,64.0,0.0,0.0,0.0,0.68,19.8,0.0,4.29,11.23,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.17,7.2
0.0,62.68,0.0,0.0,5.98,3.37,0.0,0.0,0.0,27.97,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.18,10.9
0.0,60.37,0.0,0.0,0.0,2.22,32.49,0.0,0.0,4.92,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.15,7.8
0.0,58.87,0.0,0.0,0.0,0.0,11.69,0.0,13.52,15.92,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.18,8.2
0.0,57.8,0.0,0.0,2.74,1.54,22.56,0.0,0.0,15.36,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.16,7.8
0.0,56.02,0.0,0.0,3.29,0.46,27.09,0.0,3.91,9.22,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.16,8.4
0.0,54.85,0.0,0.0,3.55,0.0,21.96,0.0,6.35,13.29,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.17,8.4
0.0,52.0,0.0,0.0,6.57,6.79,20.22,0.0,3.65,10.76,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.15,17.2
0.0,49.2,0.0,0.0,3.07,0.56,33.71,0.0,9.75,3.71,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.15,18.8
0.0,49.2,0.0,0.0,3.07,0.56,33.71,0.0,9.75,3.71,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.15,7.4
0.0,48.55,0.0,0.0,3.0,2.25,32.94,0.0,9.52,3.74,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.15,13.7
0.0,44.18,0.0,0.0,1.93,1.09,31.8,0.0,13.79,7.22,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.15,12.5
0.0,41.35,0.0,0.0,2.17,1.84,35.81,0.0,2.59,16.25,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.15,13.0
0.0,39.42,0.0,0.0,4.42,1.66,36.45,0.0,7.02,11.03,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.15,14.9
0.0,39.42,0.0,0.0,4.42,1.66,36.45,0.0,7.02,11.03,0.0,0.0,0.0,0.0,1,1080,0.3,1.0,0.15,12.6
0.0,39.42,0.0,0.0,4.42,1.66,36.45,0.0,7.02,11.03,0.0,0.0,0.0,0.0,1,1095,0.3,1.0,0.15,13.6
0.0,39.42,0.0,0.0,4.42,1.66,36.45,0.0,7.02,11.03,0.0,0.0,0.0,0.0,1,1105,0.3,1.0,0.15,14.6
0.0,39.42,0.0,0.0,4.42,1.66,36.45,0.0,7.02,11.03,0.0,0.0,0.0,0.0,1,1115,0.3,1.0,0.15,12.5
0.0,39.42,0.0,0.0,4.42,1.66,36.45,0.0,7.02,11.03,0.0,0.0,0.0,0.0,1,1130,0.3,1.0,0.15,10.8
0.0,35.81,0.0,0.0,9.07,2.84,37.22,0.0,11.76,3.3,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.14,18.5
0.0,13.72,0.0,0.0,1.51,0.73,2.31,0.0,0.71,3.45,77.57,0.0,0.0,0.0,1,1023,3.0,1.0,0.23,16.0
0.0,8.9,0.0,0.0,3.5,4.5,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0,1,1023,8.1,1.0,0.04,10.8
0.0,8.9,0.0,0.0,3.5,4.5,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0,1,1073,3.2,1.0,0.14,19.6
0.0,8.9,0.0,0.0,3.5,4.5,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0,1,1073,2.5,1.0,0.11,19.2
0.0,8.9,0.0,0.0,3.5,4.5,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0,1,1093,4.0,1.0,0.12,20.7
0.0,8.9,0.0,0.0,3.5,4.5,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0,1,973,2.0,1.0,0.22,17.5
0.0,8.9,0.0,0.0,3.5,4.5,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0,1,1073,2.0,1.0,0.27,20.7
