Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,Temperature,p(CH4),p(O2),p(CH4)/p(O2),p total,Contact time,X(O2),X(CH4),S(COx),S(C2=),S(C2-),S(C2),Y(C2)
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,1048,0.64,0.16,4,1,0.9,,20.5,54,,,46,9.4
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,1073,0.64,0.16,4,1,0.9,,24,46,,,54,13
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,1098,0.64,0.16,4,1,0.9,,27.5,42,,,58,16
Na,3.54,W,1.77,Mn,1.32,,,,,,,,,,,Sr,93.37,,,,,Impregnation,1023,0.4,0.1,4,1,0.01,30,5,76,,,24,1.2
Na,3.17,W,1.58,Mn,12.71,,,,,,,,,,,Si,82.54,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,23.2,58.9,31.8,7.2,41.1,9.5
Na,2.77,W,1.39,Mn,1.03,,,,,,,,,,,Fe,94.81,,,,,Impregnation,1023,0.4,0.1,4,1,0.01,11,2,27.5,,,72.5,1.5
Na,2.77,W,1.39,Mn,1.03,,,,,,,,,,,Ti,94.81,,,,,Impregnation,1023,0.4,0.1,4,1,0.01,12,4,21,,,79,3.2
Na,2.77,W,1.39,Mn,1.03,,,,,,,,,,,Ti,94.81,,,,,Impregnation,1023,0.4,0.1,4,1,0.01,8,2.5,36,,,64,1.6
Na,2.68,W,1.34,Mn,1,,,,,,,,,,,Fe,94.98,,,,,Impregnation,1023,0.4,0.1,4,1,0.01,8,2,37,,,63,1.3
Na,2.65,W,1.33,Mn,10.64,,,,,,,,,,,Si,85.38,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,27.8,56.7,31.9,7.3,43.3,12.1
Na,2.62,W,0.98,Mn,2.19,,,,,,,,,,,Si,94.21,,,,,Impregnation,1021,0.24,0.06,4,1.2,0.95,9.6,1.8,46.3,3.8,47.9,51.7,1
Na,2.62,W,0.98,Mn,2.19,,,,,,,,,,,Si,94.21,,,,,Impregnation,1031,0.24,0.06,4,1.2,0.95,11.6,2.6,47.2,5.7,46.3,52,1.4
Na,2.62,W,0.98,Mn,2.19,,,,,,,,,,,Si,94.21,,,,,Impregnation,1041,0.24,0.06,4,1.2,0.95,15.3,3.8,44.6,6.5,46.3,52.7,2
Na,2.62,W,0.98,Mn,2.19,,,,,,,,,,,Si,94.21,,,,,Impregnation,1052,0.24,0.06,4,1.2,0.95,18.7,5,42.6,8.4,46.3,54.7,2.7
Na,2.62,W,0.98,Mn,2.19,,,,,,,,,,,Si,94.21,,,,,Impregnation,1061,0.24,0.06,4,1.2,0.95,23.7,7.4,41,11.3,44.6,55.9,4.1
Na,2.62,W,0.98,Mn,2.19,,,,,,,,,,,Si,94.21,,,,,Impregnation,1071,0.24,0.06,4,1.2,0.95,29.7,9.2,38.6,14.8,44.3,59.1,5.5
Na,2.15,W,1.08,Mn,1.08,,,,,,,,,,,Si,95.7,,,,,Impregnation,1073,0.83,0.17,5,1,0.13,,33,,51.3,19.7,71,23.4
Na,2.15,W,1.08,Mn,1.08,,,,,,,,,,,Si,95.7,,,,,Impregnation,1073,0.5,0.11,4.8,1,0.13,,30,,49.4,17.6,67,20.1
Na,2.13,W,1.07,Mn,8.55,,,,,,,,,,,Si,88.25,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,28.4,60.6,28.3,7.9,39.4,11.2
Na,2.13,W,1.07,Mn,8.55,,,,,,,,,,,Si,88.25,,,,,Impregnation,973,0.38,0.13,3,1,0.21,,15.1,47.2,30.7,18.7,52.8,8
Na,2.13,W,1.07,Mn,8.55,,,,,,,,,,,Si,88.25,,,,,Impregnation,973,0.38,0.13,3,1,0.42,,33.1,45.6,36,13.9,54.4,18
Na,2.13,W,1.07,Mn,8.55,,,,,,,,,,,Si,88.25,,,,,Impregnation,973,0.38,0.13,3,1,0.64,,33.7,45.2,35.1,14.6,54.8,18.5
Na,2.13,W,1.07,Mn,8.55,,,,,,,,,,,Si,88.25,,,,,Impregnation,973,0.38,0.13,3,1,1.06,,32.4,46.9,34.5,13.5,53.1,17.2
Na,2.13,W,1.07,Mn,8.55,,,,,,,,,,,Si,88.25,,,,,Impregnation,973,0.38,0.13,3,1,2.12,,29,49.2,36.2,10.1,50.8,14.7
Na,2.11,W,1.06,Mn,0.79,,,,,,,,,,,Si,96.05,,,,,Impregnation,1023,0.4,0.1,4,1,0.02,37,7,42,,,58,4.1
Na,2.11,W,1.06,Mn,0.79,,,,,,,,,,,Si,96.05,,,,,Impregnation,1023,0.4,0.1,4,1,0.01,8,3,23,,,77,2.3
Na,2.11,W,1.06,Mn,0.79,,,,,,,,,,,Si,96.05,,,,,Impregnation,973,0.4,0.1,19,3,0.01,17.5,,50,,,50,
Na,2.11,W,1.06,Mn,0.79,,,,,,,,,,,Si,96.05,,,,,Impregnation,973,0.4,0.1,19,4,0.01,19,,50,,,50,
Na,2.11,W,1.06,Mn,0.79,,,,,,,,,,,Si,96.05,,,,,Impregnation,973,0.4,0.1,19,5,0.01,22.5,,48,,,52,
Na,2.11,W,1.06,Mn,0.79,,,,,,,,,,,Si,96.05,,,,,Impregnation,973,0.4,0.1,19,6,0.01,26,,48,,,52,
Na,2.11,W,1.06,Mn,0.79,,,,,,,,,,,Si,96.05,,,,,Impregnation,973,0.4,0.1,19,7,0.01,42,,46,,,53.5,
Na,2.11,W,1.06,Mn,0.79,,,,,,,,,,,Si,96.05,,,,,Impregnation,973,0.4,0.1,19,8,0.01,47.5,,46,,,53,
Na,2.11,W,1.06,Mn,0.79,,,,,,,,,,,Si,96.05,,,,,Impregnation,973,0.4,0.1,19,9,0.01,71,,44,,,54,
Na,2.11,W,1.06,Mn,0.79,,,,,,,,,,,Si,96.05,,,,,Impregnation,973,0.4,0.1,19,10,0.01,83,,40,,,55,
Na,2.11,W,1.06,Mn,0.79,,,,,,,,,,,Si,96.05,,,,,Impregnation,1098,0.4,0.1,2.5,1,0.01,,26.5,27.8,,,72.2,19.1
Na,2.11,W,1.06,Mn,0.79,,,,,,,,,,,Si,96.05,,,,,Impregnation,1098,0.4,0.1,2.5,1,0.01,,35.4,41.9,,,58.1,20.6
Na,2.11,W,1.06,Mn,0.79,,,,,,,,,,,Si,96.05,,,,,Impregnation,1098,0.4,0.1,3,1,0.01,,26.8,40.4,,,59.6,16
Na,2.11,W,1.06,Mn,0.79,,,,,,,,,,,Si,96.05,,,,,Impregnation,1023,,,4,1,,,14,35,,,65,9.1
Na,2.11,W,1.06,Mn,0.79,,,,,,,,,,,Si,96.05,,,,,Impregnation,1023,,,4,1,,,6,41,,,59,3.5
Na,2.11,W,1.06,Mn,0.79,,,,,,,,,,,Si,96.05,,,,,Impregnation,1023,,,4,1,,,2,47.5,,,52.5,1.1
Na,2.1,W,1,Mn,1.1,,,,,,,,,,,Si,95.8,,,,,Impregnation,1073,0.75,0.25,3,1,0.1,,30.2,36.7,39.6,23.8,63.4,19.1
Na,2.08,W,1.04,Mn,4.44,,,,,,,,,,,Si,92.44,,,,,Impregnation,1123,,,5,0.9,0,,11.8,,30.1,42.9,73,8.6
Na,2.08,W,1.04,Mn,4.44,,,,,,,,,,,Si,92.44,,,,,Impregnation,1123,,,5,0.9,0,,14.2,,34.5,48.2,82.7,11.7
Na,2.08,W,1.04,Mn,4.44,,,,,,,,,,,Si,92.44,,,,,Impregnation,1123,,,5,0.9,0,,19.8,,39.8,39.5,79.3,15.7
Na,2.08,W,1.04,Mn,4.44,,,,,,,,,,,Si,92.44,,,,,Impregnation,1123,,,5,0.9,0,,21.7,,42.8,32.9,75.7,16.4
Na,2.08,W,1.04,Mn,4.44,,,,,,,,,,,Si,92.44,,,,,Impregnation,1123,,,5,0.9,0,,25.3,,44.5,28.9,73.3,18.6
Na,2.08,W,1.04,Mn,4.44,,,,,,,,,,,Si,92.44,,,,,Impregnation,1123,,,5,0.9,0,,27.1,,41.7,24.6,66.3,17.9
Na,2.08,W,1.04,Mn,4.44,,,,,,,,,,,Si,92.44,,,,,Impregnation,1048,,,7.5,0.9,0,,11,29,30,41,71,
Na,2.08,W,1.04,Mn,4.44,,,,,,,,,,,Si,92.44,,,,,Impregnation,1073,,,7.5,0.9,0,,13,24,36,40,76,
Na,2.08,W,1.04,Mn,4.44,,,,,,,,,,,Si,92.44,,,,,Impregnation,1098,,,7.5,0.9,0,,13.5,25,40,35,75,
Na,2.08,W,1.04,Mn,4.44,,,,,,,,,,,Si,92.44,,,,,Impregnation,1123,,,7.5,0.9,0,,14,24,42,34,76,
Na,2.08,W,1.04,Mn,4.44,,,,,,,,,,,Si,92.44,,,,,Impregnation,1148,,,7.5,0.9,0,,15.5,34,44,22,66,
Na,2.08,W,1.04,Mn,4.44,,,,,,,,,,,Si,92.44,,,,,Impregnation,1073,,,3,0.9,0,,,40,42,18,60,
Na,2.08,W,1.04,Mn,4.44,,,,,,,,,,,Si,92.44,,,,,Impregnation,1073,,,5,0.9,0,,,30,40,30,70,
Na,2.08,W,1.04,Mn,4.44,,,,,,,,,,,Si,92.44,,,,,Impregnation,1073,,,6,0.9,0,,,25,40,35,75,
Na,2.08,W,1.04,Mn,4.44,,,,,,,,,,,Si,92.44,,,,,Impregnation,1073,,,9,0.9,0,,,16,42.5,41.5,84,
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,1073,0.71,0.29,2.5,1,0.05,100,31.2,43.1,17.3,15,32.3,10.1
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,1073,0.71,0.29,2.5,1,0.05,100,30.7,43.8,43.4,14.7,58.1,17.8
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,1073,,,3,1,1.95,,27.8,35,42.1,22.9,65,18.1
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,1073,,,3,1,1.95,,33.8,40.7,40.7,18.6,59.3,20
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,1023,0.4,0.1,4,1,0.06,27,8,24,,,76,6.1
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.66,,,,,Impregnation,1073,0.67,0.33,2,1,0.55,88.8,43.8,43.3,45.8,,53.3,23.3
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.66,,,,,Impregnation,1013,0.67,0.33,2,1,0.55,41.3,28.3,34.8,49.1,,49.1,13.9
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.66,,,,,Impregnation,1033,0.67,0.33,2,1,0.55,58.9,36.6,37.3,50.1,,50.1,18.3
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.66,,,,,Impregnation,1053,0.67,0.33,2,1,0.55,73.6,41.2,41.5,48,,48,19.8
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.66,,,,,Impregnation,1073,0.67,0.33,2,1,0.55,88.7,43.9,45.7,44.8,,44.8,19.7
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.66,,,,,Impregnation,1093,0.67,0.33,2,1,0.55,94.8,46.4,47.4,43,,43,20
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.66,,,,,Impregnation,1073,0.5,0.5,1,1,0.55,,54.8,51.7,,,40.5,22
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.66,,,,,Impregnation,1073,0.67,0.33,2,1,0.55,,45.4,45.6,,,46.1,20.8
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.66,,,,,Impregnation,1073,0.75,0.25,3,1,0.55,,35.2,35.1,,,46.9,17.9
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.66,,,,,Impregnation,1073,0.8,0.2,4,1,0.55,,26.2,28.3,,,50.4,13.2
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.66,,,,,Impregnation,1073,0.83,0.17,5,1,0.55,,22.1,23.6,,,52.3,11.5
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.66,,,,,Impregnation,1073,0.67,0.33,2,1,0.36,,42.5,39.4,,,47.3,20
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.66,,,,,Impregnation,1073,0.67,0.33,2,1,1.44,,46.7,54.3,,,40.2,18.7
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.66,,,,,Impregnation,1073,0.67,0.33,2,1,0.9,,46.1,47.7,,,42.5,19.6
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.66,,,,,Impregnation,1073,0.67,0.33,2,1,0.72,,44.9,46.2,,,41.6,18.6
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.66,,,,,Impregnation,1073,0.67,0.33,2,1,0.51,,41,42.5,,,42.1,17.1
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.66,,,,,Impregnation,1073,0.67,0.33,2,1,0.42,,38.9,43,,,42.9,16.6
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.66,,,,,Impregnation,1073,0.67,0.33,2,1,0.36,,36.2,40.8,,,43.4,15.5
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,1056,0.64,0.36,1.8,1,0.02,33,16,35,28,34,65,10
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,1153,0.66,0.34,1.9,1,0.02,99,46,52,33,10,48,22
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,1175,0.64,0.36,1.8,1,0.02,99,46,54,32,9,46,21
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,973,0.95,0.05,19,1,,,2,5,0,95,0,95
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,973,0.95,0.05,19,3,,17.5,,50,,,50,
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,973,0.95,0.05,19,4,,19,,50,,,50,
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,973,0.95,0.05,19,5,,22.5,,48,,,52,
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,973,0.95,0.05,19,6,,26,,48,,,52,
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,973,0.95,0.05,19,7,,42,,46,,,53.5,
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,973,0.95,0.05,19,8,,47.5,,46,,,53,
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,973,0.95,0.05,19,9,,71,,44,,,54,
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,973,0.95,0.05,19,10,,83,,40,,,55,
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,1023,0.06,0.04,1.6,1,,,48,33,,,67,32
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,973,0.06,0.04,1.6,1,,,24,25,,,75,18
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Impregnation,1023,0.44,0.11,4,1,0.37,,15.8,,,,36.6,5.8
Na,2.08,W,1.04,Mn,2.23,Rh,0.06,,,,,,,,,Si,94.59,,,,,Impregnation,1023,0.44,0.11,4,1,0.37,,9.2,,,,61.9,5.7
Na,2.08,W,1.04,Mn,2.23,Ir,0.03,,,,,,,,,Si,94.62,,,,,Impregnation,1023,0.44,0.11,4,1,0.37,,14.5,,,,51.4,7.5
Na,2.08,W,1.04,Mn,2.23,Pt,0.03,,,,,,,,,Si,94.62,,,,,Impregnation,1023,0.44,0.11,4,1,0.37,,14.2,,,,39.6,5.6
Na,2.07,W,0.26,Mn,3.29,,,,,,,,,,,Si,94.38,,,,,Impregnation,1133,0.5,0.11,4.8,1,,,,,,,68.9,
Na,1.98,W,0.99,Mn,0.74,,,,,,,,,,,Ca,96.3,,,,,Impregnation,1023,0.4,0.1,4,1,0.01,99,18,72,,,28,5
Na,1.8,W,0.9,Mn,0.67,,,,,,,,,,,Al,96.62,,,,,Impregnation,1023,0.4,0.1,4,1,0.01,97,13,75,,,25,3.3
Na,1.61,W,0.8,Mn,4.32,,,,,,,,,,,Si,93.27,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,27.7,62.2,26.6,7.8,37.8,10.5
Na,1.44,W,0.72,Mn,0.53,,,,,,,,,,,Mg,97.31,,,,,Impregnation,1023,0.4,0.1,4,1,0.01,26,4,74,,,26,1
Na,1.43,W,0.71,Mn,0.53,,,,,,,,,,,Si,48.66,C,48.66,,,Impregnation,1023,0.4,0.1,4,1,0.02,14,4,38,,,62,2.5
Na,0.54,W,0.27,Mn,2.17,,,,,,,,,,,Si,97.02,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,18,68.7,19,9.9,31.3,5.6
Na,0.06,W,0.03,Mn,1.52,,,,,,,,,,,Si,98.38,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,18.8,62.3,24.9,9.3,37.7,7.1
Na,0.05,W,0.03,Mn,2.97,,,,,,,,,,,Si,96.95,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,21.2,63.6,25.8,7.9,36.4,7.7
Na,0.05,W,0.02,Mn,4.33,,,,,,,,,,,Si,95.59,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,23.4,63.6,26.1,7.2,36.4,8.5
Na,0.04,W,0.02,Mn,5.63,,,,,,,,,,,Si,94.31,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,29.1,50.4,35.7,9.5,49.6,14.5
Na,0.03,W,0.02,Mn,6.86,,,,,,,,,,,Si,93.08,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,25.4,63.8,26.6,6.6,36.2,9.2
Na,0.03,W,0.01,Mn,8.04,,,,,,,,,,,Si,91.92,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,23.2,63.3,23.3,8.9,36.7,8.5
Na,0.02,W,0.01,Mn,9.15,,,,,,,,,,,Si,90.82,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,17,64.1,22.5,10.1,35.9,6.1
Na,0.01,W,0.01,Mn,10.22,,,,,,,,,,,Si,89.76,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,16.7,66.4,20.4,10.3,33.6,5.6
Na,0.01,W,0,Mn,11.24,,,,,,,,,,,Si,88.75,,,,,Impregnation,973,0.75,0.25,3,1,0.07,,16.4,68.6,19.6,9.4,31.4,5.1
Na,12.13,Mn,11.86,W,1.59,,,,,,,,,,,Si,74.42,,,,,IJP-A synthesis,1093,0.45,0.15,3,1,0.06,,23.3,,30.9,28,58.9,13.7
Na,10.55,Mn,5.48,W,3.37,,,,,,,,,,,Si,80.6,,,,,IJP-A synthesis,1111,0.45,0.15,3,1,0.06,,37.2,,31,19.4,50.4,18.8
Na,9.5,Mn,5.43,W,1.49,,,,,,,,,,,Si,83.58,,,,,IJP-A synthesis,1109,0.45,0.15,3,1,0.06,,36.9,,34.1,18.9,53,19.6
Na,7.43,Mn,6.17,W,0.76,,,,,,,,,,,Si,85.63,,,,,IJP-A synthesis,1103,0.45,0.15,3,1,0.06,,32.1,,38.3,21.3,59.6,19.1
Na,7.25,Mn,7.9,W,1.83,,,,,,,,,,,Si,83.02,,,,,IJP-A synthesis,1111,0.45,0.15,3,1,0.06,,34.4,,37.3,18.6,55.9,19.2
Na,7.16,Mn,6.03,W,1.83,,,,,,,,,,,Si,84.98,,,,,IJP-A synthesis,1115,0.45,0.15,3,1,0.06,,38.1,,37.8,18.9,56.7,21.6
Na,7.01,Mn,6.14,W,1.58,,,,,,,,,,,Si,85.27,,,,,IJP-A synthesis,1118,0.45,0.15,3,1,0.06,,40.6,,35.9,17.9,53.8,21.9
Na,6.99,Mn,5.89,W,2.13,,,,,,,,,,,Si,84.99,,,,,IJP-A synthesis,1111,0.45,0.15,3,1,0.06,,41.4,,35.6,18.7,54.3,22.5
Na,6.92,Mn,8.14,W,0.7,,,,,,,,,,,Si,84.24,,,,,IJP-A synthesis,1095,0.45,0.15,3,1,0.06,,30,,40.4,23.8,64.2,19.3
Na,6.86,Mn,8.07,W,1.58,,,,,,,,,,,Si,83.49,,,,,IJP-A synthesis,1113,0.45,0.15,3,1,0.06,,42.8,,37.7,18,55.7,23.8
Na,6.58,Mn,7.89,W,2.18,,,,,,,,,,,Si,83.36,,,,,IJP-A synthesis,1110,0.45,0.15,3,1,0.06,,41.2,,34.8,18.3,53.1,21.9
Na,6.28,Mn,5.66,W,1.53,,,,,,,,,,,Si,86.53,,,,,IJP-A synthesis,1105,0.45,0.15,3,1,0.06,,35.1,,30.5,20.3,50.8,17.8
Na,5.96,Mn,6.44,W,1.66,,,,,,,,,,,Si,85.95,,,,,IJP-A synthesis,1109,0.45,0.15,3,1,0.06,,32.7,,36.3,20.1,56.4,18.4
Na,5.79,Mn,0.31,W,0.62,,,,,,,,,,,Si,93.27,,,,,IJP-A synthesis,1106,0.45,0.15,3,1,0.07,,29.1,,32.1,20.1,52.2,15.2
Na,5.69,Mn,5.61,W,3.64,,,,,,,,,,,Si,85.06,,,,,IJP-A synthesis,1114,0.45,0.15,3,1,0.06,,38.9,,32.9,20.6,53.5,20.8
Na,5.55,Mn,2.23,W,1.5,,,,,,,,,,,Si,90.72,,,,,IJP-A synthesis,1105,0.45,0.15,3,1,0.07,,28.3,,30.5,19,49.5,14
Na,5.15,Mn,12.87,W,1.52,,,,,,,,,,,Si,80.46,,,,,IJP-A synthesis,1126,0.45,0.15,3,1,0.06,,39.5,,36.5,19.2,55.7,22
Na,5.14,Mn,2.15,W,0.53,,,,,,,,,,,Si,92.18,,,,,IJP-A synthesis,1090,0.45,0.15,3,1,0.07,,31.8,,35.7,17.8,53.5,17
Na,4.8,Mn,12.54,W,3.19,,,,,,,,,,,Si,79.47,,,,,IJP-A synthesis,1106,0.45,0.15,3,1,0.06,,34.3,,35.9,22.5,58.4,20
Na,4.72,Mn,13.93,W,3.14,,,,,,,,,,,Si,78.21,,,,,IJP-A synthesis,1110,0.45,0.15,3,1,0.06,,40.3,,37.2,20.6,57.8,23.3
Na,3.21,Mn,6.1,W,1.6,,,,,,,,,,,Si,89.09,,,,,IJP-A synthesis,1117,0.45,0.15,3,1,0.06,,41.3,,34.9,18.4,53.3,22
Na,3.09,Mn,8.26,W,1.64,,,,,,,,,,,Si,87.01,,,,,IJP-A synthesis,953,0.45,0.15,3,1,0.06,3.3,0.7,,,,7.2,0.1
Na,3.09,Mn,8.26,W,1.64,,,,,,,,,,,Si,87.01,,,,,IJP-A synthesis,973,0.45,0.15,3,1,0.06,14.1,3.6,,,,24.6,0.9
Na,3.09,Mn,8.26,W,1.64,,,,,,,,,,,Si,87.01,,,,,IJP-A synthesis,1023,0.45,0.15,3,1,0.06,52.7,21.7,,,,53.2,11.6
Na,3.09,Mn,8.26,W,1.64,,,,,,,,,,,Si,87.01,,,,,IJP-A synthesis,1043,0.45,0.15,3,1,0.06,80,33.7,,,,57.8,19.4
Na,3.09,Mn,8.26,W,1.64,,,,,,,,,,,Si,87.01,,,,,IJP-A synthesis,1073,0.45,0.15,3,1,0.06,97.1,38.7,,,,58.5,22.6
Na,3.09,Mn,8.26,W,1.64,,,,,,,,,,,Si,87.01,,,,,IJP-A synthesis,1093,0.45,0.15,3,1,0.13,97.6,39.1,,,,58.5,22.9
Na,3.09,Mn,8.26,W,1.64,,,,,,,,,,,Si,87.01,,,,,IJP-A synthesis,1073,0.45,0.15,3,1,0.13,,20.9,,,,67.1,14
Na,3.09,Mn,8.26,W,1.64,,,,,,,,,,,Si,87.01,,,,,IJP-A synthesis,1073,0.45,0.15,3,1,0.04,,10.8,,,,71.6,7.7
Na,3.09,Mn,8.26,W,1.64,,,,,,,,,,,Si,87.01,,,,,IJP-A synthesis,1073,0.45,0.15,2,1,0.06,,42.2,,,,45.6,19.2
Na,3.09,Mn,8.26,W,1.64,,,,,,,,,,,Si,87.01,,,,,IJP-A synthesis,1073,0.45,0.15,4,1,0.06,,19.8,,,,64.1,12.7
Na,3.09,Mn,8.26,W,1.64,,,,,,,,,,,Si,87.01,,,,,IJP-A synthesis,1073,0.45,0.15,5,1,0.06,,12.8,,,,70.9,9.1
Na,3.09,Mn,8.26,W,1.64,,,,,,,,,,,Si,87.01,,,,,IJP-A synthesis,1121,0.45,0.15,3,1,0.06,,42.5,,37.4,18.7,56.1,23.8
Na,3.06,Mn,6.07,W,2.29,,,,,,,,,,,Si,88.58,,,,,IJP-A synthesis,1115,0.45,0.15,3,1,0.06,,42.6,,37.9,18,55.9,23.8
Na,2.97,Mn,6.28,W,1.97,,,,,,,,,,,Si,88.77,,,,,IJP-A synthesis,1110,0.45,0.15,3,1,0.06,,37.8,,35.7,19.8,55.5,21
Na,2.94,Mn,8.38,W,2.21,,,,,,,,,,,Si,86.47,,,,,IJP-A synthesis,1111,0.45,0.15,3,1,0.06,,41.5,,36,19,55,22.8
Na,2.92,Mn,6.34,W,0.79,,,,,,,,,,,Si,89.94,,,,,IJP-A synthesis,1114,0.45,0.15,3,1,0.06,,39.2,,39.6,18.9,58.5,22.9
Na,2.9,Mn,8.27,W,0.77,,,,,,,,,,,Si,88.06,,,,,IJP-A synthesis,1114,0.45,0.15,3,1,0.06,,39.7,,40.7,19.4,60.1,23.8
Na,2.6,Mn,8.35,W,1.97,,,,,,,,,,,Si,87.08,,,,,IJP-A synthesis,1103,0.45,0.15,3,1,0.06,,36.8,,37.2,18.6,55.8,20.5
Na,2.53,Mn,2.7,W,0.6,,,,,,,,,,,Si,94.16,,,,,IJP-A synthesis,1112,0.45,0.15,3,1,0.07,,31.4,,32.9,19.3,52.2,16.4
Na,2.3,Mn,2.49,W,1.52,,,,,,,,,,,Si,93.69,,,,,IJP-A synthesis,1121,0.45,0.15,3,1,0.07,,29.5,,28.9,19.3,48.2,14.2
Na,2.26,Mn,5.49,W,0.59,,,,,,,,,,,Si,91.67,,,,,IJP-A synthesis,1092,0.45,0.15,3,1,0.06,,34.5,,39.7,17.3,57,19.7
Na,2.17,Mn,5.69,W,1.38,,,,,,,,,,,Si,90.76,,,,,IJP-A synthesis,1113,0.45,0.15,3,1,0.06,,29.2,,29.1,19.4,48.5,14.2
Na,0.3,Mn,1.93,W,1.21,,,,,,,,,,,Si,96.56,,,,,IJP-A synthesis,1113,0.45,0.15,3,1,0.07,,39,,39.5,17.2,56.7,22.1
Na,2.11,W,2.06,Mn,0.79,,,,,,,,,,,Si,95.05,,,,,Citric acid method,1073,0.32,0.08,4,1,0,60.3,15.3,52.4,,,47.6,7.3
Na,2.11,W,1.06,Mn,0.79,,,,,,,,,,,Si,96.05,,,,,Citric acid method,1073,0.32,0.08,4,1,0,67,23.8,54.2,,,45.8,10.9
Mn,2.23,Na,2.08,W,1.04,,,,,,,,,,,Si,94.65,,,,,Solid-phase technique,1122,0.68,0.32,2.1,1,0.14,18,13,42,27,30,58,7.5
