Mg_C_mol%,Na_C_mol%,Ce_C_mol%,La_C_mol%,Mn_C_mol%,W_C_mol%,Zr_C_mol%,Ti_C_mol%,P_A_mol%,S_A_mol%,Si_S_mol%,Mg_S_mol%,C_S_mol%,Ti_S_mol%,Preparation,Temperature,p(CH4)/p(O2),p total,Contact time,Y(C2)
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.66,0.0,0.0,0.0,1.0,1093.0,2.0,1.0,0.55,20.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.66,0.0,0.0,0.0,1.0,1073.0,1.0,1.0,0.55,22.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.66,0.0,0.0,0.0,1.0,1073.0,2.0,1.0,0.55,20.8
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.66,0.0,0.0,0.0,1.0,1073.0,3.0,1.0,0.55,17.9
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.66,0.0,0.0,0.0,1.0,1073.0,4.0,1.0,0.55,13.2
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.66,0.0,0.0,0.0,1.0,1073.0,5.0,1.0,0.55,11.5
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.66,0.0,0.0,0.0,1.0,1073.0,2.0,1.0,0.36,20.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.66,0.0,0.0,0.0,1.0,1073.0,2.0,1.0,1.44,18.7
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.66,0.0,0.0,0.0,1.0,1073.0,2.0,1.0,0.9,19.6
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.66,0.0,0.0,0.0,1.0,1073.0,2.0,1.0,0.72,18.6
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.66,0.0,0.0,0.0,1.0,1073.0,2.0,1.0,0.51,17.1
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.66,0.0,0.0,0.0,1.0,1073.0,2.0,1.0,0.42,16.6
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.66,0.0,0.0,0.0,1.0,1073.0,2.0,1.0,0.36,15.5
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1056.0,1.8,1.0,0.02,10.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1153.0,1.9,1.0,0.02,22.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1175.0,1.8,1.0,0.02,21.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1023.0,4.0,1.0,0.37,5.8
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1122.0,2.1,1.0,0.14,7.5
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1157.0,2.1,1.0,0.14,12.1
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1187.0,2.1,1.0,0.14,14.2
0.0,2.11,0.0,0.0,2.26,1.06,0.0,0.0,0.0,0.0,89.84,0.0,0.0,4.73,1.0,1048.0,3.0,1.0,0.36,13.4
0.0,2.11,0.0,0.0,2.26,1.06,0.0,0.0,0.0,0.0,80.38,4.73,0.0,9.46,1.0,1048.0,3.0,1.0,0.36,4.8
0.0,2.11,0.0,0.0,2.26,1.06,0.0,0.0,0.0,0.0,89.84,0.0,0.0,4.73,1.0,1073.0,3.0,1.0,0.36,20.9
0.0,2.11,0.0,0.0,2.26,1.06,0.0,0.0,0.0,0.0,80.38,4.73,0.0,9.46,1.0,1073.0,3.0,1.0,0.36,12.0
0.0,2.11,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,88.91,0.95,0.0,4.73,1.0,1048.0,3.0,1.0,0.36,10.5
0.0,2.11,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,88.91,0.95,0.0,4.73,1.0,1073.0,3.0,1.0,0.36,10.4
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,91.76,0.0,0.0,2.84,1.0,1048.0,3.0,1.0,0.36,7.9
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,91.76,0.0,0.0,2.84,1.0,1073.0,3.0,1.0,0.36,12.3
0.0,2.09,0.0,0.0,2.24,1.05,0.0,0.0,0.0,0.0,87.05,2.84,0.0,4.73,1.0,1048.0,3.0,1.0,0.36,19.0
0.0,2.09,0.0,0.0,2.24,1.05,0.0,0.0,0.0,0.0,87.05,2.84,0.0,4.73,1.0,1073.0,3.0,1.0,0.36,18.9
0.0,2.09,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,93.69,0.0,0.0,0.95,1.0,1048.0,3.0,1.0,0.36,6.1
0.0,2.09,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,93.69,0.0,0.0,0.95,1.0,1073.0,3.0,1.0,0.36,11.6
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1048.0,3.0,1.0,0.36,15.3
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,85.19,4.73,0.0,4.73,1.0,1048.0,3.0,1.0,0.36,19.3
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1073.0,3.0,1.0,0.36,17.1
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1073.0,3.0,1.0,0.36,16.5
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,85.19,4.73,0.0,4.73,1.0,1073.0,3.0,1.0,0.36,23.1
47.33,2.08,0.0,0.0,2.23,1.04,0.0,47.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,998.0,2.0,1.0,0.18,3.1
47.33,2.08,0.0,0.0,2.23,1.04,0.0,47.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1023.0,2.0,1.0,0.18,2.3
47.33,2.08,0.0,0.0,2.23,1.04,0.0,47.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1048.0,2.0,1.0,0.18,2.4
47.33,2.08,0.0,0.0,2.23,1.04,0.0,47.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1048.0,2.0,1.0,0.18,1.0
47.33,2.08,0.0,0.0,2.23,1.04,0.0,47.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1073.0,2.0,1.0,0.18,6.3
47.33,2.08,0.0,0.0,2.23,1.04,0.0,47.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1098.0,2.0,1.0,0.18,18.0
47.33,2.08,0.0,0.0,2.23,1.04,0.0,47.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1123.0,2.0,1.0,0.18,17.7
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,903.0,3.0,1.0,0.37,0.7
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,918.0,3.0,1.0,0.37,1.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,933.0,3.0,1.0,0.37,1.5
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,958.0,3.0,1.0,0.37,2.4
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,973.0,3.0,1.0,0.37,3.7
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1008.0,3.0,1.0,0.37,4.8
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1023.0,3.0,1.0,0.37,6.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,993.0,3.0,1.0,0.19,2.9
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1018.0,3.0,1.0,0.19,5.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1038.0,3.0,1.0,0.19,6.3
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1073.0,3.0,1.0,0.19,8.4
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1093.0,3.0,1.0,0.19,11.4
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1113.0,3.0,1.0,0.19,11.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1128.0,3.0,1.0,0.19,11.1
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,988.0,3.0,1.0,0.09,2.3
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1013.0,3.0,1.0,0.09,4.1
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1038.0,3.0,1.0,0.09,8.2
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1073.0,3.0,1.0,0.09,13.3
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1098.0,3.0,1.0,0.09,19.2
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1113.0,3.0,1.0,0.09,19.3
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1133.0,3.0,1.0,0.09,18.4
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1148.0,3.0,1.0,0.09,18.3
0.0,2.13,1.12,0.0,2.28,1.07,0.0,0.0,0.0,0.0,93.4,0.0,0.0,0.0,1.0,1113.0,3.0,1.0,0.04,20.5
