,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Extrapolation Strength,Extrapolating Variables
25,1073.0,1.0,0.55,21.62132605,2,"['Temperature', 'pCH4_per_pO2']"
31,1073.0,2.0,1.44,19.8820515,2,"['Temperature', 'Contact time']"
32,1073.0,2.0,0.9,19.8820515,2,"['Temperature', 'Contact time']"
33,1073.0,2.0,0.72,19.8820515,2,"['Temperature', 'Contact time']"
87,723.0,1.0,0.0,9.551309758,2,"['Temperature', 'pCH4_per_pO2']"
88,723.0,1.0,0.072,6.994392112,2,"['Temperature', 'pCH4_per_pO2']"
89,723.0,1.0,0.144,3.243188454,2,"['Temperature', 'pCH4_per_pO2']"
90,723.0,1.0,0.216,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
91,723.0,1.0,0.288,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
92,723.0,1.0,0.36,9.589847711,2,"['Temperature', 'pCH4_per_pO2']"
93,723.0,1.0,0.432,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
94,723.0,1.0,0.504,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
95,723.0,1.0,0.576,9.933110279,2,"['Temperature', 'pCH4_per_pO2']"
108,723.0,1.25,0.0,9.551309758,2,"['Temperature', 'pCH4_per_pO2']"
109,723.0,1.25,0.072,6.994392112,2,"['Temperature', 'pCH4_per_pO2']"
110,723.0,1.25,0.144,3.243188454,2,"['Temperature', 'pCH4_per_pO2']"
111,723.0,1.25,0.216,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
112,723.0,1.25,0.288,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
113,723.0,1.25,0.36,9.589847711,2,"['Temperature', 'pCH4_per_pO2']"
114,723.0,1.25,0.432,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
115,723.0,1.25,0.504,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
116,723.0,1.25,0.576,9.933110279,2,"['Temperature', 'pCH4_per_pO2']"
138,723.0,1.5000000000000002,0.648,9.933110279,2,"['Temperature', 'Contact time']"
139,723.0,1.5000000000000002,0.72,9.933110279,2,"['Temperature', 'Contact time']"
140,723.0,1.5000000000000002,0.792,9.933110279,2,"['Temperature', 'Contact time']"
141,723.0,1.5000000000000002,0.864,9.933110279,2,"['Temperature', 'Contact time']"
142,723.0,1.5000000000000002,0.936,9.933110279,2,"['Temperature', 'Contact time']"
143,723.0,1.5000000000000002,1.008,9.933110279,2,"['Temperature', 'Contact time']"
144,723.0,1.5000000000000002,1.08,9.933110279,2,"['Temperature', 'Contact time']"
145,723.0,1.5000000000000002,1.152,9.933110279,2,"['Temperature', 'Contact time']"
146,723.0,1.5000000000000002,1.224,9.933110279,2,"['Temperature', 'Contact time']"
147,723.0,1.5000000000000002,1.296,9.933110279,2,"['Temperature', 'Contact time']"
148,723.0,1.5000000000000002,1.368,9.933110279,2,"['Temperature', 'Contact time']"
149,723.0,1.5000000000000002,1.44,9.933110279,2,"['Temperature', 'Contact time']"
159,723.0,1.75,0.648,9.933110279,2,"['Temperature', 'Contact time']"
160,723.0,1.75,0.72,9.933110279,2,"['Temperature', 'Contact time']"
161,723.0,1.75,0.792,9.933110279,2,"['Temperature', 'Contact time']"
162,723.0,1.75,0.864,9.933110279,2,"['Temperature', 'Contact time']"
163,723.0,1.75,0.936,9.933110279,2,"['Temperature', 'Contact time']"
164,723.0,1.75,1.008,9.933110279,2,"['Temperature', 'Contact time']"
165,723.0,1.75,1.08,9.933110279,2,"['Temperature', 'Contact time']"
166,723.0,1.75,1.152,9.933110279,2,"['Temperature', 'Contact time']"
167,723.0,1.75,1.224,9.933110279,2,"['Temperature', 'Contact time']"
168,723.0,1.75,1.296,9.933110279,2,"['Temperature', 'Contact time']"
169,723.0,1.75,1.368,9.933110279,2,"['Temperature', 'Contact time']"
