,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Extrapolation Strength,Extrapolating Variables,R2,MAE
6400,1071,1,0.288,11.97755627,1,['pCH4_per_pO2'],0.569125813,0.717772887
6401,1071,1,0.36,18.31886653,1,['pCH4_per_pO2'],0.813291276,0.464626833
6402,1071,1,0.432,15.19790558,1,['pCH4_per_pO2'],0.83136192,0.476444817
6403,1071,1,0.504,15.19790558,1,['pCH4_per_pO2'],0.78513112,0.49174046
6418,1071,1.25,0.072,16.79609882,1,['pCH4_per_pO2'],0.550509282,0.730710147
6419,1071,1.25,0.144,12.41810558,1,['pCH4_per_pO2'],0.576123524,0.711610053
6420,1071,1.25,0.216,11.97755627,1,['pCH4_per_pO2'],0.812908407,0.463938648
6421,1071,1.25,0.288,11.97755627,1,['pCH4_per_pO2'],0.569125813,0.717772887
6422,1071,1.25,0.36,18.31886653,1,['pCH4_per_pO2'],0.813291276,0.464626833
6423,1071,1.25,0.432,15.19790558,1,['pCH4_per_pO2'],0.83136192,0.476444817
6424,1071,1.25,0.504,15.19790558,1,['pCH4_per_pO2'],0.78513112,0.49174046
6439,1071,1.5,0.072,16.79609882,1,['pCH4_per_pO2'],0.550509282,0.730710147
6440,1071,1.5,0.144,12.41810558,1,['pCH4_per_pO2'],0.576123524,0.711610053
6441,1071,1.5,0.216,11.97755627,1,['pCH4_per_pO2'],0.812908407,0.463938648
6442,1071,1.5,0.288,11.97755627,1,['pCH4_per_pO2'],0.569125813,0.717772887
6443,1071,1.5,0.36,18.31886653,1,['pCH4_per_pO2'],0.813291276,0.464626833
6444,1071,1.5,0.432,15.19790558,1,['pCH4_per_pO2'],0.83136192,0.476444817
6445,1071,1.5,0.504,15.19790558,1,['pCH4_per_pO2'],0.78513112,0.49174046
6460,1071,1.75,0.072,16.79609882,1,['pCH4_per_pO2'],0.550509282,0.730710147
6461,1071,1.75,0.144,12.41810558,1,['pCH4_per_pO2'],0.576123524,0.711610053
6462,1071,1.75,0.216,11.97755627,1,['pCH4_per_pO2'],0.812908407,0.463938648
6463,1071,1.75,0.288,11.97755627,1,['pCH4_per_pO2'],0.569125813,0.717772887
6464,1071,1.75,0.36,18.31886653,1,['pCH4_per_pO2'],0.813291276,0.464626833
6465,1071,1.75,0.432,15.19790558,1,['pCH4_per_pO2'],0.83136192,0.476444817
6466,1071,1.75,0.504,15.19790558,1,['pCH4_per_pO2'],0.78513112,0.49174046
6481,1071,2,0.072,15.07587646,1,['pCH4_per_pO2'],0.570813923,0.716061392
6482,1071,2,0.144,10.57041419,1,['pCH4_per_pO2'],0.573161798,0.714469161
6483,1071,2,0.216,10.19580554,1,['pCH4_per_pO2'],0.754639925,0.521764318
6484,1071,2,0.288,10.19580554,1,['pCH4_per_pO2'],0.806281851,0.446201243
6485,1071,2,0.36,16.5371077,1,['pCH4_per_pO2'],0.548289493,0.732205748
6486,1071,2,0.432,13.39236721,1,['pCH4_per_pO2'],0.544870772,0.733330329
6487,1071,2,0.504,13.39236721,1,['pCH4_per_pO2'],0.581840452,0.703759269
6502,1071,2.25,0.072,13.70780234,1,['pCH4_per_pO2'],0.562483546,0.718711007
6503,1071,2.25,0.144,9.086469311,1,['pCH4_per_pO2'],0.563935051,0.722864393
6504,1071,2.25,0.216,8.690036985,1,['pCH4_per_pO2'],0.565277873,0.720763688
6505,1071,2.25,0.288,8.690036985,1,['pCH4_per_pO2'],0.550266299,0.730809834
6506,1071,2.25,0.36,15.0989876,1,['pCH4_per_pO2'],0.550191788,0.730639435
6507,1071,2.25,0.432,11.03633084,1,['pCH4_per_pO2'],0.537346453,0.738789702
6508,1071,2.25,0.504,11.03633084,1,['pCH4_per_pO2'],0.578575334,0.707242626
6523,1071,2.5,0.072,13.46845378,1,['pCH4_per_pO2'],0.565366589,0.721032764
6524,1071,2.5,0.144,8.847122222,1,['pCH4_per_pO2'],0.551736767,0.73068243
6525,1071,2.5,0.216,8.450686952,1,['pCH4_per_pO2'],0.564364932,0.720194577
6526,1071,2.5,0.288,8.450686952,1,['pCH4_per_pO2'],0.545197834,0.733005061
6527,1071,2.5,0.36,14.85963756,1,['pCH4_per_pO2'],0.546378762,0.731697097
6528,1071,2.5,0.432,10.7969786,1,['pCH4_per_pO2'],0.574186647,0.713758889
6529,1071,2.5,0.504,10.7969786,1,['pCH4_per_pO2'],0.552026721,0.726748984
6544,1071,2.75,0.072,13.54579468,1,['pCH4_per_pO2'],0.541272403,0.738417394
6545,1071,2.75,0.144,8.924464601,1,['pCH4_per_pO2'],0.589186867,0.69602554
6546,1071,2.75,0.216,8.499656424,1,['pCH4_per_pO2'],0.567347354,0.719307254
6547,1071,2.75,0.288,8.499656424,1,['pCH4_per_pO2'],0.564942637,0.721084284
6548,1071,2.75,0.36,14.94491382,1,['pCH4_per_pO2'],0.731892759,0.555512992
6549,1071,2.75,0.432,10.8822578,1,['pCH4_per_pO2'],0.565890447,0.718954676
6550,1071,2.75,0.504,10.8822578,1,['pCH4_per_pO2'],0.554403624,0.73089735
6565,1071,3,0.072,12.56174563,1,['pCH4_per_pO2'],0.565475941,0.721100754
6566,1071,3,0.144,7.940407452,1,['pCH4_per_pO2'],0.570610602,0.716977247
6567,1071,3,0.216,6.9037238,1,['pCH4_per_pO2'],0.57010199,0.715752881
6568,1071,3,0.288,6.9037238,1,['pCH4_per_pO2'],0.548588873,0.733761071
6569,1071,3,0.36,13.34897604,1,['pCH4_per_pO2'],0.588309329,0.696997568
6570,1071,3,0.432,9.199072447,1,['pCH4_per_pO2'],0.571429367,0.715050852
6571,1071,3,0.504,9.199072447,1,['pCH4_per_pO2'],0.591117809,0.693659146
6586,1071,3.25,0.072,12.56174563,1,['pCH4_per_pO2'],0.565475941,0.721100754
6587,1071,3.25,0.144,7.940407452,1,['pCH4_per_pO2'],0.570610602,0.716977247
6588,1071,3.25,0.216,6.9037238,1,['pCH4_per_pO2'],0.57010199,0.715752881
6589,1071,3.25,0.288,6.9037238,1,['pCH4_per_pO2'],0.548588873,0.733761071
6590,1071,3.25,0.36,13.34897604,1,['pCH4_per_pO2'],0.588309329,0.696997568
6591,1071,3.25,0.432,9.199072447,1,['pCH4_per_pO2'],0.571429367,0.715050852
6592,1071,3.25,0.504,9.199072447,1,['pCH4_per_pO2'],0.591117809,0.693659146
6607,1071,3.5,0.072,12.56174563,1,['pCH4_per_pO2'],0.565475941,0.721100754
6608,1071,3.5,0.144,7.940407452,1,['pCH4_per_pO2'],0.570610602,0.716977247
6609,1071,3.5,0.216,6.9037238,1,['pCH4_per_pO2'],0.57010199,0.715752881
6610,1071,3.5,0.288,6.9037238,1,['pCH4_per_pO2'],0.548588873,0.733761071
6611,1071,3.5,0.36,13.34897604,1,['pCH4_per_pO2'],0.588309329,0.696997568
6612,1071,3.5,0.432,9.199072447,1,['pCH4_per_pO2'],0.571429367,0.715050852
6613,1071,3.5,0.504,9.199072447,1,['pCH4_per_pO2'],0.591117809,0.693659146
6628,1071,3.75,0.072,12.56174563,1,['pCH4_per_pO2'],0.565475941,0.721100754
6629,1071,3.75,0.144,7.940407452,1,['pCH4_per_pO2'],0.570610602,0.716977247
6630,1071,3.75,0.216,6.9037238,1,['pCH4_per_pO2'],0.57010199,0.715752881
6631,1071,3.75,0.288,6.9037238,1,['pCH4_per_pO2'],0.548588873,0.733761071
6632,1071,3.75,0.36,13.34897604,1,['pCH4_per_pO2'],0.588309329,0.696997568
6633,1071,3.75,0.432,9.199072447,1,['pCH4_per_pO2'],0.571429367,0.715050852
6634,1071,3.75,0.504,9.199072447,1,['pCH4_per_pO2'],0.591117809,0.693659146
6648,1071,4,0,14.92078242,1,['Contact time'],0.577267896,0.711508274
6649,1071,4,0.576,10.94119356,1,['Contact time'],0.571455431,0.714358165
6650,1071,4,0.648,10.94119356,1,['Contact time'],0.571455431,0.714358165
6651,1071,4,0.72,10.94119356,1,['Contact time'],0.571455431,0.714358165
6652,1071,4,0.792,10.94119356,1,['Contact time'],0.571455431,0.714358165
6653,1071,4,0.864,10.94119356,1,['Contact time'],0.571455431,0.714358165
6654,1071,4,0.936,10.94119356,1,['Contact time'],0.571455431,0.714358165
6655,1071,4,1.008,10.94119356,1,['Contact time'],0.571455431,0.714358165
6656,1071,4,1.08,10.94119356,1,['Contact time'],0.571455431,0.714358165
6657,1071,4,1.152,10.94119356,1,['Contact time'],0.571455431,0.714358165
6658,1071,4,1.224,10.94119356,1,['Contact time'],0.571455431,0.714358165
6659,1071,4,1.296,10.94119356,1,['Contact time'],0.571455431,0.714358165
6660,1071,4,1.368,10.94119356,1,['Contact time'],0.571455431,0.714358165
6661,1071,4,1.44,10.94119356,1,['Contact time'],0.571455431,0.714358165
6662,1071,4.25,0,14.92078242,1,['Contact time'],0.572885313,0.715851087
6663,1071,4.25,0.576,10.94119356,1,['Contact time'],0.670185515,0.596692095
6664,1071,4.25,0.648,10.94119356,1,['Contact time'],0.669474404,0.597397314
6665,1071,4.25,0.72,10.94119356,1,['Contact time'],0.668763293,0.598102533
6666,1071,4.25,0.792,10.94119356,1,['Contact time'],0.668049391,0.598810526
6667,1071,4.25,0.864,10.94119356,1,['Contact time'],0.66733828,0.599515745
6668,1071,4.25,0.936,10.94119356,1,['Contact time'],0.666624378,0.600223738
6669,1071,4.25,1.008,10.94119356,1,['Contact time'],0.665913266,0.600928957
6670,1071,4.25,1.08,10.94119356,1,['Contact time'],0.665202155,0.601634177
6671,1071,4.25,1.152,10.94119356,1,['Contact time'],0.664491044,0.602339396
6672,1071,4.25,1.224,10.94119356,1,['Contact time'],0.663779933,0.603044616
6673,1071,4.25,1.296,10.94119356,1,['Contact time'],0.663068822,0.603749835
6674,1071,4.25,1.368,10.94119356,1,['Contact time'],0.662357711,0.604455055
6675,1071,4.25,1.44,10.94119356,1,['Contact time'],0.6616466,0.605160274
6676,1071,4.5,0,14.92078242,1,['Contact time'],0.569127852,0.711277173
6677,1071,4.5,0.576,10.94119356,1,['Contact time'],0.566339922,0.719129965
6678,1071,4.5,0.648,10.94119356,1,['Contact time'],0.566339922,0.719129965
6679,1071,4.5,0.72,10.94119356,1,['Contact time'],0.566339922,0.719129965
6680,1071,4.5,0.792,10.94119356,1,['Contact time'],0.566339922,0.719129965
6681,1071,4.5,0.864,10.94119356,1,['Contact time'],0.566339922,0.719129965
6682,1071,4.5,0.936,10.94119356,1,['Contact time'],0.566339922,0.719129965
6683,1071,4.5,1.008,10.94119356,1,['Contact time'],0.566339922,0.719129965
6684,1071,4.5,1.08,10.94119356,1,['Contact time'],0.566339922,0.719129965
6685,1071,4.5,1.152,10.94119356,1,['Contact time'],0.566339922,0.719129965
6686,1071,4.5,1.224,10.94119356,1,['Contact time'],0.566339922,0.719129965
6687,1071,4.5,1.296,10.94119356,1,['Contact time'],0.566339922,0.719129965
6688,1071,4.5,1.368,10.94119356,1,['Contact time'],0.566339922,0.719129965
6689,1071,4.5,1.44,10.94119356,1,['Contact time'],0.566339922,0.719129965
6690,1071,4.75,0,14.92078242,1,['Contact time'],0.579775632,0.70733347
6691,1071,4.75,0.576,10.94119356,1,['Contact time'],0.716288736,0.546979846
6692,1071,4.75,0.648,10.94119356,1,['Contact time'],0.716288736,0.546979846
6693,1071,4.75,0.72,10.94119356,1,['Contact time'],0.716288736,0.546979846
6694,1071,4.75,0.792,10.94119356,1,['Contact time'],0.716288736,0.546979846
6695,1071,4.75,0.864,10.94119356,1,['Contact time'],0.716288736,0.546979846
6696,1071,4.75,0.936,10.94119356,1,['Contact time'],0.716288736,0.546979846
6697,1071,4.75,1.008,10.94119356,1,['Contact time'],0.716288736,0.546979846
6698,1071,4.75,1.08,10.94119356,1,['Contact time'],0.716288736,0.546979846
6699,1071,4.75,1.152,10.94119356,1,['Contact time'],0.716288736,0.546979846
6700,1071,4.75,1.224,10.94119356,1,['Contact time'],0.716288736,0.546979846
6701,1071,4.75,1.296,10.94119356,1,['Contact time'],0.716288736,0.546979846
6702,1071,4.75,1.368,10.94119356,1,['Contact time'],0.716288736,0.546979846
6703,1071,4.75,1.44,10.94119356,1,['Contact time'],0.716288736,0.546979846
6704,1071,5,0,14.16730593,1,['Contact time'],0.552677918,0.727522428
6705,1071,5,0.576,10.16797,1,['Contact time'],0.60046658,0.665536965
6706,1071,5,0.648,10.16797,1,['Contact time'],0.599813678,0.666527172
6707,1071,5,0.72,10.16797,1,['Contact time'],0.599160777,0.667517379
6708,1071,5,0.792,10.16797,1,['Contact time'],0.598506475,0.668509016
6709,1071,5,0.864,10.16797,1,['Contact time'],0.597853574,0.669499223
6710,1071,5,0.936,10.16797,1,['Contact time'],0.597199273,0.67049086
6711,1071,5,1.008,10.16797,1,['Contact time'],0.596546371,0.671481067
6712,1071,5,1.08,10.16797,1,['Contact time'],0.595893469,0.672471274
6713,1071,5,1.152,10.16797,1,['Contact time'],0.595240568,0.673461481
6714,1071,5,1.224,10.16797,1,['Contact time'],0.594587666,0.674451688
6715,1071,5,1.296,10.16797,1,['Contact time'],0.593934765,0.675441895
6716,1071,5,1.368,10.16797,1,['Contact time'],0.593281863,0.676432102
6717,1071,5,1.44,10.16797,1,['Contact time'],0.592628961,0.677422309
6718,1071,5.25,0,14.16730593,1,['Contact time'],0.573580121,0.706073276
6719,1071,5.25,0.576,10.16797,1,['Contact time'],0.575600706,0.710411057
6720,1071,5.25,0.648,10.16797,1,['Contact time'],0.575600706,0.710411057
6721,1071,5.25,0.72,10.16797,1,['Contact time'],0.575600706,0.710411057
6722,1071,5.25,0.792,10.16797,1,['Contact time'],0.575600706,0.710411057
6723,1071,5.25,0.864,10.16797,1,['Contact time'],0.575600706,0.710411057
6724,1071,5.25,0.936,10.16797,1,['Contact time'],0.575600706,0.710411057
6725,1071,5.25,1.008,10.16797,1,['Contact time'],0.575600706,0.710411057
6726,1071,5.25,1.08,10.16797,1,['Contact time'],0.575600706,0.710411057
6727,1071,5.25,1.152,10.16797,1,['Contact time'],0.575600706,0.710411057
6728,1071,5.25,1.224,10.16797,1,['Contact time'],0.575600706,0.710411057
6729,1071,5.25,1.296,10.16797,1,['Contact time'],0.575600706,0.710411057
6730,1071,5.25,1.368,10.16797,1,['Contact time'],0.575600706,0.710411057
6731,1071,5.25,1.44,10.16797,1,['Contact time'],0.575600706,0.710411057
6732,1071,5.5,0,14.16730593,1,['Contact time'],0.552070702,0.727908774
6733,1071,5.5,0.576,10.16797,1,['Contact time'],0.54740477,0.734690904
6734,1071,5.5,0.648,10.16797,1,['Contact time'],0.54740477,0.734690904
6735,1071,5.5,0.72,10.16797,1,['Contact time'],0.54740477,0.734690904
6736,1071,5.5,0.792,10.16797,1,['Contact time'],0.54740477,0.734690904
6737,1071,5.5,0.864,10.16797,1,['Contact time'],0.54740477,0.734690904
6738,1071,5.5,0.936,10.16797,1,['Contact time'],0.54740477,0.734690904
6739,1071,5.5,1.008,10.16797,1,['Contact time'],0.54740477,0.734690904
6740,1071,5.5,1.08,10.16797,1,['Contact time'],0.54740477,0.734690904
6741,1071,5.5,1.152,10.16797,1,['Contact time'],0.54740477,0.734690904
6742,1071,5.5,1.224,10.16797,1,['Contact time'],0.54740477,0.734690904
6743,1071,5.5,1.296,10.16797,1,['Contact time'],0.54740477,0.734690904
6744,1071,5.5,1.368,10.16797,1,['Contact time'],0.54740477,0.734690904
6745,1071,5.5,1.44,10.16797,1,['Contact time'],0.54740477,0.734690904
6746,1071,5.75,0,14.16730593,1,['Contact time'],0.567716957,0.720554549
6747,1071,5.75,0.576,10.16797,1,['Contact time'],0.611860099,0.65046032
6748,1071,5.75,0.648,10.16797,1,['Contact time'],0.61042939,0.652376235
6749,1071,5.75,0.72,10.16797,1,['Contact time'],0.608998681,0.65429215
6750,1071,5.75,0.792,10.16797,1,['Contact time'],0.607564052,0.656212117
6751,1071,5.75,0.864,10.16797,1,['Contact time'],0.606133343,0.658128031
6752,1071,5.75,0.936,10.16797,1,['Contact time'],0.604698714,0.660047998
6753,1071,5.75,1.008,10.16797,1,['Contact time'],0.603268005,0.661963913
6754,1071,5.75,1.08,10.16797,1,['Contact time'],0.601837296,0.663879828
6755,1071,5.75,1.152,10.16797,1,['Contact time'],0.600406587,0.665795743
6756,1071,5.75,1.224,10.16797,1,['Contact time'],0.598975878,0.667711658
6757,1071,5.75,1.296,10.16797,1,['Contact time'],0.597545169,0.669627573
6758,1071,5.75,1.368,10.16797,1,['Contact time'],0.59611446,0.671543488
6759,1071,5.75,1.44,10.16797,1,['Contact time'],0.594683752,0.673459402
6760,1071,6,0,14.16730593,1,['Contact time'],0.551838293,0.728157288
6761,1071,6,0.576,10.16797,1,['Contact time'],0.566247105,0.719383698
6762,1071,6,0.648,10.16797,1,['Contact time'],0.566247105,0.719383698
6763,1071,6,0.72,10.16797,1,['Contact time'],0.566247105,0.719383698
6764,1071,6,0.792,10.16797,1,['Contact time'],0.566247105,0.719383698
6765,1071,6,0.864,10.16797,1,['Contact time'],0.566247105,0.719383698
6766,1071,6,0.936,10.16797,1,['Contact time'],0.566247105,0.719383698
6767,1071,6,1.008,10.16797,1,['Contact time'],0.566247105,0.719383698
6768,1071,6,1.08,10.16797,1,['Contact time'],0.566247105,0.719383698
6769,1071,6,1.152,10.16797,1,['Contact time'],0.566247105,0.719383698
6770,1071,6,1.224,10.16797,1,['Contact time'],0.566247105,0.719383698
6771,1071,6,1.296,10.16797,1,['Contact time'],0.566247105,0.719383698
6772,1071,6,1.368,10.16797,1,['Contact time'],0.566247105,0.719383698
6773,1071,6,1.44,10.16797,1,['Contact time'],0.566247105,0.719383698
6775,1094.2,1,0.072,23.44322241,1,['pCH4_per_pO2'],0.571922979,0.714429948
6776,1094.2,1,0.144,18.36505347,1,['pCH4_per_pO2'],0.552242815,0.728800013
6777,1094.2,1,0.216,17.19386719,1,['pCH4_per_pO2'],0.553981609,0.726452972
6778,1094.2,1,0.288,17.19386719,1,['pCH4_per_pO2'],0.578181386,0.709574987
6779,1094.2,1,0.36,23.08673991,1,['pCH4_per_pO2'],0.550606654,0.729931992
6780,1094.2,1,0.432,19.91944184,1,['pCH4_per_pO2'],0.547391139,0.732873821
6781,1094.2,1,0.504,19.91944184,1,['pCH4_per_pO2'],0.601572637,0.684843707
6796,1094.2,1.25,0.072,23.44322241,1,['pCH4_per_pO2'],0.571922979,0.714429948
6797,1094.2,1.25,0.144,18.36505347,1,['pCH4_per_pO2'],0.552242815,0.728800013
6798,1094.2,1.25,0.216,17.19386719,1,['pCH4_per_pO2'],0.553981609,0.726452972
6799,1094.2,1.25,0.288,17.19386719,1,['pCH4_per_pO2'],0.578181386,0.709574987
6800,1094.2,1.25,0.36,23.08673991,1,['pCH4_per_pO2'],0.550606654,0.729931992
6801,1094.2,1.25,0.432,19.91944184,1,['pCH4_per_pO2'],0.547391139,0.732873821
6802,1094.2,1.25,0.504,19.91944184,1,['pCH4_per_pO2'],0.601572637,0.684843707
6817,1094.2,1.5,0.072,23.44322241,1,['pCH4_per_pO2'],0.571922979,0.714429948
6818,1094.2,1.5,0.144,18.36505347,1,['pCH4_per_pO2'],0.552242815,0.728800013
6819,1094.2,1.5,0.216,17.19386719,1,['pCH4_per_pO2'],0.553981609,0.726452972
6820,1094.2,1.5,0.288,17.19386719,1,['pCH4_per_pO2'],0.578181386,0.709574987
6821,1094.2,1.5,0.36,23.08673991,1,['pCH4_per_pO2'],0.550606654,0.729931992
6822,1094.2,1.5,0.432,19.91944184,1,['pCH4_per_pO2'],0.547391139,0.732873821
6823,1094.2,1.5,0.504,19.91944184,1,['pCH4_per_pO2'],0.601572637,0.684843707
6838,1094.2,1.75,0.072,23.44322241,1,['pCH4_per_pO2'],0.571922979,0.714429948
6839,1094.2,1.75,0.144,18.36505347,1,['pCH4_per_pO2'],0.552242815,0.728800013
6840,1094.2,1.75,0.216,17.19386719,1,['pCH4_per_pO2'],0.553981609,0.726452972
6841,1094.2,1.75,0.288,17.19386719,1,['pCH4_per_pO2'],0.578181386,0.709574987
6842,1094.2,1.75,0.36,23.08673991,1,['pCH4_per_pO2'],0.550606654,0.729931992
6843,1094.2,1.75,0.432,19.91944184,1,['pCH4_per_pO2'],0.547391139,0.732873821
6844,1094.2,1.75,0.504,19.91944184,1,['pCH4_per_pO2'],0.601572637,0.684843707
6859,1094.2,2,0.072,21.67212698,1,['pCH4_per_pO2'],0.546982949,0.734386602
6860,1094.2,2,0.144,16.46648902,1,['pCH4_per_pO2'],0.636681857,0.64646092
6861,1094.2,2,0.216,15.3612353,1,['pCH4_per_pO2'],0.54434893,0.734288232
6862,1094.2,2,0.288,15.3612353,1,['pCH4_per_pO2'],0.545013128,0.734222435
6863,1094.2,2,0.36,21.25410801,1,['pCH4_per_pO2'],0.721655224,0.540807838
6864,1094.2,2,0.432,18.06303041,1,['pCH4_per_pO2'],0.57711669,0.710855781
6865,1094.2,2,0.504,18.06303041,1,['pCH4_per_pO2'],0.589622958,0.697337421
6880,1094.2,2.25,0.072,21.11633776,1,['pCH4_per_pO2'],0.547801489,0.734934057
6881,1094.2,2.25,0.144,15.79482756,1,['pCH4_per_pO2'],0.543389816,0.734727848
6882,1094.2,2.25,0.216,14.66775238,1,['pCH4_per_pO2'],0.565783193,0.720230149
6883,1094.2,2.25,0.288,14.66775238,1,['pCH4_per_pO2'],0.544579211,0.733914378
6884,1094.2,2.25,0.36,20.62827281,1,['pCH4_per_pO2'],0.590844852,0.694258329
6885,1094.2,2.25,0.432,16.51928924,1,['pCH4_per_pO2'],0.553603125,0.729024595
6886,1094.2,2.25,0.504,16.51928924,1,['pCH4_per_pO2'],0.566215178,0.717862232
6901,1094.2,2.5,0.072,20.87698773,1,['pCH4_per_pO2'],0.546320698,0.732201689
6902,1094.2,2.5,0.144,15.55547753,1,['pCH4_per_pO2'],0.564874314,0.721144667
6903,1094.2,2.5,0.216,14.42840235,1,['pCH4_per_pO2'],0.565422093,0.72085021
6904,1094.2,2.5,0.288,14.42840235,1,['pCH4_per_pO2'],0.548814827,0.728882689
6905,1094.2,2.5,0.36,20.38892277,1,['pCH4_per_pO2'],0.56996988,0.705399593
6906,1094.2,2.5,0.432,16.27993921,1,['pCH4_per_pO2'],0.595544258,0.685011112
6907,1094.2,2.5,0.504,16.27993921,1,['pCH4_per_pO2'],0.558636662,0.725939411
6922,1094.2,2.75,0.072,20.9543301,1,['pCH4_per_pO2'],0.549055361,0.731808467
6923,1094.2,2.75,0.144,15.63281991,1,['pCH4_per_pO2'],0.550002914,0.728639992
6924,1094.2,2.75,0.216,14.47737182,1,['pCH4_per_pO2'],0.542197776,0.736153597
6925,1094.2,2.75,0.288,14.47737182,1,['pCH4_per_pO2'],0.555206736,0.727987155
6926,1094.2,2.75,0.36,20.47419903,1,['pCH4_per_pO2'],0.567497356,0.718982868
6927,1094.2,2.75,0.432,16.36521399,1,['pCH4_per_pO2'],0.596457511,0.683889294
6928,1094.2,2.75,0.504,16.36521399,1,['pCH4_per_pO2'],0.563708766,0.719616599
6943,1094.2,3,0.072,19.89566378,1,['pCH4_per_pO2'],0.565361129,0.71928122
6944,1094.2,3,0.144,14.57415358,1,['pCH4_per_pO2'],0.549127847,0.733505852
6945,1094.2,3,0.216,12.80682413,1,['pCH4_per_pO2'],0.546495868,0.731728766
6946,1094.2,3,0.288,12.80682413,1,['pCH4_per_pO2'],0.562031207,0.724362848
6947,1094.2,3,0.36,18.80365134,1,['pCH4_per_pO2'],0.570549496,0.716945738
6948,1094.2,3,0.432,14.60741726,1,['pCH4_per_pO2'],0.56462424,0.721872648
6949,1094.2,3,0.504,14.60741726,1,['pCH4_per_pO2'],0.569931439,0.717652684
6964,1094.2,3.25,0.072,19.89566378,1,['pCH4_per_pO2'],0.565361129,0.71928122
6965,1094.2,3.25,0.144,14.57415358,1,['pCH4_per_pO2'],0.549127847,0.733505852
6966,1094.2,3.25,0.216,12.80682413,1,['pCH4_per_pO2'],0.546495868,0.731728766
6967,1094.2,3.25,0.288,12.80682413,1,['pCH4_per_pO2'],0.562031207,0.724362848
6968,1094.2,3.25,0.36,18.80365134,1,['pCH4_per_pO2'],0.570549496,0.716945738
6969,1094.2,3.25,0.432,14.60741726,1,['pCH4_per_pO2'],0.56462424,0.721872648
6970,1094.2,3.25,0.504,14.60741726,1,['pCH4_per_pO2'],0.569931439,0.717652684
6985,1094.2,3.5,0.072,19.89566378,1,['pCH4_per_pO2'],0.565361129,0.71928122
6986,1094.2,3.5,0.144,14.57415358,1,['pCH4_per_pO2'],0.549127847,0.733505852
6987,1094.2,3.5,0.216,12.80682413,1,['pCH4_per_pO2'],0.546495868,0.731728766
6988,1094.2,3.5,0.288,12.80682413,1,['pCH4_per_pO2'],0.562031207,0.724362848
6989,1094.2,3.5,0.36,18.80365134,1,['pCH4_per_pO2'],0.570549496,0.716945738
6990,1094.2,3.5,0.432,14.60741726,1,['pCH4_per_pO2'],0.56462424,0.721872648
6991,1094.2,3.5,0.504,14.60741726,1,['pCH4_per_pO2'],0.569931439,0.717652684
7006,1094.2,3.75,0.072,19.89566378,1,['pCH4_per_pO2'],0.565361129,0.71928122
7007,1094.2,3.75,0.144,14.57415358,1,['pCH4_per_pO2'],0.549127847,0.733505852
7008,1094.2,3.75,0.216,12.80682413,1,['pCH4_per_pO2'],0.546495868,0.731728766
7009,1094.2,3.75,0.288,12.80682413,1,['pCH4_per_pO2'],0.562031207,0.724362848
7010,1094.2,3.75,0.36,18.80365134,1,['pCH4_per_pO2'],0.570549496,0.716945738
7011,1094.2,3.75,0.432,14.60741726,1,['pCH4_per_pO2'],0.56462424,0.721872648
7012,1094.2,3.75,0.504,14.60741726,1,['pCH4_per_pO2'],0.569931439,0.717652684
7026,1094.2,4,0,22.45829738,1,['Contact time'],0.569645052,0.717510757
7027,1094.2,4,0.576,16.74131255,1,['Contact time'],0.573568733,0.709925536
7028,1094.2,4,0.648,16.74131255,1,['Contact time'],0.573568733,0.709925536
7029,1094.2,4,0.72,16.74131255,1,['Contact time'],0.573568733,0.709925536
7030,1094.2,4,0.792,16.74131255,1,['Contact time'],0.573568733,0.709925536
7031,1094.2,4,0.864,16.74131255,1,['Contact time'],0.573568733,0.709925536
7032,1094.2,4,0.936,16.74131255,1,['Contact time'],0.573568733,0.709925536
7033,1094.2,4,1.008,16.74131255,1,['Contact time'],0.573568733,0.709925536
7034,1094.2,4,1.08,16.74131255,1,['Contact time'],0.573568733,0.709925536
7035,1094.2,4,1.152,16.74131255,1,['Contact time'],0.573568733,0.709925536
7036,1094.2,4,1.224,16.74131255,1,['Contact time'],0.573568733,0.709925536
7037,1094.2,4,1.296,16.74131255,1,['Contact time'],0.573568733,0.709925536
7038,1094.2,4,1.368,16.74131255,1,['Contact time'],0.573568733,0.709925536
7039,1094.2,4,1.44,16.74131255,1,['Contact time'],0.573568733,0.709925536
7040,1094.2,4.25,0,22.45829738,1,['Contact time'],0.561760577,0.722147285
7041,1094.2,4.25,0.576,16.74131255,1,['Contact time'],0.68228023,0.582072414
7042,1094.2,4.25,0.648,16.74131255,1,['Contact time'],0.68228023,0.582072414
7043,1094.2,4.25,0.72,16.74131255,1,['Contact time'],0.68228023,0.582072414
7044,1094.2,4.25,0.792,16.74131255,1,['Contact time'],0.68228023,0.582072414
7045,1094.2,4.25,0.864,16.74131255,1,['Contact time'],0.68228023,0.582072414
7046,1094.2,4.25,0.936,16.74131255,1,['Contact time'],0.68228023,0.582072414
7047,1094.2,4.25,1.008,16.74131255,1,['Contact time'],0.68228023,0.582072414
7048,1094.2,4.25,1.08,16.74131255,1,['Contact time'],0.68228023,0.582072414
7049,1094.2,4.25,1.152,16.74131255,1,['Contact time'],0.68228023,0.582072414
7050,1094.2,4.25,1.224,16.74131255,1,['Contact time'],0.68228023,0.582072414
7051,1094.2,4.25,1.296,16.74131255,1,['Contact time'],0.68228023,0.582072414
