Data Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,Hard extrapolative error,Easy extrapolative error,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
0,2.1169762511002697,-4.190125949932774,-0.8632226920279633,0.5688495546865373,0.9260537268528081,0.7175429314407049,[1.89039697],[12.68211894],314,11,4.644479559153645,0.0,1.0,0.5,0.1
1,3.213210530230685,-4.493192593982707,-0.8632226920279633,0.5759972069048225,0.9182303599715508,0.7112553167124149,[0.81831922],[12.6164637],754,24,4.20279257927361,0.0,0.5,0.5,0.1
2,2.095481461313399,-3.432459339807944,-0.8632226920279633,0.5676420366961807,0.9273522447225134,0.7192676136482509,[2.00234976],[12.67390589],972,24,4.20279257927361,0.0,0.5,0.5,0.1
3,2.6973355753457837,-3.432459339807944,-0.8632226920279633,0.5725785882198672,0.9219810391466247,0.7145120766401479,[1.28278055],[12.64028792],972,24,4.20279257927361,0.0,0.5,0.5,0.1
4,3.1487261608700723,-2.9778593737330463,-0.8632226920279633,0.5732353980098817,0.9212644678532357,0.7138881307568105,[1.19785967],[12.63525109],955,24,4.20279257927361,0.0,0.5,0.5,0.1
5,3.363674058738781,-2.9778593737330463,-0.8632226920279633,0.5747833177682355,0.9195640392919184,0.7124307344568496,[0.97796812],[12.62477164],886,24,4.20279257927361,0.0,0.5,0.5,0.1
6,3.34217926895191,-3.432459339807944,-0.8632226920279633,0.5771547442238714,0.9169521052566003,0.7101556751765447,[0.59792032],[12.60794501],936,24,4.20279257927361,0.0,0.5,0.5,0.1
7,2.052491881739657,-4.190125949932774,-1.729647954957865,0.566662173189511,0.9284294181900138,0.7208696070640463,[2.97337999],[12.70974783],893,24,4.20279257927361,0.0,0.5,0.5,0.1
8,2.7188303651326544,-4.190125949932774,-1.729647954957865,0.5733099207055485,0.9212237109100889,0.7151939494411921,[2.95348253],[12.70483021],980,24,4.20279257927361,0.0,0.5,0.5,0.1
9,3.4281584280993935,-3.887059305882843,-1.729647954957865,0.5761623273694894,0.9181038554858053,0.7126605345795447,[3.03126707],[12.70362286],317,24,4.20279257927361,0.0,0.5,0.5,0.1
10,-0.46239852332423614,-4.6447259160076735,-1.596351760660957,0.5621761727917286,0.9332297173201475,0.7243249763379012,[2.90190973],[9.93025915],893,24,4.20279257927361,0.0,0.5,0.5,0.1
11,0.6553305455930497,-4.796259238032639,-1.596351760660957,0.5612636228820878,0.9342383635520946,0.7251913780269941,[2.88167181],[12.71605973],933,24,4.20279257927361,0.0,0.5,0.5,0.1
12,2.7403251549195256,-4.6447259160076735,-1.596351760660957,0.5698188596985136,0.9250018960033578,0.7178683237451764,[3.24745359],[12.68457322],899,24,4.20279257927361,0.0,0.5,0.5,0.1
13,3.213210530230685,-4.796259238032639,-1.5297036635125032,0.5697993570201071,0.9249389939177417,0.7176729257628891,[3.13060274],[12.67360167],317,24,4.20279257927361,0.0,0.5,0.5,0.1
14,2.052491881739657,-4.190125949932774,-1.5297036635125032,0.5635788352934571,0.9317188344082981,0.7225839486506425,[2.70919885],[12.72235255],948,11,4.644479559153645,0.0,1.0,0.5,0.1
15,2.7188303651326544,-4.190125949932774,-1.5297036635125032,0.5681613942743771,0.9267532801787659,0.7193104624845215,[3.03658571],[12.68615441],899,24,4.20279257927361,0.0,0.5,0.5,0.1
16,3.4281584280993935,-3.887059305882843,-1.5297036635125032,0.5695259981003334,0.9252502027635641,0.7179808488674227,[3.10102835],[12.67624049],954,24,4.20279257927361,0.0,0.5,0.5,0.1
17,1.0207419719698547,-3.7355259838578765,-1.5297036635125032,0.5649485325352999,0.9302871436484342,0.721797564157719,[3.10117044],[12.69516663],951,24,4.20279257927361,0.0,0.5,0.5,0.1
18,1.0207419719698547,-3.7355259838578765,-1.5297036635125032,0.5649485325352999,0.9302871436484342,0.721797564157719,[3.10117044],[12.69516663],298,24,4.20279257927361,0.0,0.5,0.5,0.1
19,-0.26894541524239823,-4.493192593982707,1.8027011939101962,0.5728546491214246,0.9217904800294594,0.7117480085993504,[2.86054411],[4.51861612],298,24,4.20279257927361,0.0,0.5,0.5,0.1
20,0.16095038049501945,-4.493192593982707,1.8027011939101962,0.5863556850221403,0.9070569404447042,0.6981095696860582,[2.87836542],[12.46947388],311,24,4.20279257927361,0.0,0.5,0.5,0.1
21,0.5908461762324371,-4.493192593982707,1.8027011939101962,0.5749769191487294,0.9194546508882774,0.7090797971709359,[2.70690527],[12.5576735],907,24,4.20279257927361,0.0,0.5,0.5,0.1
22,1.0207419719698547,-4.493192593982707,1.8027011939101962,0.5664635721474482,0.9285754791708805,0.7179783828372912,[2.01119413],[12.62275986],909,24,4.20279257927361,0.0,0.5,0.5,0.1
23,1.4506377677072724,-4.493192593982707,1.8027011939101962,0.57027768363199,0.9244506041446348,0.7151625454343866,[2.2455472],[12.62411837],982,24,4.20279257927361,0.0,0.5,0.5,0.1
24,1.0207419719698547,-6.008525814232367,1.8027011939101962,0.5680381510065737,0.9268498991345747,0.7157554146984315,[1.83583441],[12.59626345],927,24,4.20279257927361,0.0,0.5,0.5,0.1
25,1.0207419719698547,-4.493192593982707,1.8027011939101962,0.5664635721474482,0.9285754791708805,0.7179783828372912,[2.01119413],[12.62275986],315,24,4.20279257927361,0.0,0.5,0.5,0.1
26,1.0207419719698547,-2.9778593737330463,1.8027011939101962,0.5629819370573017,0.9323710310637466,0.7231258143782269,[2.59879961],[12.69044833],941,24,4.20279257927361,0.0,0.5,0.5,0.1
27,1.0207419719698547,-4.493192593982707,0.5363873480895702,0.5605579800360044,0.9348833300380249,0.7258684294486665,[2.57036295],[12.71066813],928,24,4.20279257927361,0.0,0.5,0.5,0.1
28,1.0207419719698547,-4.493192593982707,7.7343818401226,0.5685156034693937,0.926375287960054,0.7159058211957254,[1.9404973],[12.63228278],990,11,4.644479559153645,0.0,1.0,0.5,0.1
29,1.0207419719698547,-4.493192593982707,4.1353845941060845,0.5664635721474482,0.9285754791708805,0.7179783828372912,[2.01119413],[12.62275986],954,24,4.20279257927361,0.0,0.5,0.5,0.1
30,1.0207419719698547,-4.493192593982707,2.935718845433913,0.5664635721474482,0.9285754791708805,0.7179783828372912,[2.01119413],[12.62275986],932,24,4.20279257927361,0.0,0.5,0.5,0.1
31,1.0207419719698547,-4.493192593982707,1.53610880531638,0.5641991187873086,0.931048936924981,0.7213458981780972,[2.41158666],[12.66596274],951,24,4.20279257927361,0.0,0.5,0.5,0.1
32,1.0207419719698547,-4.493192593982707,0.936275930980294,0.5619596700532861,0.9334442920207218,0.7246510639552164,[2.72277727],[12.71099762],972,24,4.20279257927361,0.0,0.5,0.5,0.1
33,1.0207419719698547,-4.493192593982707,0.5363873480895702,0.5605579800360044,0.9348833300380249,0.7258684294486665,[2.57036295],[12.71066813],946,24,4.20279257927361,0.0,0.5,0.5,0.1
34,0.6553305455930497,-4.796259238032639,-1.729647954957865,0.564679212384134,0.9305861698135599,0.722665993375787,[2.78133764],[12.72661261],330,24,4.20279257927361,0.0,0.5,0.5,0.1
35,2.7403251549195256,-4.6447259160076735,-1.729647954957865,0.5766116152812322,0.9176071707217861,0.712265223427897,[2.99630537],[12.70348649],300,24,4.20279257927361,0.0,0.5,0.5,0.1
36,3.213210530230685,-4.796259238032639,-1.729647954957865,0.5766660810933169,0.9175477730393653,0.712219847976822,[2.99223509],[12.70312361],998,24,4.20279257927361,0.0,0.5,0.5,0.1
37,2.073986671526528,-4.341659271957741,-0.9298707891764172,0.5565802223905623,0.9392111602690691,0.7294913142422165,[2.94668188],[12.75083403],315,24,4.20279257927361,0.0,0.5,0.5,0.1
38,2.8263043140670088,-4.341659271957741,-0.9298707891764172,0.5598506617619163,0.9357286944756055,0.7264913350447195,[2.94132032],[12.72784857],966,24,4.20279257927361,0.0,0.5,0.5,0.1
39,3.4711480076731354,-4.341659271957741,-0.9298707891764172,0.5626706264559751,0.9327042889725122,0.7239024725821622,[2.90573396],[12.70786433],990,24,4.20279257927361,0.0,0.5,0.5,0.1
40,0.48337222729808266,-2.9778593737330463,0.5363873480895702,0.5605501478715224,0.9349422877734436,0.7253243497614053,[2.75501051],[12.70422844],942,24,4.20279257927361,0.0,0.5,0.5,0.1
41,1.0207419719698547,-2.9778593737330463,0.5363873480895702,0.5628326380951878,0.9325109486929809,0.7236396039456441,[2.97041502],[12.70646433],942,24,4.20279257927361,0.0,0.5,0.5,0.1
42,1.0207419719698547,-2.9778593737330463,0.5363873480895702,0.5641462579795191,0.9311088695080229,0.7219184556057155,[2.65304174],[12.72254805],942,11,4.644479559153645,0.0,1.0,0.5,0.1
43,-2.6333722917981954,-2.9778593737330463,0.6030354452380242,0.5611334454740977,0.934309319617442,0.7254439705534549,[2.91978254],[12.71302609],942,24,4.20279257927361,0.0,0.5,0.5,0.1
44,-2.310950444995132,-2.9778593737330463,0.6030354452380242,0.5611334454740977,0.934309319617442,0.7254439705534549,[2.91978254],[12.71302609],942,24,4.20279257927361,0.0,0.5,0.5,0.1
45,-1.9885285981920688,-2.9778593737330463,0.6030354452380242,0.5625068307860175,0.9328616325939051,0.7239693484029295,[2.92025366],[12.70745663],942,24,4.20279257927361,0.0,0.5,0.5,0.1
46,-1.4511588535202968,-2.9778593737330463,0.6030354452380242,0.5619813684846255,0.9334320209931565,0.7244375228652977,[2.9075078],[12.70828871],942,24,4.20279257927361,0.0,0.5,0.5,0.1
47,-1.1287370067172335,-2.9778593737330463,0.6030354452380242,0.5612281161010659,0.934237170554794,0.7250262438195366,[2.85171594],[12.70662884],942,24,4.20279257927361,0.0,0.5,0.5,0.1
48,-0.37641936417675265,-2.9778593737330463,0.6030354452380242,0.5621809378085186,0.9332419056274327,0.7243417778068502,[2.90832796],[9.84109823],942,24,4.20279257927361,0.0,0.5,0.5,0.1
49,-0.05399751737368938,-2.9778593737330463,0.6030354452380242,0.5622166971736882,0.9332225568802681,0.7242416427361581,[2.90105429],[12.70566086],899,24,4.20279257927361,0.0,0.5,0.5,0.1
50,-0.6988412109798159,-2.9778593737330463,-0.5966303034341474,0.5623415887634997,0.933022877381278,0.7241732971548192,[2.87988367],[12.70741372],299,24,4.20279257927361,0.0,0.5,0.5,0.1
51,-0.1614714663080438,-2.9778593737330463,-0.5966303034341474,0.5619804923211408,0.9334549331728103,0.7244471691155837,[2.90840902],[12.7106791],299,24,4.20279257927361,0.0,0.5,0.5,0.1
52,0.26842432942937383,-2.9778593737330463,-0.5966303034341474,0.5626236209940427,0.9327864600582494,0.7240164179249089,[2.89343061],[12.7075129],971,24,4.20279257927361,0.0,0.5,0.5,0.1
53,1.0207419719698547,-2.9778593737330463,-0.5966303034341474,0.5638622308000276,0.9314655126554745,0.7228510010679138,[3.16842165],[12.70418601],952,24,4.20279257927361,0.0,0.5,0.5,0.1
54,1.4506377677072724,-2.9778593737330463,-0.5966303034341474,0.5626303777641869,0.9327683601563681,0.7239997715727214,[2.95609178],[12.70709185],298,24,4.20279257927361,0.0,0.5,0.5,0.1
55,1.88053356344469,-2.9778593737330463,-0.5966303034341474,0.5624347955300798,0.9329740754954656,0.7241812903802276,[2.93933573],[12.70840363],936,24,4.20279257927361,0.0,0.5,0.5,0.1
56,2.2029554102477533,-2.9778593737330463,-0.5966303034341474,0.542486768848094,0.9540139638385005,0.7356227656966846,[2.71610346],[12.60112099],971,23,6.969771079499709,0.0,1.0,1.0,0.1
57,-0.8063151599141702,-2.9778593737330463,-1.2631112749186872,0.5631209960495406,0.9322184937042709,0.722889444274013,[2.67641725],[12.72132735],943,29,4.4911159540476975,0.0,1.0,0.5,0.1
58,-0.26894541524239823,-2.9778593737330463,-1.2631112749186872,0.5620606204824171,0.933382557832969,0.7239416745819982,[2.67320242],[7.10244457],927,29,4.4911159540476975,0.0,1.0,0.5,0.1
59,0.26842432942937383,-2.9778593737330463,-1.2631112749186872,0.5631994669748476,0.9321746397030527,0.7228804017390126,[2.69704428],[12.72438483],970,29,4.4911159540476975,0.0,1.0,0.5,0.1
60,1.0207419719698547,-2.9778593737330463,-1.2631112749186872,0.5647568926336308,0.9304916310584963,0.7213111273929733,[2.83141603],[12.72324996],966,29,4.4911159540476975,0.0,1.0,0.5,0.1
61,1.5581117166416267,-2.9778593737330463,-1.2631112749186872,0.5623962993591858,0.9329624180914952,0.7235836492362953,[2.70600691],[12.72925667],946,29,4.4911159540476975,0.0,1.0,0.5,0.1
62,1.88053356344469,-2.9778593737330463,-1.2631112749186872,0.5622969191650466,0.9330701372803045,0.7236724762974417,[2.70679846],[12.73001866],970,29,4.4911159540476975,0.0,1.0,0.5,0.1
63,2.3104293591821077,-2.9778593737330463,-1.2631112749186872,0.5623325491131128,0.9330310105801906,0.7236421028548444,[2.706602],[12.72972683],927,29,4.4911159540476975,0.0,1.0,0.5,0.1
64,2.6328512059851708,-2.9778593737330463,-1.2631112749186872,0.5633319252455009,0.9319454836641832,0.7227445086230965,[2.69503584],[12.72211794],331,29,4.4911159540476975,0.0,1.0,0.5,0.1
65,1.88053356344469,-2.9778593737330463,-1.596351760660957,0.5625427175273099,0.9328640791007833,0.7234980788551375,[2.66855039],[12.72796826],958,29,4.4911159540476975,0.0,1.0,0.5,0.1
66,0.5908461762324371,-2.9778593737330463,-1.596351760660957,0.562839743406897,0.9325406723429551,0.7232330903045614,[2.66714182],[12.72502093],970,29,4.4911159540476975,0.0,1.0,0.5,0.1
67,1.0207419719698547,-2.9778593737330463,-1.596351760660957,0.5657722566116794,0.9294249072405787,0.7201940123129296,[2.66686048],[12.71720366],961,29,4.4911159540476975,0.0,1.0,0.5,0.1
68,1.4506377677072724,-2.9778593737330463,-1.596351760660957,0.5636104667436628,0.9317272340501698,0.7226140939409191,[2.59893408],[12.71962456],334,29,4.4911159540476975,0.0,1.0,0.5,0.1
69,2.3104293591821077,-2.9778593737330463,-1.596351760660957,0.5627290100207901,0.9326649503297739,0.7233315308588332,[2.67411794],[12.72617392],939,29,4.4911159540476975,0.0,1.0,0.5,0.1
70,2.7403251549195256,-2.9778593737330463,-1.596351760660957,0.5491984513284864,0.9469693635901227,0.7317805865791219,[1.8005723],[12.59828715],292,19,4.360437015416153,0.0,0.5,1.0,0.1
71,3.170220950656943,-2.9778593737330463,-1.596351760660957,0.5876451756533019,0.90569185046945,0.6976555993115438,[2.88341799],[12.72931389],947,15,3.982878197701691,0.0,1.0,0.5,0.1
72,1.0207419719698547,-2.9778593737330463,-1.862944149254773,0.5656043656460394,0.9295246603204658,0.7219394254276024,[2.32361307],[12.7537537],911,15,3.982878197701691,0.0,1.0,0.5,0.1
