,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Extrapolation Strength,Extrapolating Variables
1,1124.0,2.2,0.15,17.85287774,2,"['Temperature', 'pCH4_per_pO2']"
2,1175.0,2.0,0.15,23.28852735,2,"['Temperature', 'pCH4_per_pO2']"
3,1123.0,2.7,0.15,17.69087008,2,"['Temperature', 'pCH4_per_pO2']"
4,1151.0,2.7,0.15,20.9501151,2,"['Temperature', 'pCH4_per_pO2']"
5,1172.0,3.0,0.15,21.30489275,2,"['Temperature', 'pCH4_per_pO2']"
6,1182.0,3.0,0.15,22.49507822,2,"['Temperature', 'pCH4_per_pO2']"
7,1181.0,2.7,0.15,24.17982708,2,"['Temperature', 'pCH4_per_pO2']"
8,1121.0,2.2,0.02,15.8181404,2,"['Temperature', 'pCH4_per_pO2']"
9,1152.0,2.2,0.02,19.40252404,2,"['Temperature', 'pCH4_per_pO2']"
10,1185.0,2.4,0.02,21.12464263,2,"['Temperature', 'pCH4_per_pO2']"
13,1153.0,1.9,0.04,18.46075315,2,"['Temperature', 'pCH4_per_pO2']"
14,1175.0,1.8,0.05,22.43250824,2,"['Temperature', 'pCH4_per_pO2']"
15,1121.0,2.2,0.05,16.40473908,2,"['Temperature', 'pCH4_per_pO2']"
16,1152.0,2.2,0.05,19.98912271,2,"['Temperature', 'pCH4_per_pO2']"
17,1185.0,2.4,0.05,21.71124131,2,"['Temperature', 'pCH4_per_pO2']"
30,1073.0,2.0,1.44,19.8820515,2,"['pCH4_per_pO2', 'Contact time']"
31,1073.0,2.0,0.9,19.8820515,2,"['pCH4_per_pO2', 'Contact time']"
32,1073.0,2.0,0.72,19.8820515,2,"['pCH4_per_pO2', 'Contact time']"
37,1153.0,1.9,0.02,21.56467298,2,"['Temperature', 'pCH4_per_pO2']"
38,1175.0,1.8,0.02,21.58093529,2,"['Temperature', 'pCH4_per_pO2']"
39,1122.0,2.1,0.14,9.575186461,2,"['Temperature', 'pCH4_per_pO2']"
40,1157.0,2.1,0.14,12.67733961,2,"['Temperature', 'pCH4_per_pO2']"
41,1187.0,2.1,0.14,15.0943,2,"['Temperature', 'pCH4_per_pO2']"
45,903.0,3.0,0.37,0.427435794,2,"['Temperature', 'pCH4_per_pO2']"
46,918.0,3.0,0.37,0.427435794,2,"['Temperature', 'pCH4_per_pO2']"
47,933.0,3.0,0.37,1.461190573,2,"['Temperature', 'pCH4_per_pO2']"
58,1128.0,3.0,0.19,11.58767097,2,"['Temperature', 'pCH4_per_pO2']"
65,1133.0,3.0,0.09,17.56288725,2,"['Temperature', 'pCH4_per_pO2']"
66,1148.0,3.0,0.09,18.71972513,2,"['Temperature', 'pCH4_per_pO2']"
71,1133.0,3.0,0.04,12.54962031,2,"['Temperature', 'pCH4_per_pO2']"
72,1153.0,3.0,0.04,14.3759319,2,"['Temperature', 'pCH4_per_pO2']"
