,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Extrapolation Strength,Extrapolating Variables
73,1173.0,3.0,0.04,14.0011245,2,"['Temperature', 'pCH4_per_pO2']"
74,1073.0,3.0,0.0,18.30700768,2,"['pCH4_per_pO2', 'Contact time']"
75,1073.0,3.0,0.0,18.30700768,2,"['pCH4_per_pO2', 'Contact time']"
76,1048.0,3.0,0.0,18.40977113,2,"['pCH4_per_pO2', 'Contact time']"
77,1023.0,3.0,0.0,16.00186352,2,"['pCH4_per_pO2', 'Contact time']"
78,1048.0,3.0,0.0,18.40977113,2,"['pCH4_per_pO2', 'Contact time']"
79,1023.0,3.0,0.0,16.00186352,2,"['pCH4_per_pO2', 'Contact time']"
95,1123.0,3.0,0.36,17.28257817,2,"['Temperature', 'pCH4_per_pO2']"
97,723.0,1.0,0.072,6.994392112,2,"['Temperature', 'pCH4_per_pO2']"
98,723.0,1.0,0.144,3.243188454,2,"['Temperature', 'pCH4_per_pO2']"
99,723.0,1.0,0.216,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
100,723.0,1.0,0.288,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
101,723.0,1.0,0.36,9.589847711,2,"['Temperature', 'pCH4_per_pO2']"
102,723.0,1.0,0.432,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
103,723.0,1.0,0.504,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
118,723.0,1.25,0.072,6.994392112,2,"['Temperature', 'pCH4_per_pO2']"
119,723.0,1.25,0.144,3.243188454,2,"['Temperature', 'pCH4_per_pO2']"
120,723.0,1.25,0.216,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
121,723.0,1.25,0.288,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
122,723.0,1.25,0.36,9.589847711,2,"['Temperature', 'pCH4_per_pO2']"
123,723.0,1.25,0.432,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
124,723.0,1.25,0.504,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
139,723.0,1.5,0.072,6.994392112,2,"['Temperature', 'pCH4_per_pO2']"
140,723.0,1.5,0.144,3.243188454,2,"['Temperature', 'pCH4_per_pO2']"
141,723.0,1.5,0.216,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
142,723.0,1.5,0.288,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
143,723.0,1.5,0.36,9.589847711,2,"['Temperature', 'pCH4_per_pO2']"
144,723.0,1.5,0.432,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
145,723.0,1.5,0.504,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
160,723.0,1.75,0.072,6.994392112,2,"['Temperature', 'pCH4_per_pO2']"
161,723.0,1.75,0.144,3.243188454,2,"['Temperature', 'pCH4_per_pO2']"
162,723.0,1.75,0.216,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
163,723.0,1.75,0.288,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
164,723.0,1.75,0.36,9.589847711,2,"['Temperature', 'pCH4_per_pO2']"
165,723.0,1.75,0.432,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
166,723.0,1.75,0.504,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
181,723.0,2.0,0.072,5.287248717,2,"['Temperature', 'pCH4_per_pO2']"
182,723.0,2.0,0.144,1.408573088,2,"['Temperature', 'pCH4_per_pO2']"
183,723.0,2.0,0.216,1.193470945,2,"['Temperature', 'pCH4_per_pO2']"
184,723.0,2.0,0.288,1.193470945,2,"['Temperature', 'pCH4_per_pO2']"
185,723.0,2.0,0.36,7.821168953,2,"['Temperature', 'pCH4_per_pO2']"
186,723.0,2.0,0.432,4.825053139,2,"['Temperature', 'pCH4_per_pO2']"
187,723.0,2.0,0.504,4.825053139,2,"['Temperature', 'pCH4_per_pO2']"
202,723.0,2.25,0.072,3.494753987,2,"['Temperature', 'pCH4_per_pO2']"
203,723.0,2.25,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']"
204,723.0,2.25,0.216,0.0,2,"['Temperature', 'pCH4_per_pO2']"
205,723.0,2.25,0.288,0.0,2,"['Temperature', 'pCH4_per_pO2']"
206,723.0,2.25,0.36,5.958626398,2,"['Temperature', 'pCH4_per_pO2']"
207,723.0,2.25,0.432,2.044605542,2,"['Temperature', 'pCH4_per_pO2']"
208,723.0,2.25,0.504,2.044605542,2,"['Temperature', 'pCH4_per_pO2']"
223,723.0,2.5,0.072,3.476320872,2,"['Temperature', 'pCH4_per_pO2']"
224,723.0,2.5,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']"
225,723.0,2.5,0.216,0.0,2,"['Temperature', 'pCH4_per_pO2']"
226,723.0,2.5,0.288,0.0,2,"['Temperature', 'pCH4_per_pO2']"
227,723.0,2.5,0.36,5.940193284,2,"['Temperature', 'pCH4_per_pO2']"
228,723.0,2.5,0.432,2.026172611,2,"['Temperature', 'pCH4_per_pO2']"
229,723.0,2.5,0.504,2.026172611,2,"['Temperature', 'pCH4_per_pO2']"
244,723.0,2.75,0.072,3.335918263,2,"['Temperature', 'pCH4_per_pO2']"
245,723.0,2.75,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']"
246,723.0,2.75,0.216,0.0,2,"['Temperature', 'pCH4_per_pO2']"
247,723.0,2.75,0.288,0.0,2,"['Temperature', 'pCH4_per_pO2']"
248,723.0,2.75,0.36,5.807724179,2,"['Temperature', 'pCH4_per_pO2']"
249,723.0,2.75,0.432,1.893703691,2,"['Temperature', 'pCH4_per_pO2']"
250,723.0,2.75,0.504,1.893703691,2,"['Temperature', 'pCH4_per_pO2']"
265,723.0,3.0,0.072,2.836903934,2,"['Temperature', 'pCH4_per_pO2']"
266,723.0,3.0,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']"
267,723.0,3.0,0.216,0.0,2,"['Temperature', 'pCH4_per_pO2']"
268,723.0,3.0,0.288,0.0,2,"['Temperature', 'pCH4_per_pO2']"
269,723.0,3.0,0.36,4.696822231,2,"['Temperature', 'pCH4_per_pO2']"
270,723.0,3.0,0.432,0.695549291,2,"['Temperature', 'pCH4_per_pO2']"
271,723.0,3.0,0.504,0.695549291,2,"['Temperature', 'pCH4_per_pO2']"
286,723.0,3.25,0.072,2.836903934,2,"['Temperature', 'pCH4_per_pO2']"
287,723.0,3.25,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']"
288,723.0,3.25,0.216,0.0,2,"['Temperature', 'pCH4_per_pO2']"
289,723.0,3.25,0.288,0.0,2,"['Temperature', 'pCH4_per_pO2']"
290,723.0,3.25,0.36,4.696822231,2,"['Temperature', 'pCH4_per_pO2']"
291,723.0,3.25,0.432,0.695549291,2,"['Temperature', 'pCH4_per_pO2']"
292,723.0,3.25,0.504,0.695549291,2,"['Temperature', 'pCH4_per_pO2']"
307,723.0,3.5,0.072,2.836903934,2,"['Temperature', 'pCH4_per_pO2']"
308,723.0,3.5,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']"
309,723.0,3.5,0.216,0.0,2,"['Temperature', 'pCH4_per_pO2']"
310,723.0,3.5,0.288,0.0,2,"['Temperature', 'pCH4_per_pO2']"
311,723.0,3.5,0.36,4.696822231,2,"['Temperature', 'pCH4_per_pO2']"
312,723.0,3.5,0.432,0.695549291,2,"['Temperature', 'pCH4_per_pO2']"
313,723.0,3.5,0.504,0.695549291,2,"['Temperature', 'pCH4_per_pO2']"
328,723.0,3.75,0.072,2.836903934,2,"['Temperature', 'pCH4_per_pO2']"
329,723.0,3.75,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']"
330,723.0,3.75,0.216,0.0,2,"['Temperature', 'pCH4_per_pO2']"
331,723.0,3.75,0.288,0.0,2,"['Temperature', 'pCH4_per_pO2']"
332,723.0,3.75,0.36,4.696822231,2,"['Temperature', 'pCH4_per_pO2']"
333,723.0,3.75,0.432,0.695549291,2,"['Temperature', 'pCH4_per_pO2']"
334,723.0,3.75,0.504,0.695549291,2,"['Temperature', 'pCH4_per_pO2']"
348,723.0,4.0,0.0,5.726450934,2,"['Temperature', 'Contact time']"
356,723.0,4.0,0.576,1.500681153,2,"['Temperature', 'Contact time']"
357,723.0,4.0,0.648,1.500681153,2,"['Temperature', 'Contact time']"
358,723.0,4.0,0.72,1.500681153,2,"['Temperature', 'Contact time']"
359,723.0,4.0,0.792,1.500681153,2,"['Temperature', 'Contact time']"
360,723.0,4.0,0.864,1.500681153,2,"['Temperature', 'Contact time']"
361,723.0,4.0,0.936,1.500681153,2,"['Temperature', 'Contact time']"
362,723.0,4.0,1.008,1.500681153,2,"['Temperature', 'Contact time']"
363,723.0,4.0,1.08,1.500681153,2,"['Temperature', 'Contact time']"
364,723.0,4.0,1.152,1.500681153,2,"['Temperature', 'Contact time']"
365,723.0,4.0,1.224,1.500681153,2,"['Temperature', 'Contact time']"
366,723.0,4.0,1.296,1.500681153,2,"['Temperature', 'Contact time']"
367,723.0,4.0,1.368,1.500681153,2,"['Temperature', 'Contact time']"
368,723.0,4.0,1.44,1.500681153,2,"['Temperature', 'Contact time']"
369,723.0,4.25,0.0,5.726450934,2,"['Temperature', 'Contact time']"
377,723.0,4.25,0.576,1.500681153,2,"['Temperature', 'Contact time']"
378,723.0,4.25,0.648,1.500681153,2,"['Temperature', 'Contact time']"
379,723.0,4.25,0.72,1.500681153,2,"['Temperature', 'Contact time']"
380,723.0,4.25,0.792,1.500681153,2,"['Temperature', 'Contact time']"
381,723.0,4.25,0.864,1.500681153,2,"['Temperature', 'Contact time']"
382,723.0,4.25,0.936,1.500681153,2,"['Temperature', 'Contact time']"
383,723.0,4.25,1.008,1.500681153,2,"['Temperature', 'Contact time']"
384,723.0,4.25,1.08,1.500681153,2,"['Temperature', 'Contact time']"
385,723.0,4.25,1.152,1.500681153,2,"['Temperature', 'Contact time']"
386,723.0,4.25,1.224,1.500681153,2,"['Temperature', 'Contact time']"
387,723.0,4.25,1.296,1.500681153,2,"['Temperature', 'Contact time']"
388,723.0,4.25,1.368,1.500681153,2,"['Temperature', 'Contact time']"
389,723.0,4.25,1.44,1.500681153,2,"['Temperature', 'Contact time']"
390,723.0,4.5,0.0,5.726450934,2,"['Temperature', 'Contact time']"
398,723.0,4.5,0.576,1.500681153,2,"['Temperature', 'Contact time']"
399,723.0,4.5,0.648,1.500681153,2,"['Temperature', 'Contact time']"
400,723.0,4.5,0.72,1.500681153,2,"['Temperature', 'Contact time']"
401,723.0,4.5,0.792,1.500681153,2,"['Temperature', 'Contact time']"
402,723.0,4.5,0.864,1.500681153,2,"['Temperature', 'Contact time']"
403,723.0,4.5,0.936,1.500681153,2,"['Temperature', 'Contact time']"
404,723.0,4.5,1.008,1.500681153,2,"['Temperature', 'Contact time']"
405,723.0,4.5,1.08,1.500681153,2,"['Temperature', 'Contact time']"
406,723.0,4.5,1.152,1.500681153,2,"['Temperature', 'Contact time']"
407,723.0,4.5,1.224,1.500681153,2,"['Temperature', 'Contact time']"
408,723.0,4.5,1.296,1.500681153,2,"['Temperature', 'Contact time']"
409,723.0,4.5,1.368,1.500681153,2,"['Temperature', 'Contact time']"
410,723.0,4.5,1.44,1.500681153,2,"['Temperature', 'Contact time']"
411,723.0,4.75,0.0,5.726450934,2,"['Temperature', 'Contact time']"
419,723.0,4.75,0.576,1.500681153,2,"['Temperature', 'Contact time']"
420,723.0,4.75,0.648,1.500681153,2,"['Temperature', 'Contact time']"
421,723.0,4.75,0.72,1.500681153,2,"['Temperature', 'Contact time']"
422,723.0,4.75,0.792,1.500681153,2,"['Temperature', 'Contact time']"
423,723.0,4.75,0.864,1.500681153,2,"['Temperature', 'Contact time']"
424,723.0,4.75,0.936,1.500681153,2,"['Temperature', 'Contact time']"
425,723.0,4.75,1.008,1.500681153,2,"['Temperature', 'Contact time']"
426,723.0,4.75,1.08,1.500681153,2,"['Temperature', 'Contact time']"
427,723.0,4.75,1.152,1.500681153,2,"['Temperature', 'Contact time']"
428,723.0,4.75,1.224,1.500681153,2,"['Temperature', 'Contact time']"
429,723.0,4.75,1.296,1.500681153,2,"['Temperature', 'Contact time']"
430,723.0,4.75,1.368,1.500681153,2,"['Temperature', 'Contact time']"
431,723.0,4.75,1.44,1.500681153,2,"['Temperature', 'Contact time']"
432,723.0,5.0,0.0,5.063559949,2,"['Temperature', 'Contact time']"
440,723.0,5.0,0.576,0.81804925,2,"['Temperature', 'Contact time']"
441,723.0,5.0,0.648,0.81804925,2,"['Temperature', 'Contact time']"
442,723.0,5.0,0.72,0.81804925,2,"['Temperature', 'Contact time']"
443,723.0,5.0,0.792,0.81804925,2,"['Temperature', 'Contact time']"
444,723.0,5.0,0.864,0.81804925,2,"['Temperature', 'Contact time']"
445,723.0,5.0,0.936,0.81804925,2,"['Temperature', 'Contact time']"
446,723.0,5.0,1.008,0.81804925,2,"['Temperature', 'Contact time']"
447,723.0,5.0,1.08,0.81804925,2,"['Temperature', 'Contact time']"
448,723.0,5.0,1.152,0.81804925,2,"['Temperature', 'Contact time']"
449,723.0,5.0,1.224,0.81804925,2,"['Temperature', 'Contact time']"
450,723.0,5.0,1.296,0.81804925,2,"['Temperature', 'Contact time']"
451,723.0,5.0,1.368,0.81804925,2,"['Temperature', 'Contact time']"
452,723.0,5.0,1.44,0.81804925,2,"['Temperature', 'Contact time']"
453,723.0,5.25,0.0,5.063559949,2,"['Temperature', 'Contact time']"
461,723.0,5.25,0.576,0.81804925,2,"['Temperature', 'Contact time']"
462,723.0,5.25,0.648,0.81804925,2,"['Temperature', 'Contact time']"
463,723.0,5.25,0.72,0.81804925,2,"['Temperature', 'Contact time']"
464,723.0,5.25,0.792,0.81804925,2,"['Temperature', 'Contact time']"
465,723.0,5.25,0.864,0.81804925,2,"['Temperature', 'Contact time']"
466,723.0,5.25,0.936,0.81804925,2,"['Temperature', 'Contact time']"
467,723.0,5.25,1.008,0.81804925,2,"['Temperature', 'Contact time']"
468,723.0,5.25,1.08,0.81804925,2,"['Temperature', 'Contact time']"
469,723.0,5.25,1.152,0.81804925,2,"['Temperature', 'Contact time']"
470,723.0,5.25,1.224,0.81804925,2,"['Temperature', 'Contact time']"
471,723.0,5.25,1.296,0.81804925,2,"['Temperature', 'Contact time']"
472,723.0,5.25,1.368,0.81804925,2,"['Temperature', 'Contact time']"
473,723.0,5.25,1.44,0.81804925,2,"['Temperature', 'Contact time']"
474,723.0,5.5,0.0,5.063559949,2,"['Temperature', 'Contact time']"
482,723.0,5.5,0.576,0.81804925,2,"['Temperature', 'Contact time']"
483,723.0,5.5,0.648,0.81804925,2,"['Temperature', 'Contact time']"
484,723.0,5.5,0.72,0.81804925,2,"['Temperature', 'Contact time']"
485,723.0,5.5,0.792,0.81804925,2,"['Temperature', 'Contact time']"
486,723.0,5.5,0.864,0.81804925,2,"['Temperature', 'Contact time']"
487,723.0,5.5,0.936,0.81804925,2,"['Temperature', 'Contact time']"
488,723.0,5.5,1.008,0.81804925,2,"['Temperature', 'Contact time']"
489,723.0,5.5,1.08,0.81804925,2,"['Temperature', 'Contact time']"
490,723.0,5.5,1.152,0.81804925,2,"['Temperature', 'Contact time']"
491,723.0,5.5,1.224,0.81804925,2,"['Temperature', 'Contact time']"
492,723.0,5.5,1.296,0.81804925,2,"['Temperature', 'Contact time']"
493,723.0,5.5,1.368,0.81804925,2,"['Temperature', 'Contact time']"
494,723.0,5.5,1.44,0.81804925,2,"['Temperature', 'Contact time']"
495,723.0,5.75,0.0,5.063559949,2,"['Temperature', 'Contact time']"
503,723.0,5.75,0.576,0.81804925,2,"['Temperature', 'Contact time']"
504,723.0,5.75,0.648,0.81804925,2,"['Temperature', 'Contact time']"
505,723.0,5.75,0.72,0.81804925,2,"['Temperature', 'Contact time']"
506,723.0,5.75,0.792,0.81804925,2,"['Temperature', 'Contact time']"
507,723.0,5.75,0.864,0.81804925,2,"['Temperature', 'Contact time']"
508,723.0,5.75,0.936,0.81804925,2,"['Temperature', 'Contact time']"
509,723.0,5.75,1.008,0.81804925,2,"['Temperature', 'Contact time']"
510,723.0,5.75,1.08,0.81804925,2,"['Temperature', 'Contact time']"
511,723.0,5.75,1.152,0.81804925,2,"['Temperature', 'Contact time']"
512,723.0,5.75,1.224,0.81804925,2,"['Temperature', 'Contact time']"
513,723.0,5.75,1.296,0.81804925,2,"['Temperature', 'Contact time']"
514,723.0,5.75,1.368,0.81804925,2,"['Temperature', 'Contact time']"
515,723.0,5.75,1.44,0.81804925,2,"['Temperature', 'Contact time']"
516,723.0,6.0,0.0,5.063559949,2,"['Temperature', 'Contact time']"
524,723.0,6.0,0.576,0.81804925,2,"['Temperature', 'Contact time']"
525,723.0,6.0,0.648,0.81804925,2,"['Temperature', 'Contact time']"
526,723.0,6.0,0.72,0.81804925,2,"['Temperature', 'Contact time']"
527,723.0,6.0,0.792,0.81804925,2,"['Temperature', 'Contact time']"
528,723.0,6.0,0.864,0.81804925,2,"['Temperature', 'Contact time']"
529,723.0,6.0,0.936,0.81804925,2,"['Temperature', 'Contact time']"
530,723.0,6.0,1.008,0.81804925,2,"['Temperature', 'Contact time']"
531,723.0,6.0,1.08,0.81804925,2,"['Temperature', 'Contact time']"
532,723.0,6.0,1.152,0.81804925,2,"['Temperature', 'Contact time']"
533,723.0,6.0,1.224,0.81804925,2,"['Temperature', 'Contact time']"
534,723.0,6.0,1.296,0.81804925,2,"['Temperature', 'Contact time']"
535,723.0,6.0,1.368,0.81804925,2,"['Temperature', 'Contact time']"
536,723.0,6.0,1.44,0.81804925,2,"['Temperature', 'Contact time']"
538,746.2,1.0,0.072,6.994392112,2,"['Temperature', 'pCH4_per_pO2']"
539,746.2,1.0,0.144,3.243188454,2,"['Temperature', 'pCH4_per_pO2']"
540,746.2,1.0,0.216,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
541,746.2,1.0,0.288,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
542,746.2,1.0,0.36,9.589847711,2,"['Temperature', 'pCH4_per_pO2']"
543,746.2,1.0,0.432,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
544,746.2,1.0,0.504,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
559,746.2,1.25,0.072,6.994392112,2,"['Temperature', 'pCH4_per_pO2']"
560,746.2,1.25,0.144,3.243188454,2,"['Temperature', 'pCH4_per_pO2']"
561,746.2,1.25,0.216,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
562,746.2,1.25,0.288,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
563,746.2,1.25,0.36,9.589847711,2,"['Temperature', 'pCH4_per_pO2']"
564,746.2,1.25,0.432,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
565,746.2,1.25,0.504,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
580,746.2,1.5,0.072,6.994392112,2,"['Temperature', 'pCH4_per_pO2']"
581,746.2,1.5,0.144,3.243188454,2,"['Temperature', 'pCH4_per_pO2']"
582,746.2,1.5,0.216,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
583,746.2,1.5,0.288,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
584,746.2,1.5,0.36,9.589847711,2,"['Temperature', 'pCH4_per_pO2']"
585,746.2,1.5,0.432,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
586,746.2,1.5,0.504,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
601,746.2,1.75,0.072,6.994392112,2,"['Temperature', 'pCH4_per_pO2']"
602,746.2,1.75,0.144,3.243188454,2,"['Temperature', 'pCH4_per_pO2']"
603,746.2,1.75,0.216,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
604,746.2,1.75,0.288,2.962152095,2,"['Temperature', 'pCH4_per_pO2']"
605,746.2,1.75,0.36,9.589847711,2,"['Temperature', 'pCH4_per_pO2']"
606,746.2,1.75,0.432,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
607,746.2,1.75,0.504,6.617509592,2,"['Temperature', 'pCH4_per_pO2']"
622,746.2,2.0,0.072,5.287248717,2,"['Temperature', 'pCH4_per_pO2']"
623,746.2,2.0,0.144,1.408573088,2,"['Temperature', 'pCH4_per_pO2']"
624,746.2,2.0,0.216,1.193470945,2,"['Temperature', 'pCH4_per_pO2']"
625,746.2,2.0,0.288,1.193470945,2,"['Temperature', 'pCH4_per_pO2']"
626,746.2,2.0,0.36,7.821168953,2,"['Temperature', 'pCH4_per_pO2']"
627,746.2,2.0,0.432,4.825053139,2,"['Temperature', 'pCH4_per_pO2']"
628,746.2,2.0,0.504,4.825053139,2,"['Temperature', 'pCH4_per_pO2']"
643,746.2,2.25,0.072,3.494753987,2,"['Temperature', 'pCH4_per_pO2']"
644,746.2,2.25,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']"
645,746.2,2.25,0.216,0.0,2,"['Temperature', 'pCH4_per_pO2']"
646,746.2,2.25,0.288,0.0,2,"['Temperature', 'pCH4_per_pO2']"
647,746.2,2.25,0.36,5.958626398,2,"['Temperature', 'pCH4_per_pO2']"
648,746.2,2.25,0.432,2.044605542,2,"['Temperature', 'pCH4_per_pO2']"
649,746.2,2.25,0.504,2.044605542,2,"['Temperature', 'pCH4_per_pO2']"
664,746.2,2.5,0.072,3.476320872,2,"['Temperature', 'pCH4_per_pO2']"
665,746.2,2.5,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']"
666,746.2,2.5,0.216,0.0,2,"['Temperature', 'pCH4_per_pO2']"
667,746.2,2.5,0.288,0.0,2,"['Temperature', 'pCH4_per_pO2']"
668,746.2,2.5,0.36,5.940193284,2,"['Temperature', 'pCH4_per_pO2']"
669,746.2,2.5,0.432,2.026172611,2,"['Temperature', 'pCH4_per_pO2']"
670,746.2,2.5,0.504,2.026172611,2,"['Temperature', 'pCH4_per_pO2']"
685,746.2,2.75,0.072,3.335918263,2,"['Temperature', 'pCH4_per_pO2']"
686,746.2,2.75,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']"
687,746.2,2.75,0.216,0.0,2,"['Temperature', 'pCH4_per_pO2']"
688,746.2,2.75,0.288,0.0,2,"['Temperature', 'pCH4_per_pO2']"
689,746.2,2.75,0.36,5.807724179,2,"['Temperature', 'pCH4_per_pO2']"
690,746.2,2.75,0.432,1.893703691,2,"['Temperature', 'pCH4_per_pO2']"
691,746.2,2.75,0.504,1.893703691,2,"['Temperature', 'pCH4_per_pO2']"
706,746.2,3.0,0.072,2.836903934,2,"['Temperature', 'pCH4_per_pO2']"
707,746.2,3.0,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']"
708,746.2,3.0,0.216,0.0,2,"['Temperature', 'pCH4_per_pO2']"
709,746.2,3.0,0.288,0.0,2,"['Temperature', 'pCH4_per_pO2']"
710,746.2,3.0,0.36,4.696822231,2,"['Temperature', 'pCH4_per_pO2']"
711,746.2,3.0,0.432,0.695549291,2,"['Temperature', 'pCH4_per_pO2']"
712,746.2,3.0,0.504,0.695549291,2,"['Temperature', 'pCH4_per_pO2']"
727,746.2,3.25,0.072,2.836903934,2,"['Temperature', 'pCH4_per_pO2']"
728,746.2,3.25,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']"
729,746.2,3.25,0.216,0.0,2,"['Temperature', 'pCH4_per_pO2']"
730,746.2,3.25,0.288,0.0,2,"['Temperature', 'pCH4_per_pO2']"
731,746.2,3.25,0.36,4.696822231,2,"['Temperature', 'pCH4_per_pO2']"
732,746.2,3.25,0.432,0.695549291,2,"['Temperature', 'pCH4_per_pO2']"
733,746.2,3.25,0.504,0.695549291,2,"['Temperature', 'pCH4_per_pO2']"
748,746.2,3.5,0.072,2.836903934,2,"['Temperature', 'pCH4_per_pO2']"
749,746.2,3.5,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']"
750,746.2,3.5,0.216,0.0,2,"['Temperature', 'pCH4_per_pO2']"
751,746.2,3.5,0.288,0.0,2,"['Temperature', 'pCH4_per_pO2']"
752,746.2,3.5,0.36,4.696822231,2,"['Temperature', 'pCH4_per_pO2']"
753,746.2,3.5,0.432,0.695549291,2,"['Temperature', 'pCH4_per_pO2']"
754,746.2,3.5,0.504,0.695549291,2,"['Temperature', 'pCH4_per_pO2']"
769,746.2,3.75,0.072,2.836903934,2,"['Temperature', 'pCH4_per_pO2']"
770,746.2,3.75,0.144,0.0,2,"['Temperature', 'pCH4_per_pO2']"
771,746.2,3.75,0.216,0.0,2,"['Temperature', 'pCH4_per_pO2']"
772,746.2,3.75,0.288,0.0,2,"['Temperature', 'pCH4_per_pO2']"
773,746.2,3.75,0.36,4.696822231,2,"['Temperature', 'pCH4_per_pO2']"
774,746.2,3.75,0.432,0.695549291,2,"['Temperature', 'pCH4_per_pO2']"
775,746.2,3.75,0.504,0.695549291,2,"['Temperature', 'pCH4_per_pO2']"
789,746.2,4.0,0.0,5.726450934,2,"['Temperature', 'Contact time']"
