,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Extrapolation Strength,Extrapolating Variables
96,723.0,1.0,0.0,9.551309758,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
104,723.0,1.0,0.576,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
105,723.0,1.0,0.648,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
106,723.0,1.0,0.72,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
107,723.0,1.0,0.792,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
108,723.0,1.0,0.864,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
109,723.0,1.0,0.936,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
110,723.0,1.0,1.008,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
111,723.0,1.0,1.08,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
112,723.0,1.0,1.152,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
113,723.0,1.0,1.224,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
114,723.0,1.0,1.296,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
115,723.0,1.0,1.368,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
116,723.0,1.0,1.44,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
117,723.0,1.25,0.0,9.551309758,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
125,723.0,1.25,0.576,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
126,723.0,1.25,0.648,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
127,723.0,1.25,0.72,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
128,723.0,1.25,0.792,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
129,723.0,1.25,0.864,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
130,723.0,1.25,0.936,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
131,723.0,1.25,1.008,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
132,723.0,1.25,1.08,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
133,723.0,1.25,1.152,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
134,723.0,1.25,1.224,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
135,723.0,1.25,1.296,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
136,723.0,1.25,1.368,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
137,723.0,1.25,1.44,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
138,723.0,1.5,0.0,9.551309758,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
146,723.0,1.5,0.576,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
147,723.0,1.5,0.648,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
148,723.0,1.5,0.72,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
149,723.0,1.5,0.792,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
150,723.0,1.5,0.864,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
151,723.0,1.5,0.936,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
152,723.0,1.5,1.008,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
153,723.0,1.5,1.08,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
154,723.0,1.5,1.152,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
155,723.0,1.5,1.224,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
156,723.0,1.5,1.296,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
157,723.0,1.5,1.368,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
158,723.0,1.5,1.44,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
159,723.0,1.75,0.0,9.551309758,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
167,723.0,1.75,0.576,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
168,723.0,1.75,0.648,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
169,723.0,1.75,0.72,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
170,723.0,1.75,0.792,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
171,723.0,1.75,0.864,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
172,723.0,1.75,0.936,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
173,723.0,1.75,1.008,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
174,723.0,1.75,1.08,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
175,723.0,1.75,1.152,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
176,723.0,1.75,1.224,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
177,723.0,1.75,1.296,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
178,723.0,1.75,1.368,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
179,723.0,1.75,1.44,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
180,723.0,2.0,0.0,7.930769467,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
188,723.0,2.0,0.576,8.206915799,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
189,723.0,2.0,0.648,8.206915799,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
190,723.0,2.0,0.72,8.206915799,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
191,723.0,2.0,0.792,8.206915799,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
192,723.0,2.0,0.864,8.206915799,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
193,723.0,2.0,0.936,8.206915799,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
194,723.0,2.0,1.008,8.206915799,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
195,723.0,2.0,1.08,8.206915799,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
196,723.0,2.0,1.152,8.206915799,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
197,723.0,2.0,1.224,8.206915799,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
198,723.0,2.0,1.296,8.206915799,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
199,723.0,2.0,1.368,8.206915799,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
200,723.0,2.0,1.44,8.206915799,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
