,Order,RMSE,MAE,R2
0,7523,0.9288909969565012,0.5285337131234178,0.7559996345820247
1,7544,0.930179721551065,0.5270938095783763,0.7553460059800169
2,7733,0.9350482829527748,0.5298821599968843,0.7527955992959431
3,6809,0.9376298508581716,0.5277571431923647,0.7514613539502565
4,5990,0.9390408664429312,0.5287977814667613,0.7507217884445151
5,6662,0.9440743369694254,0.5317184589021329,0.7480287136767989
6,6704,0.9461439696510376,0.5322896162959009,0.746922742249216
7,6557,0.9476689429090024,0.5349115912122192,0.7460373233582367
8,5753,0.9494291256081449,0.5367324205230897,0.7451778251705388
9,7145,0.9497631414365278,0.5361582444665143,0.7449653816060333
10,6321,0.9509548846457355,0.5371738764550806,0.7443710675649371
11,5149,0.9522352224505818,0.5367660285195284,0.7436855528179303
12,7647,0.9527424506537926,0.5334598357723634,0.7433675975663233
13,2671,0.9528417560323337,0.5385832170918432,0.7433456578765589
14,7224,0.9533699432423528,0.538576047889722,0.7430614254085172
15,3594,0.9533972406112697,0.5395906848479733,0.7430163509340213
16,7751,0.9535912746231581,0.5375295598652532,0.7428674929505397
17,7103,0.9536007353316802,0.5476696067004562,0.7429002423126907
18,6529,0.9537515023283458,0.5363276074147599,0.7427623748089206
19,5983,0.9538475780161301,0.5340202554533044,0.7427633616337543
20,6221,0.9540014680253962,0.5410286089587327,0.7427027449870949
21,27,0.9542107537168508,0.5389738763841904,0.742607400382195
22,6826,0.9542813586153863,0.5337160799102042,0.742581996488687
23,4009,0.954348425027284,0.5404589490614696,0.7425438233617894
24,7564,0.9543637297870893,0.538906005367714,0.7424894013960234
25,3644,0.9544646329082228,0.5388883674262444,0.7424701867225698
26,1773,0.9545202320940239,0.5388263575575964,0.7424007583005018
27,6346,0.9545644677883797,0.5377264852065732,0.7424192577801865
28,1792,0.954566378861753,0.5397022713125088,0.7423758501648232
29,6765,0.9545792215569675,0.536659934985996,0.7424107004307383
30,865,0.9545888679378088,0.5382149303956674,0.7423785106461491
31,7206,0.9545963323011147,0.536293939980797,0.7423894745602835
32,4108,0.9546760260925018,0.5391507082441688,0.7423497126856736
33,6214,0.9547425951643895,0.5354778566859509,0.7422741812292323
34,6822,0.9547517260606327,0.5363154078788861,0.7422499764957391
35,3896,0.9548464755934933,0.5379902852970955,0.7422454104043801
36,2957,0.9549206417381443,0.5378453198409702,0.7422163262402417
37,7605,0.9549622304216232,0.5401984235810388,0.7421663200009456
38,1893,0.9549705761744594,0.538554082537343,0.7422137888114297
39,2656,0.9550285725549684,0.5366379830085931,0.7421670417831038
40,6997,0.9550500304086776,0.537902419268596,0.7420869899074174
41,4133,0.9550757876718817,0.5371927946979053,0.7421278842808925
42,6008,0.9551089659710048,0.5350592548674217,0.7421027217319897
43,5565,0.9551151630592083,0.5392773752560694,0.7421255691152047
44,2635,0.9551286673709551,0.5376097372073847,0.7421269092650682
45,7539,0.9551687267936292,0.5372729220532277,0.7420707054755323
46,7349,0.9552799268828517,0.537011445460113,0.7420262427058086
47,7034,0.9552950128486392,0.535761361525729,0.7420065079650304
48,2952,0.955325358000902,0.5406498645344994,0.7419977712127527
49,4416,0.9553758391410502,0.5375169246369231,0.7419690965083181
50,7453,0.9553792103858811,0.5394584266921285,0.7418562786120071
51,5921,0.9554439190042001,0.5376215075061855,0.7419419824473681
52,4680,0.955482171084119,0.5402266578417033,0.7419375669614113
53,7055,0.9555421167867028,0.5374638698612573,0.7418750547138171
54,2823,0.9555480431257247,0.5368280185914516,0.7418541595941517
55,7244,0.9556596074678979,0.5363466804691007,0.7418151648433609
56,3618,0.9556698475652114,0.5371996484438329,0.7417897501662309
57,2737,0.9557147245380556,0.539267665716698,0.7417710113611009
58,6026,0.9558073095662674,0.5393551994863609,0.7417502381810264
59,6382,0.9558742504717279,0.5437214996423985,0.7416653533363671
60,2970,0.9559018006477096,0.5384258400859786,0.7416863205510024
61,6762,0.9559250539577278,0.543547093978826,0.7416915892853141
62,16,0.9559578372334822,0.5348700775693056,0.7415990920832269
63,7095,0.9559922510087678,0.5365145646977485,0.7415534271071171
64,6596,0.9559979104517227,0.5357934191492295,0.7415849290719982
65,2611,0.9560006131118519,0.5383329227137424,0.7416574403465415
66,3069,0.956020603948872,0.5387718006931161,0.7415987673585767
67,4391,0.9560532418902219,0.5401129403352392,0.7416087079223959
68,3290,0.95617633148442,0.5384156222933953,0.741521503681634
69,6804,0.9562077215177421,0.5351930873452366,0.7415388028231671
70,3684,0.9562378041692648,0.5353288527995934,0.7415282413203297
71,1481,0.9562795577884039,0.5395252004257034,0.7415066584449986
72,1061,0.9563213968093996,0.5416666369168298,0.7414824623334351
73,410,0.9563256529851395,0.5398996347357883,0.7414412285327137
74,5125,0.95633316142352,0.5405124392736949,0.7414653971388747
75,1142,0.9564294422560882,0.5352518872489703,0.7414101734397717
76,4318,0.9565016787890002,0.5368064001613145,0.741376857703878
77,4054,0.9565442076164337,0.5393314485421391,0.741352066687138
78,7270,0.9565559477321153,0.535014789302265,0.7413368373940923
79,3367,0.9565966616158924,0.5374698665431755,0.7412872701854238
80,6177,0.9566040130480715,0.5383825346669059,0.7413043874993716
81,4034,0.9566102636598343,0.5349735402758387,0.7413163425692133
82,1371,0.9566266233652203,0.5381636441964681,0.7412625875765113
83,1561,0.9566480132814347,0.5355465281430525,0.7412510168480544
84,4619,0.9567192307497895,0.5358668807093173,0.7412685920977928
85,1562,0.9567222630035519,0.538029352463253,0.7412577495042268
86,3283,0.9567264984626687,0.5369356779529534,0.7412239701826662
87,2000,0.9567378698223843,0.5371725645733364,0.7412024067423308
88,6528,0.9567483854871618,0.5401261736144355,0.7411340600151598
89,2550,0.956759518267131,0.5364512632151256,0.741199173128443
90,3266,0.9567912014626601,0.5380789485031354,0.7411889671767651
91,6154,0.9568210755627243,0.5362236949651789,0.7411981962564835
92,1729,0.9568294549604921,0.5368915144690678,0.7411528568112093
93,5689,0.956853142661856,0.5424320752353791,0.7411153909426156
94,3739,0.9568798421110275,0.5358563148262087,0.741173427832274
95,3245,0.9568959867628039,0.5356086365230485,0.7411487226054234
96,2066,0.9569095818828962,0.5357365579468469,0.7411504775707802
97,3347,0.9569112622411977,0.5353610041657213,0.7411170739604118
98,3010,0.9569354797120544,0.535517250303947,0.7411109070565116
99,5926,0.9569458710929728,0.535944474111741,0.7411342101600527
100,2925,0.9570043244846477,0.5380316064841129,0.7410991346770561
101,6091,0.9570563104193178,0.5384255285700998,0.7410492182765593
102,4147,0.957067074698295,0.5359145062418558,0.7410514614172523
103,5692,0.9570958154708934,0.5427694836706961,0.7410475843441083
104,4161,0.9571184776496041,0.5361653762397446,0.7410236450250186
105,3771,0.9571475505998485,0.5381478671744605,0.7410216010352046
106,362,0.9571569427510599,0.5361020139945073,0.7409756386344635
107,658,0.9571786595413725,0.5361181770589097,0.7409638845713526
