,Data Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,Hard extrapolative error,Easy extrapolative error,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
61,61,1.5581117166416267,-2.9778593737330463,-1.2631112749186872,0.562061229459867,0.9333195309376685,0.7193428577578085,[2.06793966],[12.6858931],946,32,3.3999832689993843,0.0161031625840324,0.5739942272880179,0.8139131800277792,0.0867766372815312
62,62,1.88053356344469,-2.9778593737330463,-1.2631112749186872,0.5584631673819582,0.937147513787193,0.7236077434754098,[1.65628519],[12.29501156],970,4,1.0,0.0,1.0,1.0,0.1
63,63,2.3104293591821077,-2.9778593737330463,-1.2631112749186872,0.5524283110011248,0.9435290094233275,0.7308944383107271,[2.05884352],[12.63237481],927,19,2.39793152612286,0.0,0.5858628624407044,0.9616322287138878,0.0652026917489402
64,64,2.6328512059851708,-2.9778593737330463,-1.2631112749186872,0.544250208448507,0.9520900503949556,0.7369603800901555,[1.04313841],[12.67486386],331,21,5.550447877930673,0.0,1.0,0.9043644375389742,0.1
65,65,1.88053356344469,-2.9778593737330463,-1.596351760660957,0.7303413384694653,0.7324158468984071,0.533935993412898,[3.84717264],[10.42367761],958,31,1.0021072912673157,0.0,1.0,0.5,0.1
66,66,0.5908461762324371,-2.9778593737330463,-1.596351760660957,0.5379957479665866,0.958672859916376,0.7452218161425661,[2.02838983],[12.44935803],970,4,1.0,0.0,1.0,1.0,0.1
67,67,1.0207419719698547,-2.9778593737330463,-1.596351760660957,0.6179016203573257,0.8718527082141717,0.6594316437681376,[2.20983305],[12.73028712],961,26,2.2602968915781387,0.0,1.0,0.5,0.1
68,68,1.4506377677072724,-2.9778593737330463,-1.596351760660957,0.5514566351681044,0.9446128419955016,0.7315775907216745,[1.69618978],[12.61482434],334,12,4.595190036793827,0.0,1.0,0.9944066915742948,0.1
69,69,2.3104293591821077,-2.9778593737330463,-1.596351760660957,0.5490682583424836,0.9471215685794667,0.7325823222278397,[1.18800535],[12.66837363],939,4,4.574738411721922,0.0,1.0,1.0,0.1
70,70,2.7403251549195256,-2.9778593737330463,-1.596351760660957,0.5663914820277678,0.9287356826824751,0.7202335692217048,[2.93314447],[12.70306735],292,19,4.633043523150881,0.0,1.0,0.5,0.1
71,71,3.170220950656943,-2.9778593737330463,-1.596351760660957,0.5492582483113118,0.9469102420059762,0.73170737166361,[1.81054296],[12.60195498],947,21,4.127503523056125,0.0,0.5,1.0,0.1
72,72,1.0207419719698547,-2.9778593737330463,-1.862944149254773,0.7970734930114721,0.6353127629118763,0.4860527517027154,[0.65932093],[8.71579353],911,1,1.0,0.0,1.0,1.0,0.1
73,73,1.0207419719698547,-2.9778593737330463,-1.862944149254773,0.5538587074818078,0.9420075870962401,0.7302651395434228,[1.32780351],[12.67978482],943,31,3.1784801857735787,0.0023571796078769,0.738428803358157,0.6981358265422022,0.0961355517922418
74,74,0.48337222729808266,-2.9778593737330463,-1.862944149254773,0.5803222456656314,0.9136404757892465,0.7072147272915533,[3.21324434],[12.66917328],299,11,5.123425262832172,0.0048501152872653,0.9591036808141448,0.5061095415148327,0.0643000200030771
75,75,-0.05399751737368938,-2.9778593737330463,-1.862944149254773,0.5679886056632137,0.9270050318191186,0.7194903404886931,[2.76686945],[12.75812726],947,22,4.45959523122887,0.0,1.0,0.5,0.1
76,76,0.48337222729808266,-2.9778593737330463,-1.862944149254773,0.5700326599858401,0.924772891916188,0.717876280534612,[2.67389574],[12.75954442],935,25,4.842262113902593,0.0,1.0,0.5,0.1
77,77,-0.05399751737368938,-2.9778593737330463,-1.862944149254773,0.5782452915791065,0.9159345905864534,0.7104832787213634,[3.03125944],[12.68918375],951,11,5.398572671761781,0.0,1.0,0.5,0.1
78,78,-6.5024344534349545,-1.4625261534833855,-1.796296052106319,0.5434357147771864,0.9529545286264571,0.7350566024254036,[1.05150022],[12.6133738],314,22,2.640763525767684,0.0,1.0,1.0,0.1
79,79,-5.965064708763182,-1.4625261534833855,-1.796296052106319,0.562601248965736,0.9327386642199078,0.7266844244118151,[1.02492227],[12.23383479],971,4,1.0,0.0,1.0,1.0,0.1
80,80,-5.42769496409141,-1.4625261534833855,-1.796296052106319,0.5577253938564082,0.937923057663809,0.7272755863218139,[2.46089067],[12.7376204],704,50,3.618488358997333,0.0,0.9590218586367708,0.5136219130679829,0.1
81,81,-4.890325219419638,-1.4625261534833855,-1.796296052106319,0.5491127292924106,0.9470113796468446,0.7333499613245854,[1.85963526],[12.61920409],952,11,3.906964810524831,0.0,0.7224512831472141,0.7782980107115236,0.0358603531350773
82,82,-4.352955474747866,-1.4625261534833855,-1.796296052106319,0.5626012489667467,0.9327386642188302,0.7266844244099343,[1.02492227],[12.23383479],970,4,1.0,0.0,1.0,1.0,0.1
83,83,-3.815585730076094,-1.4625261534833855,-1.796296052106319,0.5663325932687561,0.9287516575447046,0.7206230925804483,[2.98736086],[12.68580298],316,33,5.692027513729879,0.0,1.0,0.5,0.1
84,84,-3.2782159854043216,-1.4625261534833855,-1.796296052106319,0.5423102092565948,0.9541283998915348,0.7362136944025734,[1.01348295],[12.61389546],957,21,2.1361252778004327,0.0,1.0,1.0,0.1
85,85,-2.74084624073255,-1.4625261534833855,-1.796296052106319,0.5423102091898375,0.9541283999611179,0.736213694526708,[1.01348295],[12.61389546],924,19,2.446148924895762,0.0,1.0,1.0,0.1
86,86,-2.2034764960607776,-1.4625261534833855,-1.796296052106319,0.5663755774342571,0.9287056284869261,0.7205812700536509,[2.98755159],[12.68541388],305,20,6.077840844980711,0.0,1.0,0.5,0.1
87,87,1.0207419719698547,-4.493192593982707,0.5363873480895702,0.5610465613221517,0.9343634735946097,0.7247966228663342,[2.29168691],[12.73859362],990,19,3.576038492517019,0.0,0.6258909425516096,0.5,0.1
88,88,-4.352955474747866,-1.4625261534833855,-1.396407469215595,0.5415950596029027,0.9549039254957555,0.7368470969755875,[0.99631491],[12.6132503],320,12,2.332135513645007,0.0,1.0,1.0,0.1
89,89,-3.2782159854043216,-1.4625261534833855,-1.396407469215595,0.5560834567081592,0.9396923665163561,0.7493971266738876,[3.39255991],[11.68580834],983,1,1.0,0.0,0.5,1.0,0.1
90,90,-2.2034764960607776,-1.4625261534833855,-1.396407469215595,0.5364243943136376,0.960276101485789,0.742285027903011,[2.35296526],[12.56752257],980,18,6.8969452011320165,0.0,0.7772326755521903,0.7725405784264539,0.0393863322893914
91,91,-0.05399751737368938,-2.9778593737330463,0.5363873480895702,0.5584866422324357,0.937164426384096,0.7247827040260914,[3.02430429],[12.64129977],976,22,6.371772839453312,0.0,1.0,0.5,0.1
92,92,1.0207419719698547,-2.9778593737330463,0.5363873480895702,0.5551965505516648,0.9406198672449234,0.7283971083951452,[3.13690748],[12.71150259],973,35,5.941070776212026,0.0,0.5,0.5,0.1
93,93,2.095481461313399,-2.9778593737330463,0.5363873480895702,0.5535354533320767,0.9423657415731846,0.7286927300388526,[1.42967596],[12.11566178],351,4,1.0,0.0,1.0,1.0,0.1
94,94,-6.5024344534349545,-6.008525814232367,-1.862944149254773,0.5901167061495302,0.9029960191686685,0.697092502354448,[2.96761122],[12.66165499],988,12,5.514645446629928,0.0006062194926226,0.8951639575657067,0.5540534193522673,0.0908422276348772
95,95,-6.5024344534349545,-6.008525814232367,-1.3830778497859042,0.5497797314672193,0.9463825558643136,0.732150895994308,[1.97962656],[12.60491614],929,35,4.054188876723496,0.0,0.5,1.0,0.1
96,96,-6.5024344534349545,-6.008525814232367,-0.9032115503170357,0.6751542119273051,0.8038599296789892,0.6395644297735837,[3.31079473],[11.70236747],983,1,1.0,0.0,0.5,1.0,0.1
97,97,-6.5024344534349545,-6.008525814232367,-0.42334525084816704,0.5448299659984159,0.9515402653620872,0.7348590000432146,[0.87453546],[12.60988955],958,21,2.349784535569317,0.0,1.0,1.0,0.1
98,98,-6.5024344534349545,-6.008525814232367,0.05652104862070149,0.549527899631818,0.9466169759093676,0.7322852986489676,[0.9735631],[12.61548953],953,5,5.228854643306902,0.0,1.0,1.0,0.1
99,99,-6.5024344534349545,-6.008525814232367,0.5363873480895702,0.572268711574663,0.9224465622859189,0.7113702936337466,[2.95195284],[12.56953005],308,15,7.652246494722183,0.0,1.0,0.5,0.1
100,100,-6.5024344534349545,-6.008525814232367,1.016253647558439,0.5674285737483626,0.927646302868796,0.7145626585684925,[2.04381933],[12.61906914],972,15,4.110802311743637,0.0,0.5,1.0,0.1
101,101,-6.5024344534349545,-6.008525814232367,1.4961199470273077,0.6295311369541041,0.8584783755144445,0.6485616276204375,[2.1263236],[12.19483904],351,25,4.571610951144562,0.0,0.7682413475918536,0.8983010470193353,0.1
102,102,-6.5024344534349545,-6.008525814232367,1.975986246496176,0.6731234041172287,0.8063941773651717,0.6036864889735181,[2.20053472],[12.57575945],308,20,4.248666139564799,0.0,0.5,1.0,0.1
103,103,-6.5024344534349545,-6.008525814232367,2.455852545965045,0.6631085602800817,0.8186541315031759,0.6107994882075233,[2.20129766],[12.62604384],341,16,4.548750464105887,0.0,0.5,1.0,0.1
104,104,-6.5024344534349545,-6.008525814232367,2.935718845433913,0.6664935212874191,0.8145309809037674,0.6049922495554864,[1.66456022],[11.89277331],318,12,4.082515501852412,0.0,1.0,0.9237365033486902,0.1
105,105,-6.5024344534349545,-6.008525814232367,3.4155851449027828,0.7910513842689487,0.6447260515097784,0.5260106952126751,[3.43357935],[8.14712231],952,20,2.983513230065111,0.0,0.5,0.5693893197129268,0.1
106,106,-6.5024344534349545,-6.008525814232367,3.89545144437165,0.6531217474015261,0.8306996096132927,0.6212700892399005,[2.73157587],[12.59807591],948,7,6.470308346768947,0.0,1.0,1.0,0.1
107,107,-6.5024344534349545,-6.008525814232367,4.37531774384052,0.6029955477912954,0.8886958632183937,0.6712718169172244,[2.95870199],[12.29055504],954,20,7.89611818315168,0.1143963254272362,0.9253152620563658,0.8637645627920254,0.0752960373424507
108,108,-6.5024344534349545,-6.008525814232367,4.8551840433093885,0.7191853697734062,0.7474210676765161,0.5642646541026052,[1.17292967],[7.00132935],963,38,2.3887971225612192,0.0,0.996194483135914,1.0,0.1
109,109,-6.5024344534349545,-6.008525814232367,5.335050342778257,0.6709454585005536,0.8090761786285859,0.60924132962311,[2.13082399],[12.63416533],947,14,4.12318856410654,0.0,0.5,1.0,0.1
110,110,-6.5024344534349545,-6.008525814232367,5.814916642247125,0.5941542965809572,0.8985369608071779,0.6851556459407353,[2.94390669],[12.37560133],303,13,6.9064249001611,0.0,1.0,0.5,0.1
111,111,-6.5024344534349545,-6.008525814232367,6.294782941715995,0.602511965521197,0.8892369488040716,0.6798721529604774,[2.9687747],[12.41673522],307,16,5.39286484972113,0.0,1.0,0.5,0.1
112,112,-6.5024344534349545,-6.008525814232367,6.774649241184863,0.7906031977871524,0.6454171370072977,0.5263840358313,[3.44280901],[8.15635149],953,20,2.0162620494829877,0.0,0.5,0.5,0.1
113,113,-6.5024344534349545,-6.008525814232367,7.254515540653732,0.5933681794030736,0.8994067662711682,0.6888049106271084,[2.52195062],[12.48379378],990,19,3.5607949791897413,0.0,0.6226643902865727,0.5,0.1
114,114,-6.5024344534349545,-6.008525814232367,7.7343818401226,0.5958826269569949,0.8966216693499183,0.6853876756092515,[2.65267458],[12.45392661],719,15,4.83992510260816,0.0,1.0,0.5,0.1
115,115,-6.5024344534349545,-5.629692509169953,-1.862944149254773,0.5527758025709764,0.943231668731639,0.7220179616092814,[2.55555048],[12.60763745],975,29,7.070163994636336,0.0,1.0,1.0,0.1
116,116,-6.5024344534349545,-5.629692509169953,-1.3830778497859042,0.5747631445459442,0.9197496987038876,0.710690743270437,[2.56782236],[12.69081931],962,20,2.6661963950471863,0.0,0.5,0.5,0.1
117,117,-6.5024344534349545,-5.629692509169953,-0.9032115503170357,0.5681835737025498,0.9268113425146173,0.7156298521054973,[2.93342008],[12.59720711],299,14,6.702211419129772,0.0,1.0,0.5,0.1
118,118,-6.5024344534349545,-5.629692509169953,-0.42334525084816704,0.5481445179003613,0.9480693730615374,0.7339301100521926,[2.1029109],[12.61798481],936,24,4.602166921443664,0.0,0.5,1.0,0.1
119,119,-6.5024344534349545,-5.629692509169953,0.05652104862070149,0.5441081548016469,0.952294445433755,0.7381234178765654,[1.4441041],[12.60600428],971,14,2.5363276850813974,0.0,0.5,1.0,0.1
120,120,-6.5024344534349545,-5.629692509169953,0.5363873480895702,0.5696191255325418,0.9252992039756018,0.7138115607711933,[1.78745451],[12.68014054],943,31,3.1784801857735787,0.0023571796078769,0.738428803358157,0.6981358265422022,0.0961355517922418
121,121,-6.5024344534349545,-5.629692509169953,1.016253647558439,0.5935460517243383,0.8992059607022815,0.7711163482897334,[3.41518106],[11.64980976],927,1,1.0,0.0,0.5,1.0,0.1
122,122,-6.5024344534349545,-5.629692509169953,1.4961199470273077,0.5793578451781052,0.9147657602360317,0.7903733927478682,[1.07349005],[12.41759638],970,4,1.0,0.0,1.0,1.0,0.1
123,123,-6.5024344534349545,-5.629692509169953,1.975986246496176,0.5962581726573921,0.8962049578935952,0.6856530510129685,[2.49430265],[12.45720057],966,32,4.876967722350964,0.0,0.803493637247269,0.5,0.0731855736750138
124,124,-6.5024344534349545,-5.629692509169953,2.455852545965045,0.6617056358506681,0.8203569302937955,0.6086691511846489,[2.20832243],[11.91933362],946,32,3.3999832689993843,0.0161031625840324,0.5739942272880179,0.8139131800277792,0.0867766372815312
125,125,-6.5024344534349545,-5.629692509169953,2.935718845433913,0.3659383062612849,1.1231072434431366,0.969348100957543,[1.05075636],[12.08824365],970,4,1.0,0.0,1.0,1.0,0.1
126,126,-6.5024344534349545,-5.629692509169953,3.4155851449027828,0.7659685543029666,0.6823270327434428,0.5646351607061173,[2.6682929],[6.88598721],927,19,2.39793152612286,0.0,0.5858628624407044,0.9616322287138878,0.0652026917489402
127,127,-6.5024344534349545,-5.629692509169953,3.89545144437165,0.6625737409476686,0.8193036855973523,0.6079806279230371,[1.18968286],[11.94339578],331,21,5.550447877930673,0.0,1.0,0.9043644375389742,0.1
128,128,-6.5024344534349545,-5.629692509169953,4.37531774384052,0.7526432860277954,0.7014832758451383,0.5959275718505804,[4.24556818],[7.12106173],958,31,1.0021072912673157,0.0,1.0,0.5,0.1
129,129,-6.5024344534349545,-5.629692509169953,4.8551840433093885,0.3659383062612849,1.1231072434431366,0.969348100957543,[1.05075636],[12.08824365],970,4,1.0,0.0,1.0,1.0,0.1
