,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Extrapolation Strength,Extrapolating Variables
96,723.0,1.0,0.648,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
97,723.0,1.0,0.72,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
98,723.0,1.0,0.792,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
99,723.0,1.0,0.864,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
100,723.0,1.0,0.936,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
101,723.0,1.0,1.008,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
102,723.0,1.0,1.08,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
103,723.0,1.0,1.152,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
104,723.0,1.0,1.224,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
105,723.0,1.0,1.296,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
106,723.0,1.0,1.368,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
107,723.0,1.0,1.44,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
117,723.0,1.25,0.648,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
118,723.0,1.25,0.72,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
119,723.0,1.25,0.792,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
120,723.0,1.25,0.864,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
121,723.0,1.25,0.936,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
122,723.0,1.25,1.008,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
123,723.0,1.25,1.08,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
124,723.0,1.25,1.152,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
125,723.0,1.25,1.224,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
126,723.0,1.25,1.296,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
127,723.0,1.25,1.368,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
128,723.0,1.25,1.44,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
537,746.2,1.0,0.648,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
538,746.2,1.0,0.72,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
539,746.2,1.0,0.792,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
540,746.2,1.0,0.864,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
541,746.2,1.0,0.936,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
542,746.2,1.0,1.008,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
543,746.2,1.0,1.08,9.933110279,3,"['Temperature', 'pCH4_per_pO2', 'Contact time']"
